SMILES,ChEMBL,target,metric
CN(C)c1ccc(\C=C\C=C2C(=O)NC(=S)NC2=O)cc1,CHEMBL257930,6.0,pKi
Cc1nc(nc(NCCNc2cccc(n2)C(F)(F)F)c1Cl)c3ccccn3,CHEMBL2392771,6.0,pIC50
Clc1ccc2C(=O)C(=C)Cc2c1,CHEMBL3337748,6.0,pIC50
C(Cc1ccccc1)Nc2nc(nc3ccccc23)c4ccccn4,CHEMBL1518085,6.03,pEC50
OC(=O)c1ccc(cc1)N2CCN(CC2)c3cc(nc4ccccc34)c5ccccn5,CHEMBL2375617,6.05,pEC50
CN1CCN(CC1)c2cc(nc3ccccc23)c4ccccn4,CHEMBL49678,6.06,pEC50
COc1ccc(cc1)N2CCN(CC2)c3cc(nc4ccccc34)c5ccc(Cl)cn5,CHEMBL2375625,6.07,pEC50
Cc1nc(nc(NCCc2ccccc2)c1Cl)c3ccccn3,CHEMBL472879,6.07,pIC50
Cc1nc(nc(NC[C@H](NC(=O)CCN2CCN(CCO)CC2)c3ccccc3)c1Cl)c4ccccn4,CHEMBL2392891,6.1,pIC50
Cc1nc(nc(NC[C@H](NCCCCN2CCN(CCO)CC2)c3ccccc3)c1Cl)c4ccccn4,CHEMBL2392898,6.1,pIC50
Cc1nc(nc(NC[C@H](NS(=O)(=O)CCN2CCNCC2)c3ccccc3)c1Cl)c4ccccn4,CHEMBL2392899,6.1,pIC50
Cc1nc(nc(NC[C@H](NCCCCCc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392922,6.11,pEC50
Cc1nc(nc(NC[C@H](NC(=O)CCCN2CCNCC2)c3ccccc3)c1Cl)c4cc(Cl)ccn4,CHEMBL2392913,6.14,pEC50
Cc1nc(nc(NC[C@H](NCCCCCCc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392923,6.15,pEC50
Cc1nc(nc(NC[C@H](NC(=O)Cc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2390976,6.16,pEC50
Cc1nc(nc(NC[C@H](NCCCCc2ccc3ccccc3n2)c4ccccc4)c1Cl)c5ccc(Cl)cn5,CHEMBL2392930,6.16,pEC50
Cc1nc(nc(NC[C@H](NC(=O)CCCCCc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392917,6.17,pEC50
Cc1nc(nc(NC[C@H](NC(=O)CCN2CCNCC2)c3ccccc3)c1Cl)c4ccccn4,CHEMBL2392893,6.22,pIC50
Cc1nc(nc(NC[C@H](NS(=O)(=O)CCN2CCN(CCO)CC2)c3ccccc3)c1Cl)c4ccccn4,CHEMBL2392900,6.22,pIC50
C=CCOc1ccc(cc1)N2CCN(CC2)c3cc(nc4ccccc34)c5ccccn5,CHEMBL2375623,6.23,pEC50
Cc1nc(nc(NC[C@H](NCCCCc2ccc(Cl)cc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392925,6.24,pEC50
COc1ccnc(c1)c2nc(C)c(Cl)c(NC[C@H](NC(=O)CCCN3CCNCC3)c4ccccc4)n2,CHEMBL2392912,6.28,pEC50
Cc1nc(nc(NC[C@H](NCCCCc2ccc(cc2)C#N)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392926,6.28,pEC50
Cc1nc(nc(NC[C@H](NCCCCn2cccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392931,6.3,pEC50
Cc1nc(nc(NC[C@@H](NCCCCc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2375627,6.37,pEC50
Cc1nc(nc(NC[C@H](NCCCCc2ccc(O)cc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392924,6.38,pEC50
C1CN(CCO1)c2cc(nc3ccccc23)c4ccccn4,CHEMBL45721,6.39,pEC50
C1CCN(CC1)c2cc(nc3ccccc23)c4ccccn4,CHEMBL2375614,6.41,pEC50
Clc1ccc(cc1Cl)N2CCN(CC2)c3cc(nc4ccccc34)c5ccccn5,CHEMBL2375607,6.41,pEC50
Cc1nc(nc(NC[C@H](NCCCCc2cccs2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392929,6.42,pEC50
CCSCC[C@@H](N)[C@H](O)C(=O)N[C@@H](C)c1cccc2ccccc12,CHEMBL352943,6.43,pIC50
CC(C)(C)OC(=O)Nc1cccnc1C(=O)Nc2nccs2,CHEMBL327579,6.44,pEC50
Cc1nc(nc(NC2CCN(CC2)c3ncc(cc3Cl)C(F)(F)F)c1Cl)c4ccccn4,CHEMBL2392772,6.44,pIC50
Cc1nc(nc(NC[C@H](NC(=O)CCCN2CCNCC2)c3ccccc3)c1Cl)c4ccc(Br)cn4,CHEMBL2392908,6.48,pEC50
Cc1nc(nc(NC[C@H](NCCCCc2occc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392928,6.48,pEC50
c1ccc(nc1)c2ccccn2,CHEMBL39879,6.5,pEC50
Cc1nc(nc(NC[C@H](NC(=O)CCCN2CCNCC2)c3ccccc3)c1Cl)c4ccc(cn4)[N+](=O)[O-],CHEMBL2392909,6.52,pEC50
Cc1nc(nc(NCCNc2ccc(cn2)C(F)(F)F)c1Cl)c3ccccn3,CHEMBL2375628,6.55,pEC50
COc1ccc(nc1)c2nc(C)c(Cl)c(NC[C@H](NC(=O)CCCN3CCNCC3)c4ccccc4)n2,CHEMBL2392905,6.57,pEC50
Cc1nc(nc(NC[C@H](NCCCc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392920,6.59,pEC50
Cc1nc(nc(NC[C@H](NCCc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392919,6.59,pEC50
Cc1ccc(cc1)S(=O)(=O)N2CCN(CC2)c3cc(nc4ccccc34)c5ccccn5,CHEMBL2375608,6.6,pEC50
Cc1nc(nc(NC[C@H](NCc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392918,6.66,pEC50
Cc1nc(nc(NCC(CCCCc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392934,6.7,pEC50
Cc1nc(nc(NC[C@H](NCCCCc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392921,6.7,pEC50
CCOC(=O)COc1ccc(cc1)N2CCN(CC2)c3cc(nc4ccccc34)c5ccccn5,CHEMBL2375618,6.75,pEC50
Cc1nc(nc(NCC(CCCc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4,CHEMBL2392933,6.8,pEC50
