SMILES,ChEMBL,target,metric
Nc1nc(OCc2cc(Br)cs2)c(c(n1)N3CCOCC3)[N+](=O)[O-],CHEMBL1683162,6.0,pIC50
Nc1nc(OCc2cc(Br)cs2)c3ncn(CCO[C@@H]4OC(CO)[C@H](O)[C@H](O)C4O)c3n1,CHEMBL131351,6.17,pIC50
Nc1nc(OCc2ccccc2)c3nc[nH]c3n1,CHEMBL407874,6.21,pIC50
Nc1nc(OCC2=CCC2)c3[nH]cnc3n1,CHEMBL439608,6.26,pIC50
Nc1nc(OCc2cc(Br)cs2)c3ncn(CCCCCCO[C@H]4OC(CO)[C@@H](O)[C@@H](O)C4O)c3n1,CHEMBL339016,6.35,pIC50
Nc1nc(OCc2cc(Br)cs2)c3ncn(CCCCO[C@H]4OC(CO)[C@@H](O)[C@@H](O)C4O)c3n1,CHEMBL134079,6.35,pIC50
NC1=NC(OCc2cccnc2)c3[nH]cnc3N1,CHEMBL342497,6.37,pIC50
Nc1nc(OCC2=CCCC2)c3nc[nH]c3n1,CHEMBL405259,6.41,pIC50
NC1=NC(OCc2ocnc2)c3[nH]cnc3N1,CHEMBL150427,6.46,pIC50
Nc1nc(N)c(c(OCc2ccc(F)cc2)n1)[N+](=O)[O-],CHEMBL356396,6.46,pIC50
Nc1nc(N)c(c(OCc2cc(Br)cs2)n1)[N+](=O)[O-],CHEMBL1683172,6.5,pIC50
NC1=NC(OCc2cncc(Br)c2)c3[nH]cnc3N1,CHEMBL151552,6.6,pIC50
Nc1nc(OCc2cc(Br)cs2)c3ncn(CC#CCO[C@H]4OC(CO)[C@@H](O)[C@@H](O)C4O)c3n1,CHEMBL336215,6.6,pIC50
NC1=NC(OCc2cnc3OCOc3c2)c4[nH]cnc4N1,CHEMBL150918,6.64,pIC50
Nc1nc(N)c(N=O)c(OCc2ccncc2)n1,CHEMBL358907,6.64,pIC50
NC1=NC(OCc2ccc(Cl)nc2)c3[nH]cnc3N1,CHEMBL151785,6.7,pIC50
NC1=NC(OCc2ccncc2)c3[nH]cnc3N1,CHEMBL146734,6.7,pIC50
Nc1nc(N)c(N=O)c(OCc2ccccc2)n1,CHEMBL71484,6.89,pIC50
NC1=NC(OCc2occc2)c3[nH]cnc3N1,CHEMBL146768,6.92,pIC50
CC(=O)NCc1cccc(COc2nc(N)nc3[nH]cnc23)c1,CHEMBL2171202,7.07,pIC50
NC1=NC(OCc2cnsc2)c3[nH]cnc3N1,CHEMBL150324,7.16,pIC50
NC1=NC(OCc2cncs2)c3[nH]cnc3N1,CHEMBL345550,7.22,pIC50
Nc1nc(N)c(N=O)c(OCc2ccc(F)cc2)n1,CHEMBL149722,7.29,pIC50
NC1=NC(OCc2ccnc(Cl)c2)c3[nH]cnc3N1,CHEMBL151495,7.3,pIC50
Nc1nc(OCc2ccccc2)c3[nH]nnc3n1,CHEMBL333928,7.42,pIC50
Nc1nc(OCc2cc(Br)cs2)c3ncn(CCCCCCCCO[C@H]4OC(CO)[C@@H](O)[C@@H](O)C4O)c3n1,CHEMBL336947,7.5,pIC50
NC1=NC(OCc2cccs2)c3[nH]cnc3N1,CHEMBL151579,7.52,pIC50
Nc1nc(OCc2cc(Br)cs2)c3ncn(CCCCCCCCCCCCO[C@H]4OC(CO)[C@@H](O)[C@@H](O)C4O)c3n1,CHEMBL129850,7.52,pIC50
Nc1nc(OCc2cc(Br)cs2)c3ncn(CCCCCCCCCCO[C@H]4OC(CO)[C@@H](O)[C@@H](O)C4O)c3n1,CHEMBL131510,7.52,pIC50
CN(C)Cc1cccc(COc2nc(N)nc3[nH]cnc23)c1,CHEMBL2171205,7.6,pIC50
NC1=NC(OCc2ccc(Br)s2)c3[nH]cnc3N1,CHEMBL146769,8.0,pIC50
NCc1cccc(COc2nc(N)nc3nc[nH]c23)c1,CHEMBL485756,8.05,pIC50
Nc1nc(OCc2cc(Br)cs2)c3[nH]cnc3n1,CHEMBL339133,8.05,pIC50
Nc1nc(Oc2cccs2)c3[nH]cnc3n1,CHEMBL337677,8.52,pIC50
