SMILES,ChEMBL,target,metric
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,spironolactone,9.8844,pIC50
[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)C[C@H]1O[C@@]11[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)C(=O)OC,eplerenone,7.0,pIC50
[H][C@@]12[C@@H]3C[C@@H]3[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H]2C[C@H]2C2=CC(=O)CC[C@]12C,drospirenone,10.5,pIC50
[H][C@@]12CC[C@H](C(=O)COC(=O)C(C)(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,desoxycorticosterone pivalate,11.0,pEC50
[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,fludrocortisone acetate,9.92000008,pIC50
[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,desoxycortone,11.0,pIC50
[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@]12C,canrenone,6.52287865,pIC50
C[C@@H](N1C(=O)O[C@](Cc2ccccc2)(C(=O)Nc3ccc(F)cc3)C1=O)c4ccccc4,CHEMBL2407682,7.0,pIC50
C[C@@H](N1C(=O)O[C@](Cc2ccccc2)(C(=O)Nc3ccc(cc3)C#N)C1=O)c4ccccc4,CHEMBL2407684,7.0,pIC50
Cc1cc(C)c(c(C)c1)S(=O)(=O)NC(Cn2ccc3c(cccc23)C#N)C(F)(F)F,CHEMBL3093457,7.0,pIC50
Cc1nn(Cc2ccccc2)c(c3ccc(F)cc3)c1c4ccc5OCC(=O)Nc5c4,CHEMBL3337731,7.0,pIC50
NC(=O)Nc1cc(CC(C2CC2)c3ccccc3)ccn1,CHEMBL3643678,7.0,pIC50
NC(=O)Nc1cc(CCc2ccc(cc2)C(F)(F)F)ccn1,CHEMBL3643689,7.0,pIC50
CC(C)(CC(O)(CN1C=CC(=O)c2ccccc12)C(F)(F)F)c3cccc4CCOc34,CHEMBL373497,7.01,pIC50
Cc1nn(CCC(F)(F)CO)c(c2ccc(F)cc2)c1c3ccc4OCC(=O)Nc4c3,CHEMBL3337832,7.02,pIC50
CC1NC(=O)C(=C1c2ccc3OCC(=O)Nc3c2)c4ccc(F)cc4,CHEMBL2419298,7.03,pIC50
CC1NC(=O)C(=C1c2cc(F)c3OCC(=O)Nc3c2)c4ccc(F)cc4,CHEMBL2419299,7.04,pIC50
