SMILES,ChEMBL,target,metric
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4(CC4)c5ccc(Cl)cc5)ncc23,CHEMBL3654736,7.53,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H](CN)c4ccccc4)ncc23,CHEMBL3654800,7.54,pIC50
COCCn1cc(cn1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23,CHEMBL3658657,7.55,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCCC(C4)Oc5cccc(F)c5)ncc23,CHEMBL3663090,7.55,pIC50
CCCC(=O)c1n[nH]c2cc(NC(=O)N[C@H](COC)c3ccccc3)ncc12,CHEMBL3663122,7.57,pIC50
CCS(=O)(=O)c1ccc(cn1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccc(F)cc4)ncc23,CHEMBL3658679,7.58,pIC50
CC(CNC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1)N(C)C,CHEMBL3654854,7.59,pIC50
CC(CO)NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1,CHEMBL3654827,7.59,pIC50
CCO[C@@H]1CN(C)C[C@H]1NC(=O)Nc2cc3[nH]nc(c4ccc(F)cc4)c3cn2,CHEMBL3658688,7.59,pIC50
C[C@@H](NC(=O)c1ccc2[nH]nc(c3ccncc3)c2c1)c4cccc(Cl)c4,CHEMBL3797667,7.59,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4(CN)CCc5cc(F)ccc45)ncc23,CHEMBL3662948,7.59,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H](CO)c4cccc5cc[nH]c45)ncc23,CHEMBL3658727,7.59,pIC50
Cc1onc(C)c1Nc2ncc3CCN(Cc3n2)C(=O)N[C@H](CO)c4ccc(F)c(Cl)c4,CHEMBL3298567,7.59,pIC50
C[C@@H](NC(=O)Nc1cc2[nH]nc(CNCC(F)F)c2cn1)c3ccccc3,CHEMBL3663017,7.6,pIC50
OC[C@@H](NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1)c4ccc(Cl)c(F)c4,CHEMBL3298678,7.6,pIC50
OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc2ccc(I)cc2F,CHEMBL507361,7.6,pIC50
COCCN(C)c1ncc(cn1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23,CHEMBL3658661,7.61,pIC50
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(nc3)C(F)(F)F)c2cn1)c4ccc(F)cc4,CHEMBL3658673,7.61,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC(N4CCOCC4)c5ccccn5)ncc23,CHEMBL3658748,7.61,pIC50
CC[C@H](CO)NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1,CHEMBL3654831,7.62,pIC50
CN(C)CCNC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1,CHEMBL3654851,7.62,pIC50
COCC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(cn4)C(F)(F)F,CHEMBL3654866,7.62,pIC50
COC[C@@H](NC(=O)Nc1cc2[nH]nc(C3=NOC(C)C3)c2cn1)c4ccccc4,CHEMBL3663124,7.62,pIC50
COCc1cccc(c1)c2cnc3ccc(NC(=O)N[C@H](C)CCCc4ccccc4)nc3n2,CHEMBL3671128,7.62,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]([C@@H]4CCCO4)c5ccccc5)ncc23,CHEMBL3663007,7.62,pIC50
OCC(NC(=O)c1cc(c[nH]1)c2[nH]ncc2c3cccc(Cl)c3)c4cccc(F)c4,CHEMBL219849,7.62,pKi
OCC(NC(=O)c1ccc2[nH]nc(c3ccncc3)c2c1)c4cccc(Cl)c4,CHEMBL3800134,7.62,pIC50
COC[C@H](NC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1)c4ccccn4,CHEMBL3658848,7.63,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCOC(C)(C)C4)ncc23,CHEMBL3654823,7.63,pIC50
Cc1onc(c1)c2n[nH]c3cc(NC(=O)N[C@H](COCC4CC4)c5ccccc5)ncc23,CHEMBL3663136,7.63,pIC50
Fc1ccc(CNC(=O)Nc2cc3[nH]nc(C4CC4)c3cn2)cc1,CHEMBL3654770,7.63,pIC50
CC(O)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,CHEMBL3663067,7.64,pIC50
CC[C@@H](NC(=O)N1CCc2cnc(N[C@@H](C)CO)nc2C1)c3ccc(Cl)c(Cl)c3,CHEMBL3298310,7.64,pIC50
COc1ccc(cc1)N2C(=O)\C(=C\c3ccc(OCC(=O)Nc4ccccc4)cc3)\N=C2c5ccccc5,CHEMBL3577636,7.64,pIC50
COc1ccc(cc1)N2C(=O)\C(=C\c3ccc(OCC(=O)Nc4ccccc4C)cc3)\N=C2c5ccccc5,CHEMBL3577637,7.64,pIC50
C[C@@H](NC(=O)N1CCc2cnc(Nc3ccnc(C)c3)nc2C1)c4ccc(Cl)c(Cl)c4,CHEMBL3298418,7.64,pIC50
CC(NC(=O)c1ccc2[nH]nc(c3cc(F)c(O)c(F)c3)c2c1)c4cccc(Cl)c4,CHEMBL3798692,7.65,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cn5c(C)cccc5n4)ncc23,CHEMBL3658756,7.65,pIC50
Cc1ccc2nc(CNC(=O)Nc3cc4[nH]nc(c5ccnc(C)c5)c4cn3)cn2c1,CHEMBL3658755,7.65,pIC50
Clc1cc(CNC(=O)c2ccc3[nH]nc(c4ccncc4)c3c2)ccn1,CHEMBL3799614,7.65,pIC50
CC1=NOC(C)(CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)C1,CHEMBL3654819,7.66,pIC50
C[C@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccncc4,CHEMBL3654861,7.66,pIC50
FC(F)(F)c1cnc(NC2CCOCC2)nc1Nc3ccccc3NC(=O)C=C,CHEMBL3590121,7.66,pIC50
OCC(NC(=O)c1cc(c[nH]1)c2[nH]ncc2c3cccc(Cl)c3)c4ccc(F)c(F)c4,CHEMBL219790,7.66,pKi
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(F)F)c2cn1)c3ccc(F)cc3,CHEMBL3663107,7.67,pIC50
FC(F)c1n[nH]c2cc(NC(=O)N[C@H](COCC3CC3)c4ccccc4)ncc12,CHEMBL3663130,7.67,pIC50
COc1ccc(cc1)N2C(=O)\C(=C\c3ccc(OCC(=O)Nc4cccc(OC)c4)cc3)\N=C2c5ccccc5,CHEMBL3577641,7.68,pIC50
C[C@@H](CO)Nc1ncc2CCN(Cc2n1)C(=O)N[C@H](C)c3ccc(Cl)c(Cl)c3,CHEMBL3298308,7.68,pIC50
C[C@@H](NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1)c4ccc5cc[nH]c5c4,CHEMBL3298983,7.68,pIC50
COC[C@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(F)c3)c2cn1)c4ccccc4,CHEMBL3663052,7.69,pIC50
CCNc1ncc2CCN(Cc2n1)C(=O)N[C@H](CO)c3ccc(F)c(Cl)c3,CHEMBL3298305,7.7,pIC50
COC[C@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccn4,CHEMBL3658779,7.7,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCCN4CCC(C4)c5ccccc5)ncc23,CHEMBL3658765,7.7,pIC50
Oc1ccc(NC(=O)[C@@H]2CCN(CC(=O)N3CCN(CC3)c4ccc(cc4)c5ncccn5)C2)cc1Cl,CHEMBL3398598,7.7,pIC50
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cc(CO)on3)c2cn1)c4ccccn4,CHEMBL3663117,7.71,pIC50
O=C(NCCc1ccccc1)c2ccc3[nH]nc(c4ccncc4)c3c2,CHEMBL3798163,7.71,pIC50
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCC(F)(F)CN3CCCC3)c2cn1)c4ccccc4,CHEMBL3654758,7.72,pIC50
Clc1cnc(NC2CCOCC2)nc1Nc3ccccc3NC(=O)C=C,CHEMBL3590118,7.72,pIC50
CN1C[C@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@H](C1)c5ccccc5,CHEMBL3654810,7.73,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4(CC4)c5ccc(F)cc5)ncc23,CHEMBL3658709,7.73,pIC50
CC1=NOC(CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)C1,CHEMBL3654818,7.75,pIC50
Cc1cc(ccn1)c2n[nH]c3ccc(cc23)C(=O)NC(CO)c4cccc(Cl)c4,CHEMBL3798015,7.75,pIC50
COCCNC(=O)Nc1cc2[nH]nc(c3cc(C)nc(OC)c3)c2cn1,CHEMBL3663079,7.76,pIC50
O=C(NCc1ccccc1)Nc2cc3[nH]nc(C4CC4)c3cn2,CHEMBL3654772,7.76,pIC50
C=CS(=O)(=O)Nc1ccc2[nH]nc(c3ccncc3)c2c1,CHEMBL3590110,7.77,pIC50
OC[C@@H](NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1)c4ccc(Cl)c(Cl)c4,CHEMBL3298982,7.77,pIC50
CC(NC(=O)c1ccc2[nH]nc(c3ccnc(C)c3)c2c1)c4c(Cl)cncc4Cl,CHEMBL3798257,7.78,pIC50
CC(NC(=O)c1ccc2[nH]nc(c3ccncc3)c2c1)c4ccccc4Cl,CHEMBL3797587,7.78,pIC50
CC(C)(N)C(=O)OC[C@@H](N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)c(F)c4,CHEMBL3680612,7.8,pIC50
CC(C)Nc1cc(c(Cl)cn1)c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,CHEMBL3799819,7.8,pIC50
COCCNC(=O)Nc1cc2[nH]nc(c3ccnc(OC(C)C)c3)c2cn1,CHEMBL3663054,7.8,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ncccn4)ncc23,CHEMBL3654695,7.8,pIC50
OC[C@@H](N1C=CC(=CC1=O)c2cc(NC3CCOCC3)ncn2)c4ccc(Cl)c(F)c4,CHEMBL3675714,7.8,pIC50
Nc1cc(ccn1)c2n[nH]c3ccc(cc23)C(=O)NC(CO)c4cccc(Cl)c4,CHEMBL3797827,7.81,pIC50
OCC(N1C=CC(=NC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)c(F)c4,CHEMBL3409594,7.81,pIC50
COc1ccc(CNC(=O)Nc2cc3[nH]nc(c4ccc(F)cc4)c3cn2)cc1OC,CHEMBL3654684,7.82,pIC50
C[C@@H](NC(=O)Nc1cc2[nH]nc(CNCC(F)(F)F)c2cn1)c3ccccc3,CHEMBL3663016,7.82,pIC50
C[C@H]1CN(C)C[C@@H]1NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2,CHEMBL3654832,7.82,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4(CCOCC4)c5ccc(Cl)cc5)ncc23,CHEMBL3654728,7.82,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H]4COC[C@@H]4O)ncc23,CHEMBL3654815,7.82,pIC50
Cc1cnc(Nc2cccc3OCCOc23)nc1c4c[nH]c(c4)C(=O)N[C@H](CO)c5cccc(Cl)c5,CHEMBL571722,7.82,pKi
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCC34CC5CC(C3)C(O)C(C5)C4)c2cn1)c6ccccc6,CHEMBL3639536,7.83,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H]4CCOc5cc(F)ccc45)ncc23,CHEMBL3658646,7.83,pIC50
CC(C)CC(O)CNC(=O)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,CHEMBL3654765,7.84,pIC50
CCn1nccc1Nc2nccc(n2)C3=CC(=O)N(C=C3)C(=C)c4ccc(Cl)c(F)c4,CHEMBL3680615,7.84,pIC50
C[C@@H](NC(=O)Nc1cc2[nH]nc(CC#N)c2cn1)c3ccccc3,CHEMBL3663014,7.84,pIC50
CC[C@@H](NC(=O)N1CCc2cnc(N[C@@H](C)CO)nc2C1)c3ccc(OC)c(Cl)c3,CHEMBL3298312,7.85,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cncn4C)ncc23,CHEMBL3654693,7.85,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CN[C@@H](C4)c5ccccc5)ncc23,CHEMBL3658769,7.85,pIC50
OCC(N1C=CC(=CC1=O)c2cc(NC3CCOCC3)ncn2)c4ccc(Cl)c(F)c4,CHEMBL3409597,7.85,pKi
OCC(NC(=O)c1cc(c[nH]1)c2[nH]ncc2c3cccc(Cl)c3)c4ccc(Cl)cc4,CHEMBL375544,7.85,pKi
Oc1ccc(NC(=O)[C@@H]2CCN(CC(=O)N3CCN(CC3)c4ccc(cc4)c5cnccn5)C2)cc1Cl,CHEMBL3398603,7.85,pIC50
CCc1nccc(Nc2nccc(n2)C3=CC(=O)N(C=C3)C(CO)c4ccc(Cl)c(F)c4)n1,CHEMBL3675716,7.86,pIC50
C[C@@H](CO)Nc1nccc(n1)C2=CC(=O)N(C=C2)C(CO)c3cccc(Cl)c3,CHEMBL3675709,7.86,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cn5cccc(C)c5n4)ncc23,CHEMBL3658757,7.86,pIC50
COC(C)CNC(=O)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,CHEMBL3654761,7.87,pIC50
COCCNC(=O)Nc1cc2[nH]nc(c3ccc4cn(C)nc4c3)c2cn1,CHEMBL3639619,7.87,pIC50
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCC3CCN(C3)C4CC4)c2cn1)c5ccccc5,CHEMBL3654759,7.87,pIC50
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(F)F)c2cn1)c3ccccc3,CHEMBL3663108,7.87,pIC50
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(CO)C(F)(F)F)ncc23,CHEMBL3654821,7.87,pIC50
OC[C@@H](N1N=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)c(F)c4,CHEMBL3675704,7.87,pIC50
CC(NC(=O)c1ccc2[nH]nc(c3ccnc(C)c3)c2c1)c4c(Cl)cnc(Cl)c4Cl,CHEMBL3799117,7.88,pIC50
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(OC(F)(F)F)cc3)c2cn1)c4ccccc4,CHEMBL3663112,7.88,pIC50
