SMILES,ChEMBL,target,metric
Cc1oc(nn1)C(C)(O)C#Cc2ccc3OCCn4cc(nc4c3c2)C(=O)N,CHEMBL3696570,7.55,pKi
Cc1onc(c1)[C@](C)(O)C#Cc2ccc3OC[C@@](C)(O)c4cc(nn4c3c2)C(=O)N,CHEMBL3700203,7.55,pKi
Cc1onc(c1)[C@](C)(O)C#Cc2ccc3OC[C@](C)(O)c4cc(nn4c3c2)C(=O)N,CHEMBL3700209,7.55,pKi
CC(C)(O)C#Cc1cc2c(cc1F)C3CC(C3)n4c2nc(C(=O)N)c4C5(O)CCC5,CHEMBL3696621,7.56,pKi
CC(C)(O)C#Cc1cc2c(cc1F)C3CC(C3)n4c(CN5CCCC5)c(nc24)C(=O)N,CHEMBL3696529,7.57,pKi
CC(C)NC(=O)c1c(nc2c3cc(ccc3C4CC(C4)n12)C#C[C@]5(O)CCN(C)C5=O)C(=O)N,CHEMBL3700281,7.57,pKi
CC(O)(C#Cc1cc2c(cc1F)C3CC(C3)n4cc(nc24)C(=O)N)c5nc[nH]n5,CHEMBL3692513,7.57,pKi
CC(=O)N1CCN(Cc2c(nc3c4cc(C#CC(C)(C)O)c(F)cc4C5CC(C5)n23)C(=O)N)CC1,CHEMBL3696532,7.59,pKi
CC(C)(O)C#Cc1ccc2C3CC(C3)n4c(nc(C(=O)N)c4C(F)(F)F)c2c1,CHEMBL3692556,7.59,pKi
CNC(=O)[C@@H]1Cn2cc(nc2c3cc(ccc3O1)C#C[C@@](C)(O)c4cc(C)on4)C(=O)N,CHEMBL3700251,7.59,pKi
CNC(=O)[C@H]1Cn2cc(nc2c3cc(ccc3O1)C#C[C@@](C)(O)c4cc(C)on4)C(=O)N,CHEMBL3700250,7.59,pKi
Cc1onc(c1)[C@](C)(O)C#Cc2ccc3OCCn4c(nc(C(=O)N)c4C(=O)NC5CCC(F)(F)CC5)c3c2,CHEMBL3700237,7.59,pKi
Cc1onc(n1)[C@](C)(O)C#Cc2cc3c(OCCn4c(CN5CCCC5)c(nc34)C(=O)N)cc2F,CHEMBL3696686,7.59,pKi
CC(C)(O)C#Cc1cc2c(OCCn3c2nc(C(=O)N)c3C(=O)NC4(C)COC4)cc1F,CHEMBL3692414,7.6,pKi
CC(O)(C#Cc1cc2c(OCCn3cc(nc23)C(=O)N)cc1F)c4ncccc4F,CHEMBL3696557,7.6,pKi
CC(O)(C#Cc1cc2c(OCCn3cc(nc23)C(=O)N)cc1F)c4ncccn4,CHEMBL3692373,7.6,pKi
CN(C)[C@@H]1COc2cc(F)c(cc2c3nc(sc13)C(=O)N)C#CC(C)(C)O,CHEMBL3696536,7.6,pKi
CN(C)[C@H]1COc2cc(F)c(cc2c3nc(sc13)C(=O)N)C#CC(C)(C)O,CHEMBL3696538,7.6,pKi
Cc1c(nc2c3cc(C#CC(C)(C)O)c(F)cc3OCCn12)C(=O)N,CHEMBL3692389,7.6,pKi
Cc1onc(n1)[C@](C)(O)C#Cc2ccc3OC[C@@](C)(O)c4sc(nc4c3c2)C(=O)N,CHEMBL3700265,7.6,pKi
CC(O)(C#Cc1cc2c(OCCn3cc(nc23)C(=O)N)cc1F)c4ccccn4,CHEMBL3692409,7.62,pKi
C[C@@H]1COc2ccc(cc2n3nc(cc13)C(=O)N)C#C[C@@](C)(O)c4ncccn4,CHEMBL3700305,7.62,pKi
C[C@H]1COc2ccc(cc2n3nc(cc13)C(=O)N)C#C[C@@](C)(O)c4ncccn4,CHEMBL3700306,7.62,pKi
Cc1onc(c1)[C@](C)(O)C#Cc2ccc3OCCn4c(C(=O)NC(C)(C)CN5CCOCC5)c(nc4c3c2)C(=O)N,CHEMBL3700242,7.62,pKi
Cc1onc(c1)[C@](C)(O)C#Cc2ccc3O[C@@H](CO)Cn4cc(nc4c3c2)C(=O)N,CHEMBL3696724,7.62,pKi
Cc1onc(n1)[C@](C)(O)C#Cc2ccc3OC[C@@](C)(F)c4sc(nc4c3c2)C(=O)N,CHEMBL3696736,7.62,pKi
Cc1onc(n1)[C@](C)(O)C#Cc2ccc3OC[C@](C)(F)c4sc(nc4c3c2)C(=O)N,CHEMBL3696735,7.62,pKi
Cn1nccc1Cc2c(nc3c4cc(ccc4C5CC(C5)n23)C#CC(C)(C)O)C(=O)N,CHEMBL3696564,7.62,pKi
CC(C)(O)C#Cc1ccc2OCC(CC(=O)N)c3sc(nc3c2c1)C(=O)N,CHEMBL3692404,7.64,pKi
CC(C)(O)C#Cc1ccc2OCCn3c(nc(C(=O)N)c3c4cc[nH]n4)c2c1,CHEMBL3692464,7.64,pKi
Cc1nn(C)cc1C(O)c2c(nc3c4cc(C#CC(C)(C)O)c(F)cc4OCCn23)C(=O)N,CHEMBL3692519,7.64,pKi
CC(C)(O)C#Cc1cc2c(cc1F)C3CC(C3)n4c2nc(C(=O)N)c4C(O)c5ccn[nH]5,CHEMBL3696609,7.66,pKi
CC(C)(O)C#Cc1ccc2C3CC(C3)n4cc(nc4c2c1)C(=O)N,CHEMBL3692529,7.66,pKi
CC(C)(O)C#Cc1ccc2OCCn3c(nc(C(=O)N)c3c4cn[nH]c4)c2c1,CHEMBL3692458,7.66,pKi
C[C@@](O)(CF)C#Cc1ccc2OCC(F)(F)c3cc(nn3c2c1)C(=O)N,CHEMBL3639990,7.66,pKi
C[C@](O)(CF)C#Cc1ccc2OCC(F)(F)c3cc(nn3c2c1)C(=O)N,CHEMBL3700198,7.66,pKi
NC(=O)c1cn2CCOc3cc(F)c(cc3c2n1)C#CC(O)(CF)CF,CHEMBL3692469,7.66,pKi
CC(C)(O)C#Cc1cc2c(cc1F)C3CC(C3)n4c(CN5CCOCC5)c(nc24)C(=O)N,CHEMBL3692504,7.68,pKi
CC(O)(CF)C#Cc1ccc2OCCn3c(CN4CCOCC4)c(nc3c2c1)C(=O)N,CHEMBL3692467,7.7,pKi
CN1CC[C@](O)(C#Cc2ccc3C4CC(C4)c5c(nc(C(=O)N)n5Cc6nn(C)c7ccccc67)c3c2)C1=O,CHEMBL3700292,7.7,pKi
COCCOc1cnc(N)nc1c2c[nH]c3ccc(cc23)C#CC(C)(C)O,CHEMBL2334589,7.7,pIC50
Cc1nc2ccccc2n1Cc3c(nc4c5cc(ccc5OCCn34)C#CC(C)(C)O)C(=O)N,CHEMBL3696667,7.7,pKi
Cc1onc(n1)[C@](C)(O)C#Cc2ccc3OC[C@@H](F)c4sc(nc4c3c2)C(=O)N,CHEMBL3696733,7.7,pKi
Cc1onc(n1)[C@](C)(O)C#Cc2ccc3OC[C@H](F)c4sc(nc4c3c2)C(=O)N,CHEMBL3696734,7.7,pKi
CC(C)(O)C#Cc1cc2c(OCCn3c(C(O)c4cccc(c4)C(F)(F)F)c(nc23)C(=O)N)cc1F,CHEMBL3692498,7.72,pKi
CC(C)(O)C#Cc1cc2c(cc1F)C3CC(C3)n4c2nc(C(=O)N)c4c5onc(n5)C6CC6,CHEMBL3692541,7.72,pKi
CN(C)C1COc2cc(F)c(cc2c3nc(sc13)C(=O)N)C#CC(C)(O)c4ccccn4,CHEMBL3696571,7.72,pKi
COc1ncc(F)cc1[C@@H](O)c2c(nc3c4cc(C#CC(C)(C)O)c(F)cc4C5CC(C5)n23)C(=O)N,CHEMBL3696640,7.72,pKi
C[C@@](O)(C#Cc1ccc2OC[C@@](C)(F)c3sc(nc3c2c1)C(=O)N)c4ncccn4,CHEMBL3700223,7.72,pKi
C[C@@](O)(C#Cc1ccc2OC[C@](C)(F)c3sc(nc3c2c1)C(=O)N)c4ncccn4,CHEMBL3700211,7.72,pKi
CC(C)(O)C#Cc1cc2c(OCCn3c(CO)c(nc23)C(=O)N)cc1F,CHEMBL3692403,7.75,pKi
CC(O)(C#Cc1cc2c(OCCn3cc(nc23)C(=O)N)cc1F)c4nc[nH]n4,CHEMBL3692410,7.75,pKi
CC(O)(C#Cc1ccc2C3CC(C3)n4cc(nc4c2c1)C(=O)N)c5nc[nH]n5,CHEMBL3692560,7.75,pKi
CC(C)(C)C(=O)NCc1c(nc2c3cc(C#CC(C)(C)O)c(F)cc3C4CC(C4)n12)C(=O)N,CHEMBL3696656,7.77,pKi
CC(C)(O)C#Cc1ccc2OCCn3c(Cn4cnc5ccccc45)c(nc3c2c1)C(=O)N,CHEMBL3696696,7.77,pKi
CN1CCC(O)(C#Cc2ccc3C4CC(C4)n5c(C#CC6(O)CCN(C)C6=O)c(nc5c3c2)C(=O)N)C1=O,CHEMBL3696606,7.77,pKi
COC[C@](C)(O)C#Cc1ccc2OCC(F)(F)c3sc(nc3c2c1)C(=O)N,CHEMBL3696728,7.77,pKi
CC(O)(C#Cc1cc2c(OCCn3cc(nc23)C(=O)N)cc1F)c4cc(F)ccn4,CHEMBL3692495,7.8,pKi
CC(O)(C#Cc1cc2c(OCCn3cc(nc23)C(=O)N)cc1F)c4cc(on4)C=C,CHEMBL3696611,7.8,pKi
CN1CC[C@@](O)(C#Cc2ccc3C4CC(C4)n5c(nc(C(=O)N)c5C(=O)NC6CC6)c3c2)C1=O,CHEMBL3700280,7.8,pKi
CN1CC[C@@](O)(C#Cc2ccc3OC[C@@](C)(F)c4cc(nn4c3c2)C(=O)N)C1=O,CHEMBL3700208,7.8,pKi
CN1CC[C@@](O)(C#Cc2ccc3OC[C@](C)(F)c4cc(nn4c3c2)C(=O)N)C1=O,CHEMBL3700202,7.8,pKi
Cc1onc(c1)[C@](C)(O)C#Cc2ccc3OCCn4c(nc(C(=O)N)c4C(=O)N[C@@H]5CCOC5)c3c2,CHEMBL3700239,7.8,pKi
Cc1onc(c1)[C@](C)(O)C#Cc2ccc3OCCn4c(nc(C(=O)N)c4C(=O)N[C@H]5CCOC5)c3c2,CHEMBL3700238,7.8,pKi
CNC(=O)c1c(nc2c3cc(ccc3C4CC(C4)n12)C#C[C@]5(O)CCN(C)C5=O)C(=O)N,CHEMBL3700282,7.82,pKi
COC[C@@](C)(O)C#Cc1cc2c(cc1F)C3CC(C3)n4c([C@@H](O)c5ccnn5C)c(nc24)C(=O)N,CHEMBL3696633,7.82,pKi
COC[C@@](C)(O)C#Cc1cc2c(cc1F)C3CC(C3)n4c([C@H](O)c5ccnn5C)c(nc24)C(=O)N,CHEMBL3696615,7.82,pKi
