SMILES,ChEMBL,target,metric
COC1=CC=C(CN([C@@H](C)C2=NC(=CN2)C2=CC=CC=C2)C(=O)[C@@H](N)CC2=C(C)C=C(C=C2C)C(N)=O)C=C1C(O)=O,eluxadoline,8.76955128,pKi
CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1,tapentadol,7.01772881,pKi
[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)[C@H]2N,dezocine,7.42,pEC50
CCOC(=O)C1(CCN(C)CC1)c2ccccc2,pethidine,6.04,pKi
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13[H])CCN2C,levorphanol,9.68,pKi
COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,tramadol,5.8,pKi
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13[H])CCN2CC=C,levallorphan,9.32,pKi
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CCC2=O)=CC=C3O,hydromorphone,9.55,pKi
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CCC2=O)=CC=C3OC,hydrocodone,8.02,pKi
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])C=C[C@@H]2O)=CC=C3OC,codeine,6.14,pKi
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CC[N+](C)(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O,methylnaltrexone,7.55,pKi
CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1,sufentanil,8.13,pEC50
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1(O)CCC2=O,oxymorphone,9.4437,pKi
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3OC,oxycodone,7.7959,pKi
[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC=C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3O,naloxone,8.81,pKi
[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC6CCC6)CC[C@@]14[C@@]5(O)CC[C@@H]2O)=CC=C3O,nalbuphine,8.8,pKi
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,morphine,7.86,pEC50
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O,naltrexone,9.38,pKi
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,methadone,8.78,pKi
CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,loperamide,8.8239,pKi
CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,fentanyl,9.0014,pEC50
CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1,diphenoxylate,7.1674,pIC50
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56,buprenorphine,8.29,pKi
C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1,alvimopan,9.3979,pKi
CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,alfentanil,8.5,pEC50
[H]C1(C=CCCC1(C(=O)OCC)C1=CC=CC=C1)N(C)C,tilidine,5.1,pEC50
CCC1(CCCCN(C)C1)C1=CC(O)=CC=C1,meptazinol,8.06,pEC50
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1,butorphanol,9.92,pKi
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=C,nalmefene,9.53,pKd
CCC1C(=O)N(C2CCN(CC2)C(C)CC(c3ccccc3)c4ccccc4)c5ccccc15,CHEMBL3262550,7.0,pKi
CCNC(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3Cc4c[nH]cn4)c5ccccc5,CHEMBL416680,7.0,pKi
CN(C)CCNCc1ccc(cc1)c2ccccc2S(=O)(=O)N3CCCC3,CHEMBL1818331,7.0,pKi
COCCN(C1C(C=Cc2ccccc12)N3CCN(CC3)c4ccccc4)C(=O)c5sccc5Cl,CHEMBL460631,7.0,pIC50
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(CC(=O)NCC4CC4)c5ccccc35)C(C)C)c1,CHEMBL393138,7.0,pKi
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4ncn(C)n4)c5ccccc35)C(C)C)c1,CHEMBL406409,7.0,pKi
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4ncsn4)c5ccccc35)C(C)C)c1,CHEMBL261839,7.0,pKi
Cc1cc(C)cc(c1)[C@H]2CCCN2Cc3ccc(Oc4ccc(cc4F)C(=O)N)cc3,CHEMBL1921848,7.0,pKi
Cc1nn(c2CC(C)(C)CC(=O)c12)c3ccc(Cl)cc3Br,CHEMBL3325715,7.0,pEC50
