SMILES,ChEMBL,target,metric
CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O,pilocarpine,6.96999979,pEC50
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,glycopyrronium bromide,9.64000034,pKi
OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2,umeclidinium,10.22184849,pKi
CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C,fesoterodine,6.2706,pKi
O.[Br-].C[N+]1(C)[C@@H]2C[C@H](C[C@H]1[C@@H]3O[C@H]23)OC(=O)C(O)(c4cccs4)c5cccs5,tiotropium bromide,11.1,pKi
[Br-].CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,ipratropium,9.2924,pKi
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1,hyoscyamine,9.8,pKi
CC1OC2(CS1)CN1CCC2CC1,cevimeline,7.3188,pEC50
[Cl-].C[N+](C)(C)CCOC(=O)N,carbachol,8.699,pEC50
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C,atropine,9.5,pKi
CC(=O)OCC[N+](C)(C)C,acetylcholine,6.66,pEC50
CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C,propantheline,10.0,pKi
C[N+]12CCC(CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,clidinium,9.60000038,pKi
C[N+]1(C)CCN(CC(O)(C2CCCCC2)C2=CC=CC=C2)CC1,hexocyclium,8.89999962,pKi
CC(C[N+](C)(C)C)OC(N)=O,bethanechol,4.19999981,pKi
CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,dicycloverine,9.03292027,pKi
CCN(Cc1ccncc1)C(=O)C(CO)c2ccccc2,tropicamide,7.52287875,pKi
CC(C)N(CC[C@H](c1ccccc1)c2cc(C)ccc2O)C(C)C,tolterodine,8.49,pKi
C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,mepenzolate,8.59,pKi
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2,oxybutynin,9.11,pKi
O=C(O[C@H]1CN2CCC1CC2)N1CCC2=CC=CC=C2[C@@H]1C1=CC=CC=C1,solifenacin,6.88,pIC50
NC(=O)C([C@@H]1CCN(CCC2=CC=C3OCCC3=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,darifenacin,9.52,pKd
C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,methscopolamine,10.39999962,pKi
[Br-].OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c4cccs4)c5cccs5,aclidinium bromide,10.15,pKi
C1CN2CCC1C(=C3c4ccccc4c5ccccc35)C2,CHEMBL273586,7.0,pKi
CCCc1[nH]c2ccc3OC4N(CCc5cc(SC)ccc45)Cc3c2c1C(=O)OCC,CHEMBL104693,7.0,pKi
CCN1CCC(=C(C1)C(=O)OCCc2ccccc2)c3ccccc3.OC(=O)C(=O)O,CHEMBL262198,7.0,pIC50
CCc1c(NC2CC2)nc(nc1N3CCSCC3)C4CC4,CHEMBL206826,7.0,pKi
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,clozapine,7.0,pKi
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24,olanzapine,7.0,pKi
CNCCCC12CCC(c3ccccc13)c4ccccc24,maprotiline,7.0,pKi
COC(=O)C1=CCCN(C)C1,CHEMBL7303,7.0,pEC50
CO[C@@]1(CN2CCC1CC2)C#CC(O)(c3ccc(C)cc3)c4ccc(C)cc4,CHEMBL200209,7.0,pKi
CO[C@@]1(CN2CCC1CC2)C#CC(O)C3c4ccccc4C=Cc5ccccc35,CHEMBL200566,7.0,pKi
Cc1c(NC2CC2)nc(nc1N3CCC(CC3)C(F)(F)F)C4CC4,CHEMBL380926,7.0,pKi
Cc1c(NC2CC2)nc(nc1N3CCCC3)C4CC4,CHEMBL427390,7.0,pKi
Cc1cccc(CN2CCC3(CC2)CCN(CC3)C(=O)c4ccccc4)c1,CHEMBL1290184,7.0,pIC50
Clc1cccc(CN2CCC3(CC2)CCN(CC3)C(=O)c4ccccc4)c1,CHEMBL1290183,7.0,pIC50
NCC1CCC(CC1)NC(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3,CHEMBL71799,7.0,pKi
O=C(CC(c1ccccc1)(c2ccccc2)c3ccccc3)N4CCC[C@H]4C(=O)N5CCC[C@@H]5C(=O)NC[C@H]6CCCNC6,CHEMBL275914,7.0,pKi
O=C(C[N+]12CCC(CC1)[C@H](C2)OC(=O)C3(CCCCCC3)C4=CC=CC4)N5CCOCC5,CHEMBL3087239,7.0,pIC50
O=C(N(C1CCN(Cc2ccccc2)CC1)c3ccccc3)c4occc4,CHEMBL310016,7.0,pKi
O=C1NC(CN1C2CCN(CC2)c3ccccc3)(c4ccccc4)c5ccccc5,CHEMBL434929,7.0,pKi
OC(C1CCCC1)(C(=O)NC2CCN(Cc3cccnc3)CC2)c4ccccc4,CHEMBL148328,7.0,pKi
OCc1oc(cc1)C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2,CHEMBL1289201,7.0,pIC50
COc1ccccc1CN2CCC(CC2)C3CCN(CC3)C(=O)CCCCCCC(=O)N4CCC(CC4)C5CCN(Cc6ccccc6OC)CC5,CHEMBL130835,7.01,pKi
NCCCCCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3,CHEMBL1683923,7.01,pKi
CC(C1=C(CCN(C)C)Cc2cc(Cl)ccc12)c3ccccn3,CHEMBL167223,7.02,pKi
CN(C)CCOC(c1ccccc1)c2ccccc2.CN3C(=O)N(C)c4nc(Cl)[nH]c4C3=O,dimenhydrinate,7.02,pKi
CN1CCCC1c2oc(cc2)C(O)(c3ccccc3)c4ccccc4,CHEMBL576663,7.02,pKi
Clc1ccc2C(=C3CCNCC3)c4ncccc4CCc2c1,desloratadine,7.02,pKi
CN1CCC=C(C1)c2nsnc2OCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3,CHEMBL3354066,7.03,pKi
C[C@H]1CCC[C@H](\C=C\[C@@H]2[C@H]3CCCC[C@@H]3C[C@H]4[C@@H]2[C@H](C)OC4=O)N1C,CHEMBL277642,7.03,pKi
NCc1cccc(NC(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3)c1,CHEMBL302145,7.03,pKi
O=C(O[C@H]1CN2CCC1CC2)C3c4ccccc4CCc5ccccc35,CHEMBL551525,7.03,pIC50
OC(C1CCCC1)(C(=O)NC2CCN(CC3CCCCCCC3)CC2)c4ccccc4,CHEMBL146291,7.03,pKi
CCOC(=O)c1c(CC)[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c12,CHEMBL105148,7.04,pKi
CCN1CCC(=C(C1)C(=O)OCCc2ccc(C)cc2)c3ccccc3.OC(=O)C(=O)O,CHEMBL120119,7.05,pIC50
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1,thioridazine,7.05,pIC50
Clc1ccc2Nc3ccccc3C(=Nc2c1)N4CCNCC4,CHEMBL845,7.05,pKi
O[C@@]([C@@H]1CCC(F)(F)C1)(C(=O)NCCC2CCNCC2)c3ccccc3,CHEMBL67873,7.05,pKi
CCCCCCCCOC(=O)C1=C(CCN(CC)C1)c2ccccc2.OC(=O)C(=O)O,CHEMBL120080,7.06,pIC50
CCN1CCC(=C(C1)C(=O)OCCc2ccc(C)cc2)c3ccccc3,CHEMBL1180285,7.06,pIC50
CN(C)CCCN1c2ccccc2Sc3ccccc13,promazine,7.06,pKi
CN1CCCC1c2oc(cc2)C(c3ccccc3)c4ccccc4,CHEMBL571123,7.07,pKi
COc1ccccc1CN2CCC(CC2)N3CC(NC3=O)(c4ccccc4)c5ccccc5,CHEMBL388541,7.08,pKi
NCCCCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3,CHEMBL1683922,7.08,pKi
O=C1NC(CN1[C@H]2CCN(Cc3ccccc3)C2)(c4ccccc4)c5ccccc5,CHEMBL223017,7.09,pKi
[Cl-].CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,CHEMBL221753,7.09,pKi
C1CCCN(CC1)c2cc(nc(n2)C3CC3)N4CCC4,CHEMBL232416,7.1,pKi
CCCCCCOc1nsnc1C2=CCCN(C)C2,CHEMBL21536,7.1,pKi
