SMILES,ChEMBL,target,metric
C[C@@](CCC(=O)O)(NC(=O)N[C@@](C)(CCC(=O)O)C(=O)O)C(=O)O,CHEMBL45640,6.03,pKi
OC(=O)[C@H](C[C@H](NC(=O)N[C@@H](C[C@@H](Cc1ccccc1)C(=O)O)C(=O)O)C(=O)O)Cc2ccccc2,CHEMBL295457,6.41,pKi
OC(=O)CC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C1N=NN=N1,CHEMBL3348570,6.48,pKi
OC(=O)CC[C@H](NC(=O)N[C@@H](C[C@@H](Cc1ccccc1)C(=O)O)C(=O)O)C(=O)O,CHEMBL47416,7.02,pKi
OC(=O)[C@H](CCc1nnn[nH]1)NC(=O)N[C@@H](CCc2nnn[nH]2)C(=O)O,CHEMBL49271,7.83,pKi
C[C@@H](C[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O,CHEMBL416650,7.84,pKi
OC(=O)CC[C@H](NC(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(=O)O,CHEMBL415916,7.92,pKi
OC(=O)CC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,CHEMBL46005,8.1,pKi
OC(=O)CC[C@H](NC(=O)N[C@H](C(=O)O)c1ccc(O)cc1)C(=O)O,CHEMBL50489,8.23,pKi
OC(=O)CC[C@H](NC(=O)N[C@@H](CCc1nnnn1CCC#N)C(=O)O)C(=O)O,CHEMBL47058,8.28,pKi
OC(=O)CC[C@H](NC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C(=O)O,CHEMBL297489,8.52,pKi
OC(=O)CC[C@H](NC(=O)N[C@H](C(=O)O)c1ccccc1)C(=O)O,CHEMBL298530,8.68,pKi
OC(=O)CCC(CP(=O)(O)O)C(=O)O,CHEMBL47009,8.85,pKi
OC(=O)CC[C@H](NC(=O)N[C@@H](CCc1nnn[nH]1)C(=O)O)C(=O)O,CHEMBL49669,9.05,pKi
