SMILES,ChEMBL,target,metric
COc1ccc(CCCCOC(=O)N[C@H]2CNC2=O)cc1,CHEMBL3770722,6.28,pIC50
O=C(N[C@H]1CNC1=O)OCc2ccc(cc2)c3ccccc3,CHEMBL3770031,6.29,pIC50
CCCCCCCCC(=O)N[C@H]1CNC1=O,CHEMBL3770509,6.47,pIC50
FC1(F)CCC(CCCCOC(=O)N[C@H]2CNC2=O)CC1,CHEMBL3769678,6.48,pIC50
CCCCC1CCC(CC1)OC(=O)N[C@H]2CNC2=O,CHEMBL3770519,6.49,pIC50
C[C@@H]1OC(=O)[C@@H]1NC(=O)CCCCCCc2ccccc2,CHEMBL2069631,6.5,pIC50
CC(C)(C)c1ccc(COC(=O)N[C@H]2CNC2=O)cc1,CHEMBL3769597,6.51,pIC50
O=C(N[C@H]1CNC1=O)OCCCCCc2ccccc2,CHEMBL3770549,6.53,pIC50
CCCOc1ccc(COC(=O)N[C@H]2CNC2=O)cc1,CHEMBL3769689,6.6,pIC50
C[C@@H]1NC(=O)[C@H]1NC(=O)OCCCCC2CCCCC2,CHEMBL3770695,6.62,pIC50
CCc1ccc(CCCCOC(=O)N[C@H]2CNC2=O)cc1,CHEMBL3770354,6.64,pIC50
CCc1ccc(COC(=O)N[C@H]2CNC2=O)cc1,CHEMBL3769452,6.8,pIC50
O=C(N[C@H]1CNC1=O)OCc2ccc3CCCCc3c2,CHEMBL3771196,6.85,pIC50
O=C(N[C@H]1CNC1=O)OCc2ccc3CCCc3c2,CHEMBL3771169,6.89,pIC50
CCCCCCCOC(=O)N[C@H]1CNC1=O,CHEMBL3770640,6.91,pIC50
FC1(F)Oc2ccc(COC(=O)N[C@H]3CNC3=O)cc2O1,CHEMBL3771111,7.07,pIC50
FC(F)(F)c1ccc(CCCCOC(=O)N[C@H]2CNC2=O)cc1,CHEMBL3769639,7.14,pIC50
O=C(N[C@H]1CNC1=O)OCCCCC2CCCCC2,CHEMBL3770726,7.14,pIC50
O=C(N[C@H]1CNC1=O)OCc2ccc(cc2)C3CCCC3,CHEMBL3770567,7.15,pIC50
CCCc1ccc(COC(=O)N[C@H]2CNC2=O)cc1,CHEMBL3770240,7.28,pIC50
O=C(N[C@H]1CNC1=O)OCCCCCC2CCCCC2,CHEMBL3770490,7.31,pIC50
O=C(N[C@H]1CNC1=O)OCCCC2CCCCC2,CHEMBL3769455,7.36,pIC50
O=C(N[C@H]1CNC1=O)OCc2ccc(cc2)C3CCCCC3,CHEMBL3770525,7.39,pIC50
CCCCCCCCOC(=O)N[C@H]1CNC1=O,CHEMBL3770558,7.43,pIC50
O=C(N[C@H]1CNC1=O)OCCCCC2CCCC2,CHEMBL3769844,7.48,pIC50
CCCCc1ccc(COC(=O)N[C@H]2CNC2=O)cc1,CHEMBL3770896,7.64,pIC50
C[C@@H]1OC(=O)[C@@H]1NC(=O)OCCCOCc2ccccc2,CHEMBL2419828,7.7,pIC50
C[C@@H]1OC(=O)[C@@H]1NC(=O)OCCCCCc2ccccc2,CHEMBL2064166,8.14,pIC50
C[C@@H]1OC(=O)[C@@H]1NC(=O)OCc2ccc(cc2)c3ccccc3,CHEMBL2419814,8.16,pIC50
CCCCCCC[C@H](C)OC(=O)N[C@@H]1[C@H](C)OC1=O,CHEMBL2419811,8.3,pIC50
C[C@@H]1OC(=O)[C@@H]1NC(=O)OCCCCCC2CCCCC2,CHEMBL2419830,8.3,pIC50
