SMILES,ChEMBL,target,metric
Oc1ccc(CCNCCN(C2CCCCC2)C(=O)CCNCCc3ccc(Cl)c(Cl)c3)c4OCC(=O)Nc14,CHEMBL2169920,6.09,pIC50
CCN(C1CN(N=C1c2ccc(Cl)cc2)\C(=N/C#N)\Nc3cccc(OC(F)F)c3)C(=O)CO,CHEMBL3819277,6.1,pIC50
Cc1cn(CCN2CCN(CC2)c3ccccc3c4cc(cc(c4)C(=O)NCCCN5CCCC5)C#N)c6ccccc16,CHEMBL3414623,6.22,pIC50
CCN(C1CN(N=C1c2cc(C)c(Cl)c(C)c2)\C(=N/C#N)\Nc3cccc(OC(F)F)c3)C(=O)CO,CHEMBL3818176,6.24,pIC50
Oc1ccc(CCNCCN(C2CCCCC2)C(=O)CCNCCc3ccccc3)c4OCC(=O)Nc14,CHEMBL3590519,6.36,pIC50
N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23)C(=O)O,CHEMBL418052,6.75,pIC50
CCN([C@H]1CN(N=C1c2ccc(Cl)c(Cl)c2)\C(=N/C#N)\Nc3cccc(OC(F)F)n3)C(=O)CO,CHEMBL3818526,6.92,pIC50
CCN(C1CN(N=C1c2ccc(Cl)c(C)c2)\C(=N/C#N)\Nc3cccc(OC(F)F)c3)C(=O)CO,CHEMBL3818092,7.1,pIC50
CCN(C1CN(N=C1c2ccc(Cl)c(Cl)c2)\C(=N/C#N)\Nc3cccc(OC(F)F)c3)C(=O)CO,CHEMBL3818083,7.1,pIC50
CCN([C@H]1CN(N=C1c2ccc(Cl)c(Cl)c2)\C(=N/C#N)\Nc3cccc(OC)c3)C(=O)CO,CHEMBL3819554,7.15,pIC50
CCN([C@H]1CN(N=C1c2ccc(Cl)c(Cl)c2)\C(=N/C#N)\Nc3cccc(OC(F)F)c3)C(=O)CO,CHEMBL3818617,7.22,pIC50
CCN([C@H]1CN(N=C1c2ccc(Cl)c(Cl)c2)\C(=N/C#N)\Nc3cccc(OC(F)(F)F)c3)C(=O)CO,CHEMBL3818322,7.3,pIC50
CCN([C@H]1CN(N=C1c2ccc(Cl)c(Cl)c2)\C(=N/C#N)\Nc3ccc(Cl)c(OC(F)F)c3)C(=O)CO,CHEMBL3818080,7.36,pIC50
CCN([C@H]1CN(N=C1c2ccc(Cl)c(C)c2)\C(=N/C#N)\Nc3cccc(OC(F)F)c3)C(=O)CO,CHEMBL3819284,7.42,pIC50
CCN([C@H]1CN(N=C1c2ccc(Cl)c(Cl)c2)\C(=N/C#N)\Nc3cc(F)cc(OC(F)F)c3)C(=O)CO,CHEMBL3818487,7.72,pIC50
O[C@H](CNCCN(C1CCCCC1)C(=O)CCNCCc2ccc(Cl)c(Cl)c2)c3cccc4NC(=O)COc34,CHEMBL3590527,8.25,pIC50
O[C@@H](CNCCN(C1CCCCC1)C(=O)CCNCCc2ccc(Cl)c(Cl)c2)c3cccc4NC(=O)COc34,CHEMBL3590526,8.55,pIC50
