SMILES,ChEMBL,target,metric
CCOC(=O)[C@H](C)C[C@@H](CC1=CC=C(C=C1)C1=CC=CC=C1)NC(=O)CCC(O)=O,sacubitril,8.14000034,pIC50
CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC1=CC=CC=C1,racecadotril,8.1,pIC50
C[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(cc1)c2ccccc2)C(=O)O,CHEMBL91218,6.0,pIC50
OC(=O)C(Cc1ccc(O)cc1)NC(=O)C(Cc2ccccc2)CP(=O)(O)[C@H](Cc3ccccc3)NC(=O)OCc4ccccc4,CHEMBL278754,6.0,pIC50
OC(=O)[C@@H]1CCCCCc2cccc(C[C@@H](CS)C(=O)N1)c2,CHEMBL148840,6.0,pIC50
CC(C)C[C@H](NC(=O)[C@H](CC#Cc1ccccc1)NCP(=O)(O)O)C(=O)O,CHEMBL288837,6.02,pIC50
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](C)C(=O)O,CHEMBL254900,6.02,pKi
CC(C)[C@H](S)C(=O)NC1CCc2cccc3C[C@H](N(C1=O)c23)C(=O)O,CHEMBL98876,6.03,pIC50
CCCC(CC1(CCCC1)C(=O)N[C@@H]2CCCC[C@@H]2CCC)C(=O)O,CHEMBL211529,6.05,pIC50
OC(=O)CNC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL282158,6.05,pIC50
OC(=O)[C@@H]1Cc2ccccc2CCCCCCC[C@H](CS)C(=O)N1,CHEMBL433702,6.05,pIC50
CC(S)(Cc1ccccc1)C(=O)N[C@H]2CCc3ccccc3N(CC(=O)O)C2=O,CHEMBL48534,6.06,pIC50
OP(=O)(O)CN[C@@H](CC#Cc1ccc(F)cc1F)C(=O)NCCc2ccc(Br)cc2,CHEMBL416234,6.07,pIC50
CC(C)C[C@@H](CC(=O)N[C@@H](CO)C(=O)O)C(=O)O,CHEMBL3221963,6.1,pIC50
NC(=N)NCCCC(NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3)C(=O)O,CHEMBL24910,6.1,pIC50
OC(=O)C(Cc1ccccc1)NC(=O)C(Cc2ccccc2)CP(=O)(O)[C@H](Cc3ccccc3)NC(=O)OCc4ccccc4,CHEMBL27880,6.1,pIC50
OC(=O)CC(NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3)C(=O)O,CHEMBL26814,6.1,pIC50
OC(=O)Cn1ccnc1NC(=O)[C@@H](CC(COc2ccccc2)C(=O)O)Cc3ccc(cc3)c4ccccc4,CHEMBL34369,6.12,pIC50
CC(C)[C@H](N[C@@H](C)C(=O)O)C(=O)N[C@@H](Cc1ccc(cc1)c2ccccc2)C(=O)O,CHEMBL92632,6.13,pIC50
CC(C)(S)C(=O)N[C@@H](Cc1ccc(cc1)c2ccccc2)C(=O)O,CHEMBL404044,6.14,pKi
OC(=O)CN1C(=O)[C@H](CCc2ccccc12)NC(=O)[C@H](CC#Cc3ccc(F)cc3F)NCP(=O)(O)O,CHEMBL446393,6.14,pIC50
CCCC(CC1(CCCC1)C(=O)NCc2nnc(C)s2)C(=O)O,CHEMBL377618,6.16,pIC50
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccc(F)c(F)c2)cc1)C(=O)O,CHEMBL251808,6.19,pKi
OP(=O)(O)CN[C@@H](CC#Cc1ccc(F)cc1F)C(=O)NCCCc2ccccc2,CHEMBL290332,6.19,pIC50
O[C@@H](CN(CCN1C(=O)c2cccc3cccc(C1=O)c23)C(=O)N[C@@H](Cc4ccc5ccccc5c4)C(=O)O)C(=O)O,CHEMBL271718,6.19,pIC50
OC(=O)CN1C(=O)[C@@H](CCc2ccccc12)NC(=O)[C@@H](S)Cc3ccccc3,CHEMBL50315,6.25,pIC50
CCCC(CC1(CCCC1)C(=O)N[C@H](C)c2ccccc2)C(=O)O,CHEMBL378050,6.28,pIC50
OC(=O)[C@@H]1Cc2cccc3CCC(NC(=O)C4(S)Cc5ccccc5C4)C(=O)N1c23,CHEMBL316595,6.3,pIC50
OC(=O)CN1NCCC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O,CHEMBL417034,6.31,pIC50
CN1CCC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N1CC(=O)O,CHEMBL63001,6.32,pIC50
C[C@H](C[C@@H](Cc1ccc(cc1)c2ccccc2)NC(=O)N3CCC[C@H]3C(=O)O)C(=O)O,CHEMBL3677668,6.35,pIC50
OC(=O)[C@@H]1CCCCCCc2cccc(C[C@@H](CS)C(=O)N1)c2,CHEMBL147526,6.35,pIC50
C[C@@H](CNC(=O)[C@H](Cc1ccc(C)cc1)N[C@@H](CCc2ccccc2)C(=O)O)C(=O)O,CHEMBL1829586,6.37,pIC50
OC(=O)[C@H](CCc1ccccc1)N[C@@H](Cc2ccc(cc2)c3ccccc3)C(=O)O,CHEMBL1829587,6.38,pIC50
CC(C)C[C@H](NC(=O)[C@H](CC#Cc1cccc(F)c1)NCP(=O)(O)O)C(=O)O,CHEMBL434208,6.39,pIC50
OC(=O)CNC(=O)\C(=C\c1ccccc1)\CS,CHEMBL312460,6.39,pKi
OC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)NC(=O)[C@@H](S)c3ccccc3,CHEMBL437595,6.39,pKi
C[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)O,CHEMBL287896,6.4,pIC50
CCCC(CC1(CCCC1)C(=O)N[C@H](CO)Cc2ccccc2)C(=O)O,CHEMBL377431,6.42,pIC50
CCCC(CC1(CCCC1)C(=O)Nc2nncs2)C(=O)O,CHEMBL214160,6.42,pIC50
CCCC(CC1(CCCC1)C(=O)N[C@@H]2CC[C@@H](CC2)C(=O)N(C)C)C(=O)O,CHEMBL213240,6.43,pIC50
CCCC(CC1(CCCC1)C(=O)Nc2ccc(OC)nn2)C(=O)O,CHEMBL211943,6.43,pIC50
CC(C)C[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(cc1)c2ccccc2)C(=O)O,CHEMBL92676,6.45,pIC50
C[C@H](C[C@@H](Cc1ccc(cc1)c2ccccc2)NC(=O)C3=CC(=O)C=C(O3)C(=O)O)C(=O)O,CHEMBL3677667,6.46,pIC50
OC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)NC(=O)[C@H](Cc3ccc(Cl)cc3)NCP(=O)(O)O,CHEMBL329464,6.47,pIC50
CCCC(CC1(CCCC1)C(=O)NC2=CN(Cc3ccccc3)C(=O)C=C2)C(=O)O,CHEMBL213944,6.5,pIC50
CCCC(CC1(CCCC1)C(=O)NC2Cc3ccccc3C2)C(=O)O,CHEMBL376425,6.5,pIC50
CC(NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3)C(=O)O,CHEMBL27164,6.52,pIC50
CCCCC(NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3)C(=O)O,CHEMBL28273,6.52,pIC50
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,CHEMBL254703,6.52,pKi
OC(=O)CC(NC(=O)C1=CC(=O)N(N1)c2ccc(Cl)cc2)c3cc(Cl)ccc3Cl,CHEMBL3145333,6.52,pIC50
CCCC(CC1(CCCC1)C(=O)NC2CCCC(C2)C(=O)N(C)C)C(=O)O,CHEMBL212105,6.53,pIC50
CCC[C@@H](CC1(CCCC1)C(=O)Nc2nnc(C)s2)C(=O)O,CHEMBL211450,6.54,pIC50
CCC[C@@H](CC1(CCCC1)C(=O)Nc2nnc(CC)s2)C(=O)O,CHEMBL211500,6.54,pIC50
CCCC(CC1(CCCC1)C(=O)Nc2nnc(s2)c3ccccc3)C(=O)O,CHEMBL379563,6.55,pIC50
C[C@H](C[C@@H](Cc1ccc(cc1)c2ccccc2)NC(=O)c3cccc(c3)C(=O)O)C(=O)O,CHEMBL3677665,6.55,pIC50
OC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)NC(=O)[C@H](Cc3ccc4ccccc4c3)NCP(=O)(O)O,CHEMBL92326,6.55,pIC50
C[C@H](C[C@@H](Cc1ccc(cc1)c2ccccc2)NC(=O)CC(C)(C)C(=O)O)C(=O)O,CHEMBL3677666,6.57,pIC50
OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C(Cc3onc(c3)c4ccccc4)CP(=O)(O)[C@H](Cc5ccccc5)NC(=O)OCc6ccccc6,CHEMBL570843,6.59,pKi
C[C@H](C[C@@H](Cc1ccc(cc1)c2ccccc2)NC(=O)CCCc3ccc4nc(C)sc4c3)C(=O)O,CHEMBL3677662,6.6,pIC50
OC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)NC(=O)[C@H](CC#Cc3ccccc3F)NCP(=O)(O)O,CHEMBL37052,6.6,pIC50
CCc1nnc(NC(=O)C2(CCC(=O)O)CCCC2)s1,CHEMBL212001,6.63,pIC50
OC(=O)[C@@H]1CCCCCCc2ccccc2C[C@@H](CS)C(=O)N1,CHEMBL146573,6.65,pIC50
OC(=O)[C@@H]1CCCCCCc2ccccc2C[C@H](CS)C(=O)N1,CHEMBL149841,6.65,pIC50
OC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NCP(=O)(O)O,CHEMBL420253,6.65,pIC50
OC(=O)Cc1c[nH]c(NC(=O)[C@@H](CC(COc2ccccc2)C(=O)O)Cc3ccc(cc3)c4ccccc4)n1,CHEMBL417326,6.66,pIC50
CCCC(CC1(CCCC1)C(=O)N[C@@H]2CC[C@@H](C2)C(=O)N)C(=O)O,CHEMBL213861,6.67,pIC50
CCC[C@@H](CC1(CCCC1)C(=O)NC2(CO)Cc3ccccc3C2)C(=O)O,CHEMBL211383,6.69,pIC50
CC[C@H](C)C(NCC(=O)O)C(=O)N[C@@H](Cc1ccc(cc1)c2ccccc2)C(=O)O,CHEMBL328737,6.7,pIC50
CCCC(CC1(CCCC1)C(=O)N[C@@H]2CCCC[C@@H]2Cc3ccccc3)C(=O)O,CHEMBL213404,6.71,pIC50
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1c2ccccc2)C(=O)O,CHEMBL398545,6.72,pKi
