SMILES,ChEMBL,target,metric
NC(=O)[C@H]([C@@H](CCC(F)(F)F)C(=O)N[C@H]1N=C(c2ccccc2)c3ccccc3NC1=O)c4nocn4,CHEMBL3410155,6.18,pIC50
NC(=O)[C@H]([C@@H](CCC(F)(F)F)C(=O)N[C@H]1N=C(c2ccccc2)c3ccccc3NC1=O)c4cocn4,CHEMBL3410156,6.79,pIC50
CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@@H](C(=O)N)c2noc(C)n2)N=C(c3ccccc3)c4ccccc14,CHEMBL3410158,6.92,pIC50
CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@@H](C(=O)N)c2cc(C)on2)N=C(c3ccccc3)c4ccccc14,CHEMBL3410159,7.21,pIC50
NC(=O)[C@H]([C@@H](CCC(F)(F)F)C(=O)N[C@H]1N=C(c2ccccc2)c3ccccc3NC1=O)c4conc4,CHEMBL3410157,7.54,pIC50
CCC[C@@H]([C@@H](CC(F)(F)F)C(=O)N[C@H]1N=C(c2ccccc2)c3ccccc3N(C)C1=O)C(=O)N,CHEMBL3410154,7.62,pIC50
COc1ccc(cc1)[C@@H]([C@@H](CCC(F)(F)F)C(=O)N[C@H]2N=C(c3ccccc3)c4ccccc4N(C)C2=O)C(=O)N,CHEMBL3410166,8.22,pIC50
CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@@H](C(=O)N)c2cccc(OC(F)(F)F)c2)N=C(c3ccccc3)c4ccccc14,CHEMBL3410164,8.4,pIC50
CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@@H](C(=O)N)c2ccccc2)N=C(c3ccccc3)c4ccccc14,CHEMBL3410161,8.4,pIC50
CCC(CC)[C@@H]([C@@H](CC(C)(C)C)C(=O)N[C@H]1N=C(c2ccccc2)c3ccccc3N(C)C1=O)C(=O)N,CHEMBL3410152,8.52,pIC50
CCC(CC)[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1N=C(c2ccccc2)c3ccccc3N(C)C1=O)C(=O)N,CHEMBL3410151,8.52,pIC50
CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@@H](C(=O)N)c2conc2C)N=C(c3ccccc3)c4ccccc14,CHEMBL3410160,8.52,pIC50
CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@@H](C(=O)N)c2cc(F)cc(F)c2)N=C(c3ccccc3)c4ccccc14,CHEMBL3410170,8.7,pIC50
CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@@H](C(=O)N)c2ccc(F)c(F)c2)N=C(c3ccccc3)c4ccccc14,CHEMBL3410168,8.7,pIC50
CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@@H](C(=O)N)c2cccc(c2)C(F)(F)F)N=C(c3ccccc3)c4ccccc14,CHEMBL3410163,8.7,pIC50
CCC(CC)[C@@H]([C@@H](CCC(F)(F)F)C(=O)N[C@H]1N=C(c2ccccc2)c3ccccc3N(C)C1=O)C(=O)N,CHEMBL3410153,9.0,pIC50
CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@@H](C(=O)N)c2ccc(F)cc2)N=C(c3ccccc3)c4ccccc14,CHEMBL3410167,9.0,pIC50
CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@@H](C(=O)N)c2ccc(F)cc2F)N=C(c3ccccc3)c4ccccc14,CHEMBL3410169,9.0,pIC50
CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@@H](C(=O)N)c2cccc(C)c2)N=C(c3ccccc3)c4ccccc14,CHEMBL3410162,9.0,pIC50
