SMILES,ChEMBL,target,metric
[H][C@]12C[C@]([H])(CNC1)C1=C2C=C2N=CC=NC2=C1,varenicline,9.3979,pKi
CN1CCC[C@H]1C1=CC=CN=C1,nicotine,8.56,pKi
CC(CCCC(=O)N(C)C)N(C)C,CHEMBL445169,5.0,pKi
CC(CCOC(=O)N(C)c1ccc(cc1)C#N)N(C)C,CHEMBL466398,5.0,pKi
CC(CCOC(=O)N(C)c1ccccc1)N(C)C,CHEMBL479623,5.0,pKi
CC(CCOC(=O)NCCO)N(C)C,CHEMBL501227,5.09,pKi
CC(CCOC(=S)N(C)C)N(C)C,CHEMBL468903,5.16,pKi
CN(C)C(CCOC(=O)N(C)C)c1ccccc1,CHEMBL479429,5.18,pKi
CNC(=O)\C=C\CC(C)N(C)C,CHEMBL503940,5.18,pKi
CN(C)C(CCOC(=O)N(C)C)C1CC1,CHEMBL480799,5.19,pKi
C1CCC(CC1)c2cc(on2)c3cnn(c3)C4CCNCC4,CHEMBL491846,5.34,pEC50
CC(CCOC(=O)N(C)CCO)N(C)C,CHEMBL479622,5.4,pKi
CC(CCOC(=O)N(C)c1ccc(Cl)cc1)N(C)C,CHEMBL499575,5.4,pKi
CN(C)C(CO)CCOC(=O)N(C)C,CHEMBL480798,5.4,pKi
CN(C)C(CCOC(=O)N(C)C)c1ccsc1,CHEMBL479015,5.5,pKi
CC(C\C=C\C(=O)N(C)C)N(C)C,CHEMBL468697,5.6,pKi
CC(CCOC(=O)N)N(C)C,CHEMBL449334,5.68,pKi
CC(CCOC(=O)NCCCc1ccccc1)N(C)C,CHEMBL448084,5.8,pKi
CC(CCSC(=O)N(C)C)N(C)C,CHEMBL480797,5.8,pKi
CCCNC(=O)OCCC(C)N(C)C,CHEMBL466399,5.8,pKi
Cc1cc(on1)c2cnn(c2)C3CCNCC3,CHEMBL509878,5.89,pEC50
Cc1c(cnn1C2CCNCC2)c3onc(c3)c4ccccc4,CHEMBL498187,5.92,pEC50
CCNC(=O)OCCC(C)N(C)C,CHEMBL451633,6.1,pKi
Cc1ncc(cc1Cl)N2CCNCC2,CHEMBL210598,6.28,pIC50
C(N1C2CCC1CC(C2)OC3c4ccccc4CCc5ccccc35)c6ccccc6,CHEMBL491861,6.34,pIC50
CC(CCOC(=O)N(C)Cc1ccccc1)N(C)C,CHEMBL500318,6.38,pKi
Clc1cccc(Cl)c1c2cc(on2)c3cnn(c3)C4CCNCC4,CHEMBL490819,6.39,pEC50
CN(Cc1onc(c1)c2ccccc2Cl)C(=O)C3CCNCC3,CHEMBL497990,6.46,pEC50
Clc1cncc(c1)N2CCNCC2,CHEMBL68563,6.51,pIC50
Fc1ccc(Cl)c(c1)c2cc(on2)c3cnn(c3)C4CCNCC4,CHEMBL497163,6.57,pEC50
Clc1cncc(OC2CCCNC2)c1,CHEMBL208754,6.62,pIC50
Clc1ncc(cc1Br)N2CCNCC2,CHEMBL377443,6.64,pIC50
Fc1cccc(c1Cl)c2cc(on2)c3cnn(c3)C4CCNCC4,CHEMBL483462,6.64,pEC50
Fc1ccc(c(Cl)c1)c2cc(on2)c3cnn(c3)C4CCNCC4,CHEMBL522077,6.66,pEC50
O=C(N1CC2CNCC2C1)c3cocc3,CHEMBL2179559,6.66,pKi
CC(=O)Nc1oc(cc1)C(=O)N2CC3CNCC(C3)C2,CHEMBL3676971,6.68,pKi
C[N+]1(C)C2CCC1CC(C2)OC3c4ccccc4CCc5ccccc35,CHEMBL490843,6.68,pIC50
Clc1cnccc1c2cc(on2)c3cnn(c3)C4CCNCC4,CHEMBL483665,6.7,pEC50
C1CNCC(C1)Oc2cccnc2,CHEMBL9965,6.72,pIC50
C=COc1cncc(c1)N2CCNCC2,CHEMBL208765,6.72,pIC50
Brc1ccc(cn1)N2CCNCC2,CHEMBL209824,6.74,pIC50
COc1cc(cnc1Br)N2CCNCC2,CHEMBL382985,6.74,pIC50
COc1cc(on1)C(=O)N2CC3CNCC(C3)C2,CHEMBL3676969,6.75,pKi
CCSc1ccc(cn1)N2CCCNCC2,CHEMBL71068,6.77,pIC50
COc1ccc(cn1)N2CCCNCC2,CHEMBL71067,6.77,pIC50
O=C(N1CC2CNCC2C1)c3ccncc3,CHEMBL2179971,6.8,pKi
Clc1sccc1c2cc(on2)c3cnn(c3)C4CCNCC4,CHEMBL523966,6.89,pEC50
FC(F)c1occ(c1)C(=O)N2CC3CNCC3C2,CHEMBL3676968,6.89,pKi
Clc1ccccc1c2cc(on2)c3cnn(c3)C4CCNCC4,CHEMBL526090,6.92,pEC50
C1CC(CN1)Oc2cccnc2,CHEMBL273218,7.0,pIC50
COc1ccoc1C(=O)N2CC3CNCC3C2,CHEMBL3676955,7.0,pKi
Cc1onc(c1)C(=O)N2CC3CNCC(C3)C2,CHEMBL3676972,7.02,pKi
O=C(N1CC2CNCC2C1)c3occ(c3)c4cocc4,CHEMBL3676949,7.02,pKi
O=C(N1CC2CNCC2C1)c3ccon3,CHEMBL3676964,7.05,pKi
O=C(N1CC2CNCC(C2)C1)c3occn3,CHEMBL3676988,7.07,pKi
O=C(N1CC2CNCC2C1)c3occ(c3)c4ccccc4,CHEMBL3676948,7.07,pKi
Cc1onc(c1)C(=O)N2CC3CNCC3C2,CHEMBL3676950,7.08,pKi
O=C(N1CC2CNCC(C2)C1)c3cc(on3)C4CC4,CHEMBL3676976,7.08,pKi
Brc1oc(cc1)C(=O)N2CC3CNCC3C2,CHEMBL2179532,7.14,pKi
O=C(N1CC2CNCC2C1)c3oncc3,CHEMBL2179956,7.16,pKi
Cc1ncoc1C(=O)N2CC3CNCC(C3)C2,CHEMBL3676973,7.19,pKi
O=CNc1oc(cc1)C(=O)N2CC3CNCC3C2,CHEMBL3676954,7.2,pKi
