SMILES,ChEMBL,target,metric
NC(=N)NCC(=O)NCC1(CCN(Cc2ccccc2)CC1)Nc3cccc4ccccc34,CHEMBL3361418,7.03,pKi
NC(=N)NCCC[C@H](NC(=O)c1cccc2ccccc12)C(=O)N[C@@H](Cc3ccccc3)C(=O)N,CHEMBL2208294,7.06,pKi
NC(=N)NCCC[C@@H](NC(=O)\C=C\c1ccccc1)C(=O)N[C@H](Cc2ccccc2)C(=O)N,CHEMBL2208304,7.08,pKi
NC(=N)NCCNC(=O)C1(CCN(Cc2ccccc2)CC1)Nc3ccccc3,CHEMBL3361425,7.09,pKi
CC(=N)NCCC[C@H](NC(=O)C12CC3CC(CC(C3)C1)C2)C(=O)N[C@@H](Cc4ccccc4)C(=O)N,CHEMBL3360829,7.24,pKi
NC(=N)NCCC[C@@H](NC(=O)C12CC3CC(CC(C3)C1)C2)C(=O)N[C@H](Cc4ccccc4)C(=O)N,CHEMBL2208307,7.29,pKi
NC(=N)NCCC[C@@H](NC(=O)Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N,CHEMBL2208316,7.46,pKi
NC(=N)NCCC[C@@H](NC(=O)C12CC3CC(CC(C3)C1)C2)C(=O)N[C@@H](Cc4ccccc4)C(=O)N,CHEMBL2208305,7.54,pKi
NC(=N)NCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N,CHEMBL2208339,7.64,pKi
NC(=N)NCCC[C@H](NC(=O)C12CC3CC(CC(C3)C1)C2)C(=O)N[C@@H](Cc4ccccc4)C(=O)N,CHEMBL1672380,7.66,pKi
NC(=NCCC[C@@H](NC(=O)C(c1ccccc1)c2ccccc2)C(=O)NCc3ccc(O)cc3)N,CHEMBL332347,7.75,pKi
NC(=N)NCCC[C@@H](NC(=O)C(c1ccccc1)c2ccccc2)C(=O)N[C@H](Cc3ccccc3)C(=O)N,CHEMBL2208299,7.82,pKi
NC(=N)NCCC[C@@H](NC(=O)c1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N,CHEMBL2208340,7.96,pKi
NC(=N)NCCC[C@@H](NC(=O)C(c1ccccc1)c2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N,CHEMBL2208319,8.0,pKi
NC(=N)NCCC[C@@H](NC(=O)c1cccc(c1)c2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N,CHEMBL2208322,8.22,pKi
NC(=N)NCCC[C@@H](NC(=O)c1ccccc1c2ccccc2)C(=O)N[C@H](Cc3ccccc3)C(=O)N,CHEMBL2208320,8.3,pKi
NC(=N)NCCC[C@@H](NC(=O)c1ccc(cc1)c2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N,CHEMBL2208325,8.7,pKi
NC(=N)NCCC[C@@H](NC(=O)c1ccccc1c2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N,CHEMBL2208338,8.7,pKi
NC(=N)NCCC[C@H](NC(=O)CCN1c2ccccc2Sc3ccccc13)C(=O)N[C@@H](Cc4ccccc4)C(=O)N,CHEMBL2208301,9.05,pKi
NC(=N)NCCC[C@@H](NC(=O)\C=C\c1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N,CHEMBL2208303,9.1,pKi
NC(=N)NCCC[C@H](NC(=O)c1ccccc1c2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N,CHEMBL2208337,9.5,pKi
