SMILES,ChEMBL,target,metric
Cc1c(n2ccccc2[n+]1C\C=C\c3ccccc3Cl)P(=S)(c4ccccc4)c5ccccc5.[O-]C(=O)C(F)(F)F,CHEMBL3086837,7.03,pIC50
[I-].Cc1c([n+]2ccccc2n1C)P(=S)(c3ccccc3)c4ccccc4,CHEMBL1598051,7.08,pIC50
Cc1c(n2ccccc2[n+]1C\C=C\c3ccc(F)cc3)P(=S)(c4ccccc4)c5ccccc5.[O-]C(=O)C(F)(F)F,CHEMBL3086821,7.15,pIC50
Fc1ccc(CNC(=O)N2CCN3C(C2)C(OC3=O)(c4ccccc4)c5ccccc5)cc1,CHEMBL469695,7.32,pIC50
[Br-].Cc1c(n2ccccc2[n+]1C\C=C\c3ccccc3)P(=S)(c4ccccc4)c5ccccc5,CHEMBL1474387,7.35,pIC50
Cc1c(n2ccccc2[n+]1Cc3ccccc3)P(=S)(c4ccccc4)c5ccccc5.[O-]C(=O)C(F)(F)F,CHEMBL3086833,7.8,pIC50
[Br-].Cc1c(n2ccccc2[n+]1CCc3ccccc3)P(=S)(c4ccccc4)c5ccccc5,CHEMBL1315807,7.8,pIC50
[Br-].Cc1c(n2ccccc2[n+]1CCCCc3ccccc3)P(=S)(c4ccccc4)c5ccccc5,CHEMBL1553073,7.82,pIC50
[Br-].Cc1c(n2ccccc2[n+]1C(=O)Cc3ccccc3)P(=S)(c4ccccc4)c5ccccc5,CHEMBL3086834,7.89,pIC50
CCC(C)(CCN1CCOCC1)N(CC2=Cc3ccccc3N(C)C2=O)C(=O)C4CCCCC4,CHEMBL1210313,7.96,pIC50
Cc1nc2ccccn2c1P(=S)(c3ccccc3)c4ccccc4,CHEMBL1514777,8.04,pIC50
Cc1c(n2ccccc2[n+]1CCCCCc3ccccc3)P(=S)(c4ccccc4)c5ccccc5.[O-]C(=O)C(F)(F)F,CHEMBL1472563,8.21,pIC50
