SMILES,ChEMBL,target,metric
CC(C)NC(=O)Nc1cccc(CN2C(=O)C(CCc3ccccc23)NC(=O)Nc4cccc(F)c4F)c1,CHEMBL87548,7.0,pKi
CC1(F)CCN(CC1)C2C[C@@H](Oc3ccc(Cl)cc3)c4c(C2=O)c5ccccc5n4CC6CCNCC6,CHEMBL381510,7.0,pIC50
CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@]1(C)NC(=O)CC[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H]2CCCN2C(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](N)Cc4ccc(O)cc4)C(=O)N5CCC[C@@H]5C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](Cc6ccc(O)cc6)C(=O)N[C@@H](Cc7ccc(O)cc7)C(=O)N[C@H](CO)C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](Cc8c[nH]cn8)C(=O)N[C@@H](Cc9ccc(O)cc9)C(=O)N1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc%10ccc(O)cc%10)C(=O)N,CHEMBL415353,7.0,pKd
CN1CCN(CC1)C2C[C@@H](Oc3ccc(Cl)cc3)c4c(C2=O)c5ccccc5n4C[C@@H]6CCN(C)C[C@@H]6F,CHEMBL383763,7.0,pKi
Cc1cc(\C=C\c2cc3CCCN4CCCc(c2)c34)cc(C)[n+]1CCN(CCNC(=O)CCCCCCC(=O)\N=C(/N)\NCCC[C@@H](NC(=O)C(c5ccccc5)c6ccccc6)C(=O)NCc7ccc(O)cc7)CCNC(=O)CCCCCCC(=O)\N=C(/N)\NCCC[C@@H](NC(=O)C(c8ccccc8)c9ccccc9)C(=O)NCc%10ccc(O)cc%10.[O-]C(=O)C(F)(F)F,CHEMBL1774346,7.0,pKi
CC1CCN(CC1)[C@@H]2C[C@@H](Oc3ccc(Cl)cc3)c4c(C2=O)c5ccccc5n4CC6CCNCC6,CHEMBL204050,7.01,pIC50
Cc1cc(\C=C\c2cc3CCCN4CCCc(c2)c34)cc(C)[n+]1CCOCCOCCOCCC(=O)\N=C(\N)/NCCC[C@@H](NC(=O)C(c5ccccc5)c6ccccc6)C(=O)NCc7ccc(O)cc7.[O-]C(=O)C(F)(F)F,CHEMBL1774213,7.01,pKi
Cc1cccc2c1nc(COc3ccc(Cl)cc3)n2CCCC4CCCNC4,CHEMBL329224,7.01,pKi
Clc1ccc(OCc2c(CN3CCC(CC3)N4CCCCC4)c5ccccc5n2CCN6CCCCC6)cc1,CHEMBL121636,7.01,pKi
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OC)c2cccc(NC(=O)NCCCN3CCN(CC3)c4ccccc4C)c2)\O,CHEMBL127962,7.02,pKi
