SMILES,ChEMBL,target,metric
CCC[C@H]1CSCCC(=N1)N,CHEMBL186431,6.0,pIC50
CCCc1cc(C)cc(N)n1,CHEMBL302657,6.0,pIC50
CCN(Cc1cc(Cl)ccc1C#N)C2CCNCC2,CHEMBL403952,6.0,pIC50
COc1ccnc(N)c1,CHEMBL113793,6.0,pIC50
Cl.CCSC(=N)Nc1ccc(C)cc1,CHEMBL543098,6.0,pKi
CN(Cc1cc(Cl)ccc1C#N)C2CCCNC2,CHEMBL271248,6.01,pIC50
NC1=Nc2ccccc2[C@H]3COC[C@@H]13,CHEMBL315966,6.02,pIC50
Cl.CCSC(=N)Nc1ccc(Cl)cc1,CHEMBL543806,6.05,pKi
N=C(Nc1ccc2nc(NCCc3ccccn3)sc2c1)c4cccs4,CHEMBL233652,6.05,pIC50
Nc1cccc(n1)c2ccc(CCN3CCN(CC(=O)c4ccccc4)CC3)cc2,CHEMBL40391,6.05,pIC50
C[C@H]1CC(=N[C@H]2CCC[C@@H]12)N,CHEMBL433589,6.06,pIC50
CN(Cc1cc(Cl)ccc1C#N)C2CCN(CC3CC3)CC2,CHEMBL256620,6.07,pIC50
C[C@@H]1CC(=N[C@@H]2CCCC[C@H]12)N,CHEMBL191675,6.08,pIC50
Nc1cccc(n1)c2ccc(CCN3CCN(CC3)c4cccc5cccnc45)cc2,CHEMBL87187,6.08,pIC50
CC(=N)NCCC[C@H](N)C(=O)O,CHEMBL11471,6.09,pKi
CC(C)NC(=O)CN1CCN(CCc2ccc(cc2)c3cccc(N)n3)CC1,CHEMBL87186,6.09,pIC50
CN(Cc1cc(Br)ccc1C#N)C2CCN(C)CC2,CHEMBL436643,6.09,pIC50
CN(Cc1cc(Cl)ccc1Br)C2CCN(C)CC2,CHEMBL256069,6.09,pIC50
Cc1cccc(N)n1,CHEMBL61591,6.09,pIC50
CN(Cc1cc(Cl)ccc1C#N)C2CCN(C)CC2,CHEMBL256249,6.11,pIC50
Cl.Cl.N=C(Nc1ccc2N(CCc2c1)C(=O)CN3CCCC3)c4cccs4,CHEMBL3215676,6.11,pIC50
Nc1cccc(n1)c2ccc(OCCN3CCCC3)c4CCCc24,CHEMBL290476,6.11,pIC50
N=C(Nc1ccc2nc(NC3CCN(CCc4cnc[nH]4)CC3)sc2c1)c5cccs5,CHEMBL233653,6.16,pIC50
Nc1cccc(n1)c2ccc(CCN3CCN(CC3)C(=O)Cc4ccccc4)cc2,CHEMBL87544,6.16,pIC50
CCCCN1CCC(CC1)N(C)Cc2cc(Cl)ccc2C#N,CHEMBL257008,6.17,pIC50
Cl.COC(=O)[C@@H](N)CCCNC(=N)N[N+](=O)[O-],CHEMBL1256014,6.17,pIC50
CNC(=N)NCCC[C@H](N)C(=O)O,CHEMBL256147,6.19,pIC50
CNC(=N)NCCC[C@H](N)C(=O)OC,CHEMBL1956111,6.19,pIC50
CN[C@@H](CCCNC(=N)N)C(=O)O,CHEMBL332148,6.19,pIC50
Cl.Cl.CNC(=N)NCCC[C@H](N)C(=O)O,CHEMBL3217190,6.19,pIC50
N=C1CCCCN1,CHEMBL269058,6.2,pIC50
CC1CC(=NC1C)N,CHEMBL185584,6.22,pIC50
CC1CCCC(=N1)N,CHEMBL265672,6.22,pIC50
Cc1cnc(N)cc1C,CHEMBL293022,6.22,pIC50
CC(C)N(Cc1cc(Cl)ccc1C#N)C2CCNCC2,CHEMBL428248,6.24,pIC50
CCCC1CC(=CC(=N1)N)C,CHEMBL75496,6.24,pIC50
CC(C)CCN1CCC(CC1)N(C)Cc2cc(Cl)ccc2C#N,CHEMBL402425,6.27,pIC50
CNC(=N)NCCCC(N)C(=O)O,CHEMBL312870,6.27,pIC50
CC1CN=C(N)C=C1C,CHEMBL75905,6.28,pIC50
CCC1N=C(N)CC1C,CHEMBL185024,6.28,pIC50
CC1=CC(=N[C@@H]2CCC[C@H]12)N,CHEMBL75428,6.29,pIC50
N[C@@H](CCCN(C(=N)N)[N+](=O)[O-])C(=O)O,CHEMBL353794,6.3,pIC50
N[C@@H](CCCNC(=N)N[N+](=O)[O-])C(=O)O,CHEMBL227744,6.3,pIC50
C[C@@H]1CC(=N[C@@H]2CCC[C@H]12)N,CHEMBL191242,6.33,pIC50
CCN1CCC(CC1)N(C)Cc2cc(Cl)ccc2C#N,CHEMBL258310,6.35,pIC50
NC1=NCCCOC1,CHEMBL362772,6.35,pIC50
Nc1cccc(n1)c2ccc(CCN3CCN(CCc4ccccc4)CC3)cc2,CHEMBL87529,6.35,pIC50
CC1=CCN=C(N)C1,CHEMBL76342,6.36,pIC50
Cn1cncc1C(=O)N(CC2=CC(=O)Nc3c(F)c(F)ccc23)c4cccc(Cl)c4,CHEMBL491923,6.38,pEC50
NCCN[C@@H]1CNC[C@@H]1Cc2cccc(N)n2,CHEMBL510760,6.38,pKi
