SMILES,ChEMBL,target,metric
CNC(=N)NCCCC(N)C(=O)O,CHEMBL312870,6.0,pIC50
CNC(=N)NCCC[C@H](N)C(=O)O,CHEMBL256147,6.0,pIC50
COc1cccc(c1)N(CC2=CC(=O)Nc3c(F)cccc23)C(=O)c4scnc4C,CHEMBL490919,6.0,pEC50
COc1ccnc(N)c1,CHEMBL113793,6.0,pIC50
N=C1CCCCN1,CHEMBL269058,6.0,pIC50
NC1=NC2(CCN(CC2)C(=O)c3ccc(nc3)C#N)Nc4c(F)ccc(F)c14,CHEMBL447183,6.0,pIC50
CC1CC(=Nc2ccccc12)N,CHEMBL192033,6.01,pIC50
NC1=NC(CC[N+](=O)[O-])COCC1,CHEMBL314727,6.01,pIC50
Cl.Cl.NC1=Nc2cc(CNCc3cccc(Cl)c3)ccc2[C@H]4CCC[C@@H]14,CHEMBL544514,6.02,pIC50
NCC[C@@H](Oc1ccc(Cl)cc1C#N)c2ccccc2.OC(=O)\C=C\C(=O)O,CHEMBL1762477,6.02,pIC50
CCC1CN=C(N)C1C,CHEMBL184798,6.03,pIC50
Cc1cccnc1N,CHEMBL291544,6.03,pIC50
Cl.CCCCCC1N=C(N)CC1C,CHEMBL542710,6.04,pIC50
CCC1Nc2ccccc2C(=N1)N,CHEMBL169840,6.05,pIC50
CN(Cc1ccccc1)C(=O)CC2CCCCN2c3ccnc(n3)n4ccnc4,CHEMBL223005,6.05,pIC50
C\C=C\CC1CCCCC(=N1)N,CHEMBL89459,6.05,pIC50
NC1=NCCS1,CHEMBL362148,6.05,pIC50
NCC[C@@H](Oc1cc(Cl)ccc1C#N)c2ccccc2.OC(=O)C(=O)O,CHEMBL1762473,6.05,pIC50
I.CCSC(=N)Nc1ccccc1,CHEMBL545673,6.06,pKi
CC(C)c1nc2nccnc2n1CC3=CC(=O)Nc4c(F)c(F)ccc34,CHEMBL1801058,6.07,pEC50
C[C@@H]1CC(=N[C@@H]2CCCCC[C@H]12)N,CHEMBL190655,6.07,pIC50
C(c1ccc2OCOc2c1)c3nc(Oc4ccc(cc4)n5ccnc5)cc(n3)N6CCOCC6,CHEMBL244397,6.08,pIC50
Cc1ncsc1C(=O)N(CC2=CC(=O)Oc3c(F)c(F)ccc23)c4cccc(Cl)c4,CHEMBL453401,6.08,pEC50
Cl.COC(=O)[C@@H](N)CCCNC(=N)N[N+](=O)[O-],CHEMBL1256014,6.08,pIC50
CC1CSCCC(=N1)N,CHEMBL364999,6.09,pIC50
Cc1cnc(N)cc1C,CHEMBL293022,6.09,pIC50
Cl.CCCCCC1N=C(N)CC1C(F)(F)F,CHEMBL545059,6.09,pIC50
CC(C)c1nc2ccccc2n1CC3=CC(=O)Nc4c(F)c(F)ccc34,CHEMBL1801482,6.1,pEC50
Cc1ccnc(NCc2ccccc2)c1,CHEMBL1762482,6.1,pIC50
Clc1ccc2OC(=O)N(CN3CCOCC3)c2c1,CHEMBL319405,6.1,pIC50
NC(=N)C1CC1,CHEMBL1783071,6.1,pIC50
COc1ccnc(CCc2nc3c(OC)ccnc3[nH]2)c1,CHEMBL1800530,6.11,pIC50
Cl.CCCCC[C@H]1NC(=N)[C@@H](O)[C@H]1C,CHEMBL114534,6.11,pIC50
Fc1cccc2C(=CC(=O)Nc12)CN(C(=O)C3CCCC3)c4cccc(Cl)c4,CHEMBL512501,6.11,pEC50
COc1ccc(CNCCCN(C)c2nc(ns2)n3ccnc3)cc1OC,CHEMBL1911888,6.12,pEC50
Cc1ncsc1C(=O)N(Cc2cncc3c(F)cccc23)c4cccc(Cl)c4,CHEMBL521778,6.12,pEC50
Fc1ccc2C(=CC(=O)Nc2c1F)Cn3c(nc4ccccc34)C5CCCC5,CHEMBL1801488,6.13,pEC50
CC(C)CN(Cc1cc(Cl)ccc1C#N)[C@H]2CCCN(C)C2,CHEMBL256414,6.14,pIC50
CC(CCF)Cc1cc(C)cc(N)n1,CHEMBL447472,6.14,pIC50
CCCc1nc2ccccc2n1CC3=CC(=O)Nc4c(F)c(F)ccc34,CHEMBL1801485,6.14,pEC50
CCOC(=O)N1CCC(CC1)Nc2cc(Cl)ccn2,CHEMBL1221660,6.14,pIC50
COc1ccnc(CCc2nc3c(OCCc4ccccc4)ccnc3[nH]2)c1,CHEMBL1800532,6.14,pIC50
NCC[C@@H](Oc1nc(ccc1C#N)C(F)(F)F)c2oncc2.OC(=O)C(=O)O,CHEMBL1762481,6.14,pIC50
NCCC1CCCCC(=N1)N,CHEMBL92475,6.15,pIC50
CC(=Cc1cc(C)cc(N)n1)C,CHEMBL464556,6.16,pIC50
CC(=N)NCCSC[C@@H](N)C(=O)O,CHEMBL435854,6.16,pIC50
CC1=CCN=C(N)C1,CHEMBL76342,6.16,pIC50
CN(Cc1cc(Cl)ccc1C(F)(F)F)C2CCN(C)CC2,CHEMBL258348,6.16,pIC50
Cl.CNCC[C@@H](Oc1cc(Cl)ccc1C#N)c2ccccc2,CHEMBL1762472,6.16,pIC50
NC(=N)C1CCCN1,CHEMBL1783092,6.16,pIC50
