SMILES,ChEMBL,target,metric
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56,buprenorphine,7.11,pKi
CC(=O)NC[C@]1(C[C@H]2CC[C@@H](C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccc(cn5)N6CCCCC6,CHEMBL3349271,7.0,pKi
CC(C)(C)C1CCC(CC1)N2CCC(CC2)(C(=O)N)c3ccccc3F,CHEMBL271779,7.0,pKi
CCC(CC)N1CCN(CCC(=O)N2C(Cc3ccccc23)C(=O)N(C)C)CC1,CHEMBL2064137,7.0,pKi
CCCCN(C[C@H](O)CN1CN(c2ccccc2)C3(CCN(CCc4ccccc4c5cccs5)CC3)C1=O)Cc6ccccc6,CHEMBL3394745,7.0,pIC50
CNC(=O)CN1C(=O)N(C2CCN(CCC(Oc3cc(OC)ccc3C)C(C)C)CC2)c4ccccc14,CHEMBL391487,7.0,pKi
COC(=O)CN1C(=O)C2(CCN(CC3CCC(CC3)C(C)(C)C)CC2)c4ccccc14,CHEMBL197942,7.0,pIC50
COC(=O)CN1C(=O)C2(CCN(CC3CCCCCCC3)CC2)c4ccccc14,CHEMBL434944,7.0,pIC50
COc1ccc(cc1)N2CNC(=O)C23CCN(CC3)C4Cc5cccc6cccc4c56,CHEMBL305861,7.0,pKi
Clc1ccccc1C(N2C3CCC2CC(C3)(C#N)c4ccccc4)c5ccccc5Cl,CHEMBL468953,7.0,pKi
CCC\N=C\c1ccc(OCc2ccccc2C(=O)Nc3ccc4nc(C)cc(N)c4c3)cc1,CHEMBL1762389,7.01,pIC50
CN(C)CCOCCc1cccc2[nH]c(cc12)c3onc(CCc4ccc(Cl)cc4)n3,CHEMBL379048,7.01,pIC50
CN(C)[C@@]1(CC[C@@]2(CC1)OCCc3c2[nH]c4ccc(F)cc34)c5ccccc5.OC(=O)CC(O)(CC(=O)O)C(=O)O,CHEMBL3325958,7.01,pKi
CO[C@]12C=C[C@@]3(C[C@]1(C)[C@H](O)c4ccccc4)[C@H]5Cc6ccc(O)c7O[C@@H]2[C@]3(CCN5CC8CC8)c67,CHEMBL3581740,7.01,pKi
Clc1cc2OCOc2cc1CN3CCC4(CC3)N(CNC4=O)c5ccccc5,CHEMBL115652,7.01,pIC50
CN(C)CCc1cccc2[nH]c(cc12)c3onc(CCc4ccc(Cl)cc4)n3,CHEMBL209537,7.02,pIC50
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4ncn(C)n4)c5ccccc35)C(C)C)c1,CHEMBL406409,7.02,pKi
FCC(CF)n1c(CNC2CCCC2)nc(c3ccc(Cl)cc3Cl)c1c4ccc(Cl)cc4,CHEMBL557729,7.02,pIC50
CCC(N1CC[C@H]1[C@H](N)c2cccc(Cl)c2)c3ccccc3,CHEMBL320804,7.03,pKi
CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C(CC)CC)C(=O)N[C@@H](CCCCN)C(=O)N,CHEMBL443765,7.03,pIC50
Cc1ccc(cc1)[C@H](N)[C@@H]2CCN2C(c3ccccc3)c4ccccc4,CHEMBL110126,7.03,pKi
OCCn1cc(C2CCN(CC2)C3Cc4cccc5cccc3c45)c6cccnc16,CHEMBL212630,7.03,pKi
CC(C)C1CCC(CC1)N2CCC(CC2)(C(=O)N)c3ccccc3,CHEMBL272896,7.04,pKi
CC(C)(C)C1CCC(CC1)N2CCC3(CC2)C(=O)NCc4cc(F)ccc34,CHEMBL272592,7.05,pKi
CCN1[C@@H]2CCCC[C@H]2N(C3CCN(CC3)C4CCC(CC4)C(C)C)C1=O,CHEMBL282195,7.05,pKi
Cc1ccc(CCc2ccccc2C(=O)Nc3ccc4nc(C)cc(N)c4c3)cc1,CHEMBL343424,7.05,pKi
O=C1N(CC2CCCCC2)CN(c3ccccc3)C14CCN(CC4)C(c5ccccc5)c6ccccc6,CHEMBL515554,7.05,pKi
O=C1Nc2ncccc2N(C3CCN(CC3)C4CCCCCCC4)C1=O,CHEMBL3665435,7.05,pKi
COC(=O)N[C@@]1(C[C@H]2CC[C@@H](C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccccn5,CHEMBL3084551,7.06,pEC50
COc1ccccc1C2(O)CCN(CC2)C(c3ccccc3)c4ccccc4,CHEMBL233493,7.07,pKi
Nc1ccnc2ccc(NC(=O)c3ccccc3COc4ccc(Cl)cc4)cc12,CHEMBL143243,7.07,pKi
CCCNCc1ccc(OCc2ccccc2C(=O)Nc3ccc4nc(C)cc(N)c4c3)cc1,CHEMBL1762397,7.08,pIC50
CCN1CN(c2ccccc2)C3(CCN(CC3)C(c4ccccc4)c5ccccc5)C1=O,CHEMBL474091,7.08,pKi
Cc1cc(N)c2cc(NC(=O)c3ccccc3COc4ccc(N)cc4)ccc2n1,CHEMBL422641,7.08,pKi
Cc1cc(N)c2cc(NC(=O)c3ccccc3COc4ccc(\C=N\CCCCCCCCC\N=C\c5ccc(OCc6ccccc6C(=O)Nc7ccc8nc(C)cc(N)c8c7)cc5)cc4)ccc2n1,CHEMBL1762379,7.08,pIC50
Cc1cc(N)c2cc(NC(=O)c3ccccc3COc4ccc(\C=N\CCCCCC\N=C\c5ccc(OCc6ccccc6C(=O)Nc7ccc8nc(C)cc(N)c8c7)cc5)cc4)ccc2n1,CHEMBL1762376,7.08,pIC50
Clc1cccc(Cl)c1C2CCN(CCCNC(=O)[C@@H]3CCCN3Cc4ccccc4)CC2,CHEMBL1783827,7.08,pKi
O=C(NCCCN1CCC2(CC1)CCc3ccccc23)c4ccccc4OCc5ccccc5,CHEMBL201805,7.08,pIC50
O=C1N(CC2CC2)CN(c3ccccc3)C14CCN(CC4)C(c5ccccc5)c6ccccc6,CHEMBL472677,7.08,pKi
O=C1N(CC2CO2)c3ccccc3C14CCN(CC5CCCCCCC5)CC4,CHEMBL198867,7.08,pIC50
O=S1(=O)NCc2ccccc2N1C3CCN(CCC(c4ccccc4)c5ccccc5)CC3,CHEMBL362160,7.08,pKi
CC(C)(C)C1CCC(CC1)N2CCC3(CC2)C(=O)N(Cc4ccccc4)Cc5cccc(F)c35,CHEMBL259473,7.09,pKi
