SMILES,ChEMBL,target,metric
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,miglustat,6.64,pIC50
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,CHEMBL1076754,6.0,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)CCN1CCCCCOCC23CC4CC(CC(C4)C2)C3,CHEMBL2011626,6.0,pIC50
O[C@@H]1CN(CCCCCOCC23CC4CC(CC(C4)C2)C3)C[C@H](O)[C@H]1O,CHEMBL2011642,6.1,pIC50
OC[C@H]1[C@@H](O)[C@H](O)CCN1CCCCCOCC23CC4CC(CC(C4)C2)C3,CHEMBL2011632,6.3,pIC50
OC[C@H]1[C@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC23CC4CC(CC(C4)C2)C3,CHEMBL1088292,6.3,pIC50
CCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1651549,6.4,pIC50
CCCCN1C[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,CHEMBL1086997,6.52,pIC50
CCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,CHEMBL1651553,6.6,pIC50
OC[C@H]1N[C@H](CO)[C@@H](O)[C@@H]1O,CHEMBL312653,6.7,pKi
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2cc3ccccc3c4ccccc24,CHEMBL3354036,6.7,pIC50
CCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,CHEMBL1651554,6.85,pIC50
CCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1651550,6.96,pIC50
CC(=CCC\C(=C\CC\C(=C\CCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO)\C)\C)C,CHEMBL3354033,7.0,pIC50
CC(=CCC\C(=C\CC\C(=C\CCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)\C)\C)C,CHEMBL3354020,7.0,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2cc3ccccc3c4ccccc24,CHEMBL3354023,7.0,pIC50
CCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,CHEMBL1651634,7.05,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCNC(=O)CCC(=O)c2ccc(OCC#C)cc2,CHEMBL589341,7.13,pIC50
CCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1651628,7.22,pIC50
CCCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,CHEMBL1651639,7.35,pIC50
CCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1651551,7.35,pIC50
CCCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1651633,7.4,pIC50
CCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,CHEMBL1651555,7.4,pIC50
CCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1651629,7.4,pIC50
C[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC23CC4CC(CC(C4)C2)C3,CHEMBL2011641,7.52,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccc4OCCOc4c3,CHEMBL3354055,7.52,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC23CC4CC(CC(C4)C2)C3,CHEMBL1086996,7.52,pIC50
CCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,CHEMBL1651636,7.6,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3cncnc3,CHEMBL3354059,7.6,pIC50
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OCCCCCN5C[C@H](O)[C@@H](O)[C@H](O)[C@@H]5CO,CHEMBL3354031,7.7,pIC50
CCCCCCCCCOC(=O)N1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL485840,7.7,pIC50
CCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,CHEMBL1651626,7.7,pIC50
CCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1651552,7.7,pIC50
COc1cccc(c1)c2ccc(COCCCCCN3C[C@H](O)[C@@H](O)[C@H](O)[C@H]3CO)cc2,CHEMBL3354043,7.7,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCNC(=O)c2ccc(cc2)C(=O)c3ccc(OCC#C)cc3,CHEMBL590070,7.7,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCCC23CC4CC(CC(C4)C2)C3,CHEMBL3354030,7.7,pIC50
CCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,CHEMBL1651638,7.82,pIC50
CCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,CHEMBL1651637,7.82,pIC50
CCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1651631,7.82,pIC50
CCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,CHEMBL1651635,7.82,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F,CHEMBL3354053,7.82,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccc4OCCCOc4c3,CHEMBL3354056,7.82,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCC(=O)NC23CC4CC(CC(C4)C2)C3,CHEMBL3354027,7.82,pIC50
CCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,CHEMBL1651627,8.0,pIC50
CCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1651632,8.0,pIC50
COc1ccc(cc1)c2ccc(COCCCCCN3C[C@H](O)[C@@H](O)[C@H](O)[C@H]3CO)cc2,CHEMBL3354042,8.0,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CC(F)(F)CCCOCc2ccc(cc2)c3ccccc3,CHEMBL3354620,8.0,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCCC23CC4CC(CC(C4)C2)C3,CHEMBL3354017,8.0,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccc(cc3)C(F)(F)F,CHEMBL3354052,8.0,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3cccnc3,CHEMBL3354058,8.0,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccncc3,CHEMBL3354057,8.0,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCC(=O)NC23CC4CC(CC(C4)C2)C3,CHEMBL2170199,8.05,pIC50
CCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1651630,8.1,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCC\C=C/C23CC4CC(CC(C4)C2)C3,CHEMBL3354028,8.1,pIC50
CCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL408500,8.16,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC2CCCCC2,CHEMBL3354026,8.22,pIC50
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OCCCCCN5C[C@H](O)[C@@H](O)[C@H](O)[C@H]5CO,CHEMBL3354018,8.3,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccc(F)nc3,CHEMBL3354061,8.3,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccccc3C#N,CHEMBL3354047,8.3,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCC\C=C/C23CC4CC(CC(C4)C2)C3,CHEMBL3354015,8.3,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC2CCCCC2,CHEMBL3354014,8.4,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccnc(F)c3,CHEMBL3354060,8.4,pIC50
COc1ccccc1c2ccc(COCCCCCN3C[C@H](O)[C@@H](O)[C@H](O)[C@H]3CO)cc2,CHEMBL3354044,8.52,pIC50
C[C@@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c2ccc(cc2)c3ccccc3,CHEMBL3354623,8.52,pIC50
C[C@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c2ccc(cc2)c3ccccc3,CHEMBL3354622,8.52,pIC50
Cc1ccc(cc1)c2ccc(COCCCCCN3C[C@H](O)[C@@H](O)[C@H](O)[C@H]3CO)cc2,CHEMBL3354039,8.52,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccc(cc3)C#N,CHEMBL3354045,8.52,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cn2)c3ccccc3,CHEMBL3354064,8.52,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc3ccc4cccc5ccc2c3c45,CHEMBL3354024,8.52,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccccc2c3ccccc3,CHEMBL3354062,8.52,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccccc3,CHEMBL3354038,8.52,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccccc2,CHEMBL3354034,8.52,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccccc2c3ccccc3,CHEMBL3354630,8.52,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCCOCC23CC4CC(CC(C4)C2)C3,CHEMBL3354029,8.6,pIC50
CCCCCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL450985,8.7,pIC50
C[C@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO)c2ccc(cc2)c3ccccc3,CHEMBL3354628,8.7,pIC50
Cc1cccc(c1)c2ccc(COCCCCCN3C[C@H](O)[C@@H](O)[C@H](O)[C@H]3CO)cc2,CHEMBL3354040,8.7,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCCOCC23CC4CC(CC(C4)C2)C3,CHEMBL3354016,8.7,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC23CC4CC(CC(C4)C2)C3,CHEMBL574645,8.7,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccc(Cl)cc3,CHEMBL3354051,8.7,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccc4OCOc4c3,CHEMBL3354054,8.7,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3cccc(c3)C#N,CHEMBL3354046,8.7,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccccc3,CHEMBL3354025,8.7,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccccc3F,CHEMBL3354050,8.7,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2cccc(c2)c3ccccc3,CHEMBL3354063,8.7,pIC50
OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccccc3,CHEMBL3354638,8.7,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CC(F)(F)CCCOCc2ccc(cc2)c3ccccc3,CHEMBL3354632,8.7,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCC(F)(F)COCc2ccc(cc2)c3ccccc3,CHEMBL3354633,8.7,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC2C3CC4CC(CC2C4)C3,CHEMBL3354032,8.7,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2cccc(c2)c3ccccc3,CHEMBL3354631,8.7,pIC50
C[C@@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO)c2ccc(cc2)c3ccccc3,CHEMBL3354629,9.0,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCC(F)(F)COCc2ccc(cc2)c3ccccc3,CHEMBL3354621,9.0,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC2C3CC4CC(CC2C4)C3,CHEMBL3354019,9.0,pIC50
