SMILES,ChEMBL,target,metric
C[C@@H]1CCN(C[C@@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)CC#N,tofacitinib,6.64,pIC50
Clc1cccc(Cl)c1C(=O)Nc2ccnc(Nc3ccccn3)c2,CHEMBL2420824,7.54,pKi
CCn1c(cc2c1nc(Nc3nccs3)c4ncn(C)c24)C(=O)N(C5CC5)C6CC6,CHEMBL3622134,7.55,pIC50
Clc1cnc2Nc3cccc(CCCOc4cccc(CNc1n2)c4)c3,CHEMBL3694581,7.6,pIC50
OCC(=O)Nc1nccc2nc(sc12)c3c(Cl)cccc3Cl,CHEMBL3675687,7.64,pKi
F[C@@H]1C[C@H]1C(=O)Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2,CHEMBL2387130,7.65,pKi
CC(C)(O)c1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,CHEMBL2387116,7.66,pKi
CC1(C)[C@H](O)CC[C@H]1Nc2c(cnn3cccc23)C(=O)N,CHEMBL3359913,7.66,pIC50
Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc4cccc(c4)S(=O)(=O)NC(C)(C)C,CHEMBL1287853,7.68,pKd
C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]4CC[C@H](C4)NCC(F)(F)F,CHEMBL2385096,7.7,pKi
O=C(CC#N)N1CCC[C@H](C1)n2nnc3cnc4[nH]ccc4c23,CHEMBL2392500,7.7,pKi
CCn1cc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)cn1,CHEMBL2420829,7.72,pKi
N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34,CHEMBL1789941,7.72,pIC50
CCN(CC)CCC(=O)Nc1cc2COCC=CCOCc3cccc(c3)c4ccnc(Nc(c2)c1)n4,CHEMBL2181086,7.75,pIC50
CCNC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,CHEMBL2420812,7.75,pKi
CC(C)(C)[C@@H](NC(=O)c1c[nH]c2ncc(nc12)C3CC3)C(=O)N4CC(C4)C#N,CHEMBL2325895,7.8,pKd
COC1CCN(CC1)c2nccc(Nc3cc(NC(=O)c4c(Cl)cccc4Cl)ccn3)n2,CHEMBL3352835,7.8,pKi
C[C@@H](Nc1c(cnn2cccc12)C(=O)N)C(C)(C)C,CHEMBL3359907,7.8,pIC50
NC(=O)c1cc(cc2c3cc(ccc3[nH]c12)C(=O)N4CCOCC4)c5ccccc5,CHEMBL3589165,7.8,pIC50
C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35,CHEMBL603469,7.82,pKd
Clc1cccc(Cl)c1C(=O)Nc2ccnc(NC(=O)[C@H]3C[C@H]3c4nnc[nH]4)c2,CHEMBL2387220,7.82,pKi
OC[C@@H]1C[C@@H]1C(=O)Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2,CHEMBL2387133,7.84,pKi
COc1ncc(Cl)cc1c2nn(CC(=O)N(C)C)cc2NC(=O)c3cnn4cccnc34,CHEMBL3667529,7.85,pKi
Clc1cccc(Cl)c1C(=O)Nc2ccnc(Nc3cnccn3)c2,CHEMBL2420826,7.85,pKi
CS(=O)(=O)Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,CHEMBL2387111,7.87,pKi
C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@@H]4CC[C@H](CC4)C#N,CHEMBL2386633,7.92,pKi
F[C@H]1C[C@@H]1C(=O)Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2,CHEMBL2387129,7.94,pKi
CC[C@@](C)(Nc1ccnc(n1)c2c[nH]c3ncccc23)C(=O)NCC(F)(F)F,CHEMBL3039513,7.96,pIC50
CCc1nc(N[C@@H]2CCC[C@@H]2C#N)c3C=CNC(=O)c3n1,CHEMBL2436945,7.96,pKi
Clc1cc(cc(Cl)c1C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c4nnc[nH]4,CHEMBL2385101,7.96,pKi
NC(=O)[C@@H]1C[C@@H]1C(=O)Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2,CHEMBL2387217,7.96,pKi
OCC#Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,CHEMBL2387117,7.99,pKi
CC(C)c1nn(C)cc1c2nc3c(N4CCN(Cc5cccnc5)CC4)c(Br)cnc3[nH]2,CHEMBL3613597,8.0,pIC50
COc1ccc(Cl)cc1c2nn(CC(=O)N3CCC=CC3)cc2NC(=O)c4cnn5cccnc45,CHEMBL3667523,8.0,pKi
Clc1cccc(Cl)c1C(=O)Nc2ccnc(Nc3cccnn3)c2,CHEMBL2420828,8.0,pKi
Cn1ccc(n1)C2=CN(C(=O)c3c(N)n[nH]c23)c4ccccc4Cl,CHEMBL3765131,8.0,pIC50
CC(C)[C@@H](C)N1C=C(c2ccc(cn2)N3CCOCC3)c4[nH]nc(N)c4C1=O,CHEMBL3764383,8.01,pIC50
Clc1cc(cc(Cl)c1C(=O)Nc2ccnc(NC(=O)C3CC3)c2)C#C,CHEMBL2387125,8.02,pKi
COc1ccc(Cl)cc1c2nn(CC(=O)N3CCCC3C)cc2NC(=O)c4cnn5cccnc45,CHEMBL3667522,8.04,pKi
Clc1cccc(Cl)c1C(=O)Nc2ccnc(NC(=O)[C@H]3C[C@H]3C#N)c2,CHEMBL2387134,8.04,pKi
O=C1NC=CC(=C1c2nc3ccccc3[nH]2)NC4CCOCC4,CHEMBL3781427,8.05,pIC50
CCS(=O)(=O)N1CC(CC#N)(C1)n2cc(cn2)c3ncnc4[nH]ccc34,CHEMBL2105759,8.06,pIC50
C[C@@H]1C[C@@H]1C(=O)Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2,CHEMBL2387132,8.07,pKi
Cc1cc(Nc2nccc3nc(sc23)c4ccccc4Cl)nc(C)n1,CHEMBL3675693,8.07,pKi
CC1(C)CCC[C@H]1Nc2c(cnn3cccc23)C(=O)N,CHEMBL3359908,8.1,pIC50
CC(=O)c1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,CHEMBL2387122,8.11,pKi
COc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,CHEMBL2387113,8.11,pKi
CC(O)c1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,CHEMBL2387115,8.12,pKi
Cc1ccc(C)c(c1)c2nn(C)cc2NC(=O)c3cnn4ccc(N)nc34,CHEMBL2178803,8.14,pKi
F[C@H]1C[C@H]1C(=O)Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2,CHEMBL2387128,8.15,pKi
COC(=O)C1CCc2[nH]c(nc2C1)C3=C(N[C@@H]4CC[C@H](N)CC4)C=CNC3=O,CHEMBL3780467,8.16,pIC50
C[C@@]1(O)CC[C@@H](Nc2c(cnn3cccc23)C(=O)N)C1(C)C,CHEMBL3359915,8.16,pIC50
Fc1ccc2c(c1)c3C(=O)NC=Cc3c4[nH]c(nc24)c5ccccc5Cl,CHEMBL261386,8.16,pIC50
Nc1n[nH]c2C(=CN(C(=O)c12)c3ccccc3Cl)c4ccccn4,CHEMBL3764463,8.17,pIC50
COc1ncc(cc1c2n[nH]cc2NC(=O)c3cnn4cccnc34)C#N,CHEMBL3667518,8.18,pKi
CC(C)C(C)N1C=C(c2ccn(C)n2)c3[nH]nc(N)c3C1=O,CHEMBL3764637,8.2,pIC50
Cc1nc2cnc3[nH]ccc3c2n1[C@@H]4CCC[C@@H](O)C4,CHEMBL2159210,8.21,pKi
Clc1cccc(Cl)c1c2nc3ncnc(NC(=O)C4CC4)c3s2,CHEMBL3675691,8.21,pKi
C[C@@]1(CCC[C@H]1Nc2c(cnn3cccc23)C(=O)N)C#N,CHEMBL3359926,8.22,pIC50
Cl.CN(C)CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4,CHEMBL1908395,8.24,pKd
COc1ccc(Cl)cc1c2c(NC(=O)c3cnn4cccnc34)cnn2CCO,CHEMBL3667515,8.25,pKi
CC(C)[C@H](C)N1C=C(c2ccn(C)n2)c3[nH]nc(N)c3C1=O,CHEMBL3764030,8.26,pIC50
OCc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,CHEMBL2387114,8.27,pKi
Cl[C@@H]1C[C@@H]1C(=O)Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2,CHEMBL2387131,8.29,pKi
CC(C)(C)c1nc2c3ccc(F)cc3c4C(=O)NC=Cc4c2[nH]1,CHEMBL21156,8.3,pIC50
CN1CCN(CC1)c2ccc(Nc3ncc(Cl)c(NC[C@H]4CCCO4)n3)cc2,CHEMBL3426891,8.3,pIC50
Clc1cccc(Cl)c1C(=O)Nc2ccnc(Nc3ccncn3)c2,CHEMBL2420827,8.31,pKi
Clc1cccc(Cl)c1C(=O)Nc2ccnc(NC(=O)C3CC3)c2,CHEMBL2387224,8.32,pKi
NC(=O)c1cnc2[nH]ccc2c1N[C@@H]3[C@@H]4CC5C[C@H]3C[C@@](O)(C5)C4,CHEMBL3137308,8.32,pIC50
O=C(CC#N)N1CCC[C@H](C1)n2cnc3cnc4[nH]ccc4c23,CHEMBL2152300,8.33,pKi
NCc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,CHEMBL2387118,8.36,pKi
C[C@@H]1CCN(C[C@@H]1n2cnc3cnc4[nH]ccc4c23)C(=O)CC#N,CHEMBL2152297,8.38,pKi
Cc1cc(Nc2nccc3nc(sc23)c4c(Cl)cc(cc4Cl)C5CC5)ncn1,CHEMBL3675695,8.39,pKi
Nc1ccn2ncc(C(=O)Nc3c[nH]nc3c4cc(Cl)ccc4Cl)c2n1,CHEMBL3670393,8.39,pKi
C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@@H]4CC[C@H](CC4)NCC(F)(F)F,CHEMBL2386629,8.47,pKi
Clc1cc(cc(Cl)c1C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c4cn[nH]c4,CHEMBL2387126,8.47,pKi
CNCc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,CHEMBL2387119,8.48,pKi
OC(=O)[C@H]1C[C@H]1C(=O)Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2,CHEMBL2387218,8.5,pKi
Oc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,CHEMBL2387112,8.51,pKi
CC(=O)Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,CHEMBL2387110,8.52,pKi
CN1CCN(CC1)C(=O)c2ccc3[nH]c4c(cc(cc4c3c2)c5ccc(Cl)cc5)C(=O)N,CHEMBL3589169,8.55,pIC50
F[C@@H]1C[C@@H]1C(=O)Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2,CHEMBL2387127,8.6,pKi
COc1ccc(Cl)cc1c2c(NC(=O)c3c(N)nn4cccnc34)cnn2CC(=O)N,CHEMBL3667521,8.64,pKi
CC(C)[C@@H](C)N1C=C(c2cc(n(C)n2)C(C)(C)O)c3[nH]nc(N)c3C1=O,CHEMBL3765822,8.68,pIC50
COc1ccc(Cl)cc1c2nc(C)sc2NC(=O)c3cnn4cccnc34,CHEMBL3667519,8.68,pKi
C[C@]1(F)CCC[C@H]1Nc2c(cnn3cccc23)C(=O)N,CHEMBL3359927,8.7,pIC50
CCn1c(cc2c1nc(Nc3cc(C)[nH]n3)c4ncn(C)c24)C(=O)N(C5CC5)C6CC6,CHEMBL3622150,8.72,pIC50
Clc1cc(cc(Cl)c1C(=O)Nc2ccnc(NC(=O)C3CC3)c2)C#N,CHEMBL2387124,8.75,pKi
C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@@H]4CC[C@@H](CCC#N)CC4,CHEMBL2386636,8.77,pKi
