SMILES,ChEMBL,target,metric
CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,bortezomib,8.01,pIC50
FC(F)(F)c1nc(Cl)ncc1C(=O)Nc2cc(Cl)c(Cl)c(Cl)c2,CHEMBL134603,6.05,pIC50
FC(F)(F)c1nc(Cl)ncc1C(=O)Nc2cc(Cl)nc(Cl)n2,CHEMBL336099,6.1,pIC50
CCCCCCOC(=O)c1cc(NC(=O)c2cnc(Cl)nc2C(F)(F)F)cc(c1)C(F)(F)F,CHEMBL423153,6.21,pIC50
FC(F)(F)c1nc(Cl)ncc1C(=O)Nc2cc(Cl)cc(Cl)c2,CHEMBL334485,6.3,pIC50
FC(F)(F)c1ccc(NC(=O)c2cnc(Cl)nc2C(F)(F)F)cc1,CHEMBL135133,6.42,pIC50
CCOC(=O)c1cc(NC(=O)c2cnc(Cl)nc2C(F)(F)F)cc(c1)C(F)(F)F,CHEMBL134490,6.55,pIC50
CCCCOC(=O)c1cc(NC(=O)c2cnc(Cl)nc2C(F)(F)F)cc(c1)C(F)(F)F,CHEMBL131636,6.77,pIC50
COc1ccc(cc1)[C@@]23Oc4cc(OC)cc(OC)c4[C@]2(O)[C@H](O)[C@@H]([C@H]3c5ccccc5)C(=O)N(C)C,CHEMBL438139,7.13,pIC50
FC(F)(F)c1cc(NC(=O)c2cnc(Cl)nc2C(F)(F)F)cc(c1)C(F)(F)F,CHEMBL336546,7.3,pIC50
