SMILES,ChEMBL,target,metric
CC(=O)N1CCN(CC1)c2ccc(CN(C3CC3)S(=O)(=O)Cc4ccccc4)cc2,CHEMBL3317841,7.0,pEC50
CC(C)CN(Cc1ccc(cc1)N2CCC(O)CC2)S(=O)(=O)Cc3ccccc3,CHEMBL3317828,7.0,pEC50
CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c2ccc(cc2)N3CCN(CC3)S(=O)(=O)C,CHEMBL3361048,7.0,pEC50
CCC(=O)Nc1ccc2nn(nc2c1)c3ccc(CC)cc3,CHEMBL3218920,7.0,pEC50
CCCCOc1cc(ccc1N(C)C(=O)c2c(F)cccc2Cl)c3cc(ccc3Cl)C(=O)N,CHEMBL3596630,7.0,pEC50
CCN1C(=O)c2cccc3c(ccc1c23)S(=O)(=O)Nc4cccc5ccncc45,CHEMBL3234030,7.0,pIC50
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(NCCc3ccc(cc3)C(F)(F)F)cc2)cc1,CHEMBL3109224,7.0,pIC50
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(cc2)c3cc(Cl)ccc3Cl)cc1,CHEMBL3609388,7.0,pIC50
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(c(Oc3ccccc3Cl)s2)c4ccccc4)cc1,CHEMBL3605081,7.0,pIC50
CNC(=O)c1ccc(Cl)c(c1)c2ccc3N(CCCc3c2)C(=O)c4c(F)cccc4Cl,CHEMBL3596600,7.0,pIC50
C[C@H]1CC[C@H](c2ccccc2)S(=O)(=O)N1Cc3ccc(cc3F)N4CCC(CO)(CC4)n5cnnc5,CHEMBL3634610,7.0,pIC50
Cc1cc(C)c2nc(NC(=O)c3sccc3C)sc2c1,CHEMBL3218919,7.0,pEC50
Cc1cccc(c1)C(=O)Nc2onc(c2)c3ccccc3,CHEMBL3218918,7.0,pEC50
OC(=O)C1CCC(=CC1)c2nc(C(=O)c3c(Cl)cccc3C(F)(F)F)n4ccccc24,CHEMBL3598150,7.0,pEC50
OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c2cccc(c2)C#N)(C(F)(F)F)C(F)(F)F,CHEMBL3094366,7.0,pEC50
CC(C)C[C@@H]1C[C@@H](C1)c2nnc([C@H]3C[C@H](O)C[C@@H]3C(=O)Nc4ccc(C)cc4C)n2C5CC5,CHEMBL3775807,7.01,pEC50
O[C@@H]1CN(CC[C@H]1C(=O)O)c2nc(C(=O)c3c(Cl)cccc3C(F)(F)F)n4ccccc24,CHEMBL3596269,7.01,pEC50
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c2ccc(cc2OCC(F)(F)F)c3cc(ccc3Cl)C(=O)N,CHEMBL3596632,7.01,pEC50
CC1CCN(c2ccccc2)S(=O)(=O)N1Cc3ccc(cc3F)N4CCN(CC4)C(=O)C,CHEMBL3657605,7.02,pIC50
COc1ccc(cc1)C(CC(=O)N2CC(C)CC(C)C2)c3c(O)cc(OC)cc3OC,CHEMBL2312126,7.02,pIC50
CC(C)CN(Cc1ccccc1)S(=O)(=O)c2ccc(cc2F)N3CCN(CC3)S(=O)(=O)C,CHEMBL3361037,7.03,pIC50
CCN(Cc1ccc(cc1)N2CCN(CC2)C(=O)C)S(=O)(=O)Cc3ccccc3,CHEMBL3317842,7.03,pEC50
CN(C(=O)c1c(F)cccc1Cl)c2ccc(cc2OCC(F)(F)F)c3cc(ccc3Cl)C(=O)N,CHEMBL3596631,7.03,pEC50
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c2ccc(cc2N3CC4CC4C3)c5cc(NC(=O)CN(C)C)nn5C(C)C,CHEMBL3598062,7.03,pEC50
CC(=O)N1CCN(CC1)c2ccc(CN(C3CCC3)S(=O)(=O)c4ccc(Cl)cc4)c(F)c2,CHEMBL3581542,7.04,pIC50
CC(C)CN(Cc1ccc(cc1)c2cccc(CC(=O)N)c2)S(=O)(=O)Cc3ccccc3,CHEMBL3264012,7.04,pIC50
