SMILES,ChEMBL,target,metric
[H][C@@]12CC(=O)C(=CC)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,guggulsterone,8.62,pIC50
CCOP(=O)(OCC)C(=Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C)P(=O)(OCC)OCC,CHEMBL458767,7.1,pEC50
OC(c1ccccc1)(c2ccc(cc2)N(CC(F)(F)F)S(=O)(=O)c3ccccc3)C(F)(F)F,CHEMBL242293,7.2,pIC50
OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c2ccccc2)(C(F)(F)F)C(F)(F)F,CHEMBL62136,7.4,pIC50
CCN(c1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F)S(=O)(=O)c2ccccc2,CHEMBL2326845,7.41,pEC50
CC(C)C(=O)[C@@]12C(=O)C(=C(O)[C@@](CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CCC=C(C)C)C2=O)CC=C(C)C,CHEMBL501711,7.57,pKi
OC(C1CCCCC1)(c2ccc(cc2)N(CC(F)(F)F)S(=O)(=O)c3ccccc3)C(F)(F)F,CHEMBL396952,7.6,pIC50
OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c2ccccc2)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,CHEMBL430006,7.7,pIC50
Cc1cc(C)c(c(C)c1)S(=O)(=O)Nc2ccc3c(c2)ncn3Cc4ccccc4,CHEMBL464497,8.09,pEC50
Cc1c(C)c(C)c(c(C)c1C)S(=O)(=O)Nc2ccc3c(c2)ncn3Cc4ccccc4,CHEMBL463678,8.1,pEC50
C\C=C/1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL402063,8.62,pIC50
C\C=C\1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL410683,8.62,pIC50
