SMILES,ChEMBL,target,metric
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@]7(CC[C@@]36C[C@@H]7COCc8ccc(Cl)c(Cl)c8)OC,CHEMBL3664527,6.08,pKi
Cc1onc(C)c1S(=O)(=O)N2CCC[C@@H]2c3nc4ccccc4n3[C@H]5C[C@H]6CCC[C@@H](C5)N6[C@@H]7C[C@@H]8CCCC[C@@H](C8)C7,CHEMBL3704615,6.11,pKi
OC(=O)CCN1CCC[C@@H]1c2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5C6CCCCCCCCC6,CHEMBL3704578,6.16,pKi
OC(=O)CN1CCCC[C@@H]1c2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5C6CCCCCCCCC6,CHEMBL3704579,6.23,pKi
COc1ccc2C[C@H]3N(C)CC[C@@]45C(Oc1c24)C6(CCC35CC6COCc7ccccc7)OC,CHEMBL3664525,6.25,pKi
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@]7(CC[C@@]36C[C@@H]7COCc8ccccc8)OC,CHEMBL3664519,6.27,pKi
C[C@@H]1C[C@@H]2C[C@H](C1)C[C@H](C2)N3[C@@H]4CCC[C@H]3C[C@H](C4)n5c(nc6ccccc56)N7CCC[C@H]7C(=O)O,CHEMBL3704601,6.3,pKi
OC(=O)CN1CCN(CC1)c2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@H]6C[C@@H]7CCC[C@@H](C7)C6,CHEMBL3704603,6.6,pKi
CO[C@]12CC[C@@]3(C[C@@H]1CNC(=O)[C@@H](N)Cc4ccccc4)[C@H]5Cc6ccc(O)c7O[C@@H]2[C@]3(CCN5CC8CC8)c67,CHEMBL3691854,6.64,pKi
OC(=O)CN1CCC[C@@H](C1)c2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@H]6C[C@@H]7CCC[C@@H](C7)C6,CHEMBL3704576,6.66,pKi
COCCOCCOCCN1CCC[C@H](C1)c2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@H]6C[C@@H]7CCC[C@@H](C7)C6,CHEMBL3704599,6.74,pKi
CCN(CC)C(=O)CN1CCC[C@H]1Cc2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@@H]6C[C@@H]7CCCC[C@@H](C7)C6,CHEMBL3704621,6.78,pKi
OC(=O)CN1CCC[C@@H](Cc2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@@H]6C[C@@H]7CCCC[C@@H](C7)C6)C1,CHEMBL3704622,6.92,pKi
COCCOCCOCCN1CCC[C@@H](C1)c2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@H]6C[C@@H]7CCC[C@@H](C7)C6,CHEMBL3704600,6.93,pKi
OC(=O)CCN1CCC[C@@H](Cc2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@@H]6C[C@@H]7CCCC[C@@H](C7)C6)C1,CHEMBL3704624,6.93,pKi
OC(=O)CO\N=C\c1nc2ccccc2n1[C@H]3C[C@H]4CCC[C@@H](C3)N4[C@H]5C[C@@H]6CCC[C@@H](C6)C5,CHEMBL3704614,6.99,pKi
OC(=O)CCN1CCC[C@@H]1c2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@@H]6C[C@@H]7CCCC[C@@H](C7)C6,CHEMBL3704586,7.01,pKi
OC(=O)CCN1CCC(CC1)c2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@@H]6C[C@@H]7CCCC[C@@H](C7)C6,CHEMBL3704596,7.04,pKi
OC(=O)CCN1CCC[C@@H](C1)c2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@@H]6C[C@@H]7CCCC[C@@H](C7)C6,CHEMBL3704592,7.07,pKi
OC(=O)CCN1CC[C@@H](C1)c2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@@H]6C[C@@H]7CCCC[C@@H](C7)C6,CHEMBL3704587,7.07,pKi
OC(=O)CN1CCN(Cc2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@H]6C[C@@H]7CCC[C@@H](C7)C6)CC1,CHEMBL3704606,7.18,pKi
OC(=O)CNc1nc2ccccc2n1C3C[C@H]4CCC[C@@H](C3)N4[C@H]5C[C@@H]6CCC[C@@H](C6)C5,CHEMBL3704611,7.19,pKi
OC(=O)CNc1nc2ccccc2n1C3C[C@H]4CCC[C@@H](C3)N4C5CCCCCCCCC5,CHEMBL3704612,7.23,pKi
OC(=O)CN1CCCC[C@@H]1c2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@@H]6C[C@@H]7CCCC[C@@H](C7)C6,CHEMBL3704590,7.26,pKi
OC(=O)CN1CCC[C@H]1Cc2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@@H]6C[C@@H]7CCCC[C@@H](C7)C6,CHEMBL3704623,7.31,pKi
CCN(CC)C(=O)CN1CCC[C@@H](Cc2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@@H]6C[C@@H]7CCCC[C@@H](C7)C6)C1,CHEMBL3704628,7.32,pKi
