SMILES,ChEMBL,target,metric
CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)CC)[C@@H](C)O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN)C(=O)NCC(=O)N)cc1,atosiban,7.96,pKi
[H]N[C@H]1CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CC2=CC=C(O)C=C2)NC1=O)[C@@H](C)CC)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O,oxytocin,9.1,pKi
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCC(=O)N)NC1=O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N,carbetocin,8.14874172,pKi
CC(=O)CCCC(=O)NC1N=C(c2ccccc2)c3ccccc3N(CC(=O)NCCCc4cccc(Cl)c4)C1=O,CHEMBL24678,7.0,pKi
CC(=O)NC1N=C(c2ccccc2)c3ccccc3N(CC(=O)NCCc4ccc(Cl)c(Cl)c4)C1=O,CHEMBL24605,7.0,pKi
CC(=O)NC1N=C(c2ccccc2)c3ccccc3N(CC(=O)NCCc4cccc(Cl)c4)C1=O,CHEMBL24074,7.0,pKi
CC(=O)NC1N=C(c2ccccc2)c3ccccc3N(CC(=O)NCCc4cccc5ccccc45)C1=O,CHEMBL24816,7.0,pKi
CC(C)C[C@H]1N([C@H](C(=O)NC(C)C)c2ccc(F)cc2)C(=O)[C@H](NC1=O)C3Cc4ccccc4C3,CHEMBL427353,7.0,pKi
CC(C)C[C@H]1N([C@H](C(=O)NC(C)C)c2ccc(cc2)S(=O)(=O)C)C(=O)[C@H](NC1=O)C3Cc4ccccc4C3,CHEMBL197833,7.0,pKi
FC(F)(F)C1=CN(CC(=O)NCc2oc3cc(ccc3c2)C(=O)N4CCC(CC4)N5C(=O)OCc6ccccc56)C(=O)C=C1,CHEMBL30550,7.0,pKi
