SMILES,ChEMBL,target,metric
C[C@H]1Cn2c(nnc2c3cnccn3)C(=O)N1Cc4ccccc4,CHEMBL3663300,5.02,pIC50
C[C@@H]1Cn2c(nnc2c3cnccn3)C(=O)N1Cc4cccc(c4Cl)C(F)(F)F,CHEMBL3663241,5.03,pIC50
FC(F)(F)c1cc(ccc1Cl)C(=O)N2CCC(CC2)N3C(Cc4ccc(OS(=O)(=O)c5cccc6cnccc56)cc4)C(=O)NC3=O,CHEMBL3415342,5.05,pIC50
FC(F)(F)c1ccc(Cn2cnnc2c3cccc(Cl)c3Cl)cc1,CHEMBL245775,5.05,pIC50
O=C1C(Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)N(CC5CCN(Cc6ccccc6)CC5)C(=O)N1Cc7cccc8cnccc78,CHEMBL3415317,5.05,pIC50
CCCC(=O)N1CCC(CC1)N2C(Cc3ccc(OS(=O)(=O)c4cccc5cnccc45)cc3)C(=O)NC2=O,CHEMBL3415312,5.06,pIC50
C[C@H](N1[C@@H](C)Cn2c(nnc2c3cnccn3)C1=O)c4ccccc4,CHEMBL3663315,5.08,pIC50
CC(C)(C)OC(=O)N1CCC(CN2C(=O)N[C@@H](Cc3ccc(OS(=O)(=O)c4cccc5cnccc45)cc3)C2=O)CC1,CHEMBL3415320,5.11,pIC50
CC(C)C(=O)N1CCC(CC1)N2C(Cc3ccc(OS(=O)(=O)c4cccc5cnccc45)cc3)C(=O)NC2=O,CHEMBL3415311,5.14,pIC50
Clc1cccc(c1Cl)c2ccnn2Cc3ccccc3,CHEMBL393684,5.22,pIC50
O=C1NC(=O)N(CCC2CCN(Cc3ccccc3)CC2)C1Cc4ccc(OS(=O)(=O)c5cccc6cnccc56)cc4,CHEMBL3415307,5.24,pIC50
CC(C)(C)C(=O)N1CCC(CC1)N2C(Cc3ccc(OS(=O)(=O)c4cccc5cnccc45)cc3)C(=O)NC2=O,CHEMBL3414581,5.25,pIC50
Fc1ccc(nc1)c2nnc3[C@H]4CCC[C@@H](Cn23)N4C(=O)c5cccc(c5Cl)C(F)(F)F,CHEMBL3697518,5.25,pIC50
C[S+]([O-])c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,CHEMBL10,5.3,pIC50
Cc1nc2CN(CCc2c(n1)n3ccnn3)C(=O)c4cccc(c4Cl)C(F)(F)F,CHEMBL3674071,5.3,pIC50
O=C(N1CCC(CCN2C(Cc3ccc(OS(=O)(=O)c4cccc5cnccc45)cc3)C(=O)NC2=O)CC1)c6ccccc6,CHEMBL3415308,5.3,pIC50
CC(C)CC(=O)N1CCC(CC1)N2C(Cc3ccc(OS(=O)(=O)c4cccc5cnccc45)cc3)C(=O)NC2=O,CHEMBL3415313,5.31,pIC50
Fc1c(cccc1C(F)(F)F)C(=O)NCC2(CCOCC2)c3ccc(Cl)cc3,CHEMBL3678994,5.37,pIC50
CN(CC12CC3CC(CC(C3)C1)C2)C(=O)c4ccc(Cl)cc4,CHEMBL3108811,5.4,pIC50
CN(Cc1ccc(Cl)cc1)CC23CC4CC(CC(C4)C2)C3,CHEMBL3108812,5.4,pIC50
