SMILES,ChEMBL,target,metric
COC(=O)[C@@H](N1CCC2=C(C1)C=CS2)C1=C(Cl)C=CC=C1,clopidogrel,6.9,pKi
CCCSC1=NC(N[C@@H]2C[C@H]2C2=CC(F)=C(F)C=C2)=C2N=NN([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)C2=N1,ticagrelor,7.85,pKi
CSCCNC1=NC(SCCC(F)(F)F)=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)C(Cl)(Cl)P(O)(O)=O)[C@@H](O)[C@H]1O,cangrelor,8.62708759,pIC50
[H]C(N1CCC2=C(C1)C=C(OC(C)=O)S2)(C(=O)C1CC1)C1=C(F)C=CC=C1,prasugrel,5.69999981,pIC50
CCCC(=O)c1cnn(c1C)c2ccc(NC(=O)c3cn(CC(=O)N4CCCCC4CN5CCCC5)c6ccc(C)cc36)cc2,CHEMBL3325652,7.0,pIC50
CCCC(=O)c1cnn(c1C)c2ccc(NC(=O)c3cn(CC(=O)N4CCN(C)CC4)c5cc(Cl)c(Cl)cc35)cc2,CHEMBL3325797,7.0,pIC50
CCCCOc1cc(nc(c1)c2ccccc2)C(=O)N[C@@H](CCC(=O)O)C(=O)N3CCN(CC3)C(=O)OCC=C,CHEMBL563429,7.0,pKi
CCOC(=O)N1CCN(CC1)C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(NCCOC)cc(n2)c3ccccc3,CHEMBL552022,7.0,pKi
CCOC(=O)N1CCN(CC1)C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(nc(n2)c3ccccc3)N4CCOCC4,CHEMBL3322621,7.0,pIC50
CCOC(=O)c1cc(C#N)c(nc1C)N2CC(C2)C(=O)NS(=O)(=O)c3ccc(Cl)s3,CHEMBL2419497,7.0,pIC50
CCCCc1cc(nc(n1)c2ccccc2)C(=O)N[C@@H](CCC(=O)O)C(=O)N3CCN(CC3)C(=O)OCC,CHEMBL3322599,7.01,pIC50
CCOC(=O)N1CCN(CC1)C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(NC(C)COC)nc(n2)c3ccccc3,CHEMBL3322638,7.01,pIC50
CCCC(=O)c1cnn(c1C)c2ccc(NC(=O)c3cn(CC(=O)N4CCCN(C)CC4)c5ccc(C)cc35)cc2,CHEMBL3325643,7.02,pIC50
CCCCOC(=O)c1cnc(N2CCN(CC2)C(=O)NS(=O)(=O)c3ccc(Cl)s3)c(Cl)c1,CHEMBL2402149,7.02,pIC50
CCOC(=O)N1CCN(CC1)C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(NC(C)C)nc(n2)c3ccccc3,CHEMBL3322612,7.02,pIC50
CCOC(=O)N1CCN(CC1)C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(OC)cc(n2)c3ccccc3,CHEMBL560882,7.02,pKi
CCOC(=O)c1cc(C#N)c(nc1C(F)(F)F)N2CCN(C(CCC(=O)O)C2)C(=O)NS(=O)(=O)c3ccc(Cl)s3,CHEMBL2402142,7.02,pIC50
