SMILES,ChEMBL,target,metric
Cc1c(Cl)sc2ncnc(SCC(=O)O)c12,CHEMBL3774802,6.05,pEC50
Cc1sc2c(SCC(=O)O)ncnc2c1C,CHEMBL3774730,6.06,pEC50
Cc1sc2ncnc(SCC(=O)N)c2c1C,CHEMBL3775000,6.07,pEC50
CCc1sc2ncnc(SCC(=O)O)c2c1C,CHEMBL3775731,6.08,pEC50
CNC(=O)CSc1ncnc2sc(C)c(C)c12,CHEMBL3774810,6.1,pEC50
OC(=O)c1cc2COc3ccc(F)cc3c2s1,CHEMBL3759300,6.18,pEC50
Cc1sc2ncnc(SCC(=O)O)c2c1C,CHEMBL1689356,6.24,pEC50
Cc1sc2ncnc(SCC(=O)NO)c2c1C,CHEMBL3775635,6.26,pEC50
CC(C)c1sc2ncnc(SCC(=O)O)c2c1Cl,CHEMBL3775859,6.32,pEC50
OC(=O)c1cc2CSc3ccccc3c2s1,CHEMBL3759068,6.34,pEC50
COC(=O)CSc1ncnc2sc(C)c(C)c12,CHEMBL3775896,6.35,pEC50
Cc1c(Cl)sc2c(SCC(=O)O)ncnc12,CHEMBL3775413,6.36,pEC50
Cc1c(Br)sc2c(SCC(=O)O)ncnc12,CHEMBL3775531,6.38,pEC50
Cc1sc2ncnc(SCC(=O)NC#N)c2c1C,CHEMBL3774544,6.4,pEC50
CCc1sc2ncnc(SCC(=O)O)c2c1Cl,CHEMBL3775492,6.41,pEC50
Cc1sc2ncnc(SCC(=O)c3c[nH]c(c3)C(=O)N4CCCC4)c2c1C,CHEMBL3775182,6.55,pEC50
Cc1sc2ncnc(SCC(=O)c3oc(CNC(=O)C4CC4)cc3)c2c1C,CHEMBL3775791,6.6,pEC50
OC(=O)CSc1ncnc2sc(C3CC3)c(Cl)c12,CHEMBL3775931,6.6,pEC50
OC(=O)c1cc2COc3ccc(Cl)cc3c2s1,CHEMBL3758297,6.6,pEC50
CC(C)C(=O)NCc1oc(cc1)C(=O)CSc2ncnc3sc(C)c(C)c23,CHEMBL3775154,6.68,pEC50
Cc1sc2ncnc(SCC(=O)O)c2c1Br,CHEMBL3775700,6.68,pEC50
OC(=O)c1cc2CSc3ccc(F)cc3c2s1,CHEMBL3758678,6.73,pEC50
OC(=O)c1cc2CS(=O)(=O)c3c(F)cccc3c2s1,CHEMBL3759129,6.74,pEC50
OC(=O)c1cc2COc3c(Cl)cc(Cl)cc3c2s1,CHEMBL3758861,6.76,pEC50
Cc1sc2ncnc(SCC(=O)c3c[nH]c(CNS(=O)(=O)C4CC4)c3)c2c1C,CHEMBL3775309,6.78,pEC50
OC(=O)c1cc2CSc3c(F)cccc3c2s1,CHEMBL3758239,6.8,pEC50
Cc1c(Br)sc2ncnc(SCC(=O)O)c12,CHEMBL3774472,6.84,pEC50
OC(=O)c1cc2CS(=O)(=O)c3ccccc3c2s1,CHEMBL3758454,6.86,pEC50
OC(=O)c1cc2COc3c(Cl)c(F)ccc3c2s1,CHEMBL3760070,6.9,pEC50
Cc1sc2c(SCC(=O)O)ncnc2c1C3CC3,CHEMBL3775525,6.94,pEC50
Cc1sc2ncnc(SCC(=O)O)c2c1Cl,CHEMBL3774528,6.97,pEC50
CCCc1sc2ncnc(SCC(=O)O)c2c1Cl,CHEMBL3775257,7.06,pEC50
COc1ccc2c(CCc3cc(sc23)C(=O)O)c1C#N,CHEMBL3759035,7.06,pEC50
OC(=O)c1cc2CCc3c(cccc3c2s1)C#N,CHEMBL3759635,7.09,pEC50
OC(=O)c1cc2CSc3c(F)ccc(F)c3c2s1,CHEMBL3758520,7.1,pEC50
OC(=O)c1cc2COc3c(cc(F)cc3c2s1)C#N,CHEMBL3759406,7.13,pEC50
OC(=O)c1cc2CCc3c(Cl)c(F)ccc3c2s1,CHEMBL3759700,7.14,pEC50
OC(=O)c1cc2CCc3c(C#N)c(F)ccc3c2s1,CHEMBL3759044,7.16,pEC50
OC(=O)c1cc2COc3cc(F)c(F)c(F)c3c2s1,CHEMBL3759995,7.17,pEC50
Cc1ccc2c(CCc3cc(sc23)C(=O)O)c1C#N,CHEMBL3758279,7.21,pEC50
