SMILES,ChEMBL,target,metric
C[C@H](NC(=O)C)C(=O)N[C@@H](C)C(=O)N[C@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)Nc2ccc(cc2)[N+](=O)[O-],CHEMBL2409067,6.0,pIC50
OC(=O)C(Cc1nc2ccccc2[nH]1)NC(=O)c3ccc4ccccc4c3,CHEMBL3322222,6.0,pKi
C[C@H](O)[C@H]1NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@@H](Cc3ccccc3)NC(=O)c4cc5cc(c4)C(=O)NC[C@H](NC(=O)[C@@H](Cc6ccccc6)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc7ccc8ccccc8c7)NC(=O)[C@H]9CCCCN9C1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc%10ccc%11ccccc%11c%10)C(=O)N[C@@H](Cc%12ccccc%12)C(=O)N[C@@H](CNC5=O)C(=O)N[C@@H](CCCCN)C(=O)O,CHEMBL3590372,6.01,pKd
C[C@H](O)[C@H]1NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@@H](Cc3ccccc3)NC(=O)c4cc5cc(c4)C(=O)NC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc6ccc7ccccc7c6)NC(=O)[C@H]8CCCCN8C1=O)C(=O)N[C@@H](Cc9ccccc9)C(=O)N[C@@H](Cc%10ccc%11ccccc%11c%10)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CNC5=O)C(=O)N[C@@H](CCCCN)C(=O)O,CHEMBL3590317,6.05,pKd
OC(=O)C[C@@H](C\C=C\c1cccc(F)c1)NC(=O)c2ccc3ccccc3c2,CHEMBL2409074,6.05,pIC50
OC(=O)[C@@H](C\C=C\c1cccc(F)c1)NC(=O)c2ccc3ccccc3c2,CHEMBL1090715,6.05,pKi
C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H]4CCCCN4C(=O)C[C@@H](CCC(=O)O)NC(=O)[C@H](Cc5ccc(F)cc5)NC(=O)[C@@H](Cc6ccccc6)NC(=O)c7cc8cc(c7)C(=O)NC[C@H](NC(=O)[C@@H](C)NC1=O)C(=O)N[C@@H](Cc9ccccc9)C(=O)N[C@@H](Cc%10ccc%11ccccc%11c%10)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CNC8=O)C(=O)N[C@@H](CCCCN)C(=O)O,CHEMBL3590370,6.06,pKd
C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H]4CCCCN4C(=O)[C@@H](CC(=O)O)NC(=O)CN(C)C(=O)[C@@H]5CCCN5C(=O)c6cc7cc(c6)C(=O)NC[C@H](NC(=O)[C@@H](C)NC1=O)C(=O)N[C@@H](Cc8ccccc8)C(=O)N[C@@H](Cc9ccc%10ccccc%10c9)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CNC7=O)C(=O)N[C@@H](CCCCN)C(=O)O,CHEMBL3590310,6.06,pKd
CN(C)C(=O)CC[C@@H]([C@@H]1CC[C@]2(C)C3=C(CC[C@@]12C)[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC3)C(=O)OCc5ccccc5,CHEMBL3357850,6.08,pIC50
OC(=O)[C@@H](Cc1nc2ccccc2[nH]1)NC(=O)c3cc4ccccc4s3,CHEMBL609887,6.08,pIC50
OC(=O)c1[nH]c(nc1C(=O)N(CCc2ccccc2)Cc3ccccc3)c4ccccc4,CHEMBL1272245,6.08,pIC50
OP(=O)(O)OC[C@@H](Cc1ccccc1)NC(=O)N2CCCC[C@H]2C(=O)OC(CCCc3ccccc3)CCCc4ccccc4,CHEMBL565481,6.1,pKi
