SMILES,ChEMBL,target,metric
CC1=CC2=C(C(=S)N1)C(=O)O/C/2=C\c3csc4ccccc34,CHEMBL463187,6.01,pIC50
CC(=O)N1Cc2cc(ccc2C1=O)c3ccc(\C=C/4\NC(=S)NC4=O)s3,CHEMBL3103916,6.03,pIC50
NC(=O)c1ccc(cn1)c2ccc(s2)c3ccc4C(=O)OCc4c3,CHEMBL3753271,6.04,pIC50
OCc1ccc(cc1)c2ccc(s2)c3ccc4C(=O)OCc4c3,CHEMBL3753587,6.05,pIC50
O=C1NC(=S)N/C/1=C/c2cc3cc(ccc3[nH]2)c4ccc5C(=O)OCc5c4,CHEMBL1934384,6.09,pIC50
NC(=O)c1cccc(c1)c2ccc(\C=C/3\NC(=S)NC3=O)s2,CHEMBL3102870,6.1,pIC50
O=C1NC(=O)C(=Cc2ccc(s2)c3ccc4C(=O)OCc4c3)C(=O)N1,CHEMBL1934396,6.1,pIC50
O=C1NC(=S)N/C/1=C/c2ccc(s2)c3ccc4C(=O)OCc4c3,CHEMBL1934364,6.11,pIC50
OCCN1Cc2cc(ccc2C1=O)c3ccc(\C=C/4\NC(=S)NC4=O)s3,CHEMBL3103913,6.11,pIC50
NC(=O)c1ccc(cc1O)c2ccc(s2)c3ccc4C(=O)OCc4c3,CHEMBL3754407,6.17,pIC50
O=C1NC(=S)N/C/1=C/c2ccc(s2)c3ccc4CCNC(=O)c4c3,CHEMBL3103647,6.19,pIC50
O=C1NC(=S)N/C/1=C/c2ccc(cn2)c3ccc4C(=O)NCc4c3,CHEMBL3103655,6.2,pIC50
CCN1Cc2cc(ccc2C1=O)c3ccc(\C=C/4\NC(=S)NC4=O)s3,CHEMBL3103908,6.22,pIC50
CCOC(=O)N1Cc2cc(ccc2C1=O)c3ccc(\C=C/4\NC(=S)NC4=O)s3,CHEMBL3103917,6.26,pIC50
OCCCN1Cc2cc(ccc2C1=O)c3ccc(\C=C/4\NC(=S)NC4=O)s3,CHEMBL3103914,6.28,pIC50
CN1Cc2cc(ccc2C1=O)c3ccc(\C=C/4\NC(=S)NC4=O)s3,CHEMBL3103907,6.29,pIC50
O=C1NC(=S)N/C/1=C/c2oc3ccc(cc3c2)c4ccc5C(=O)OCc5c4,CHEMBL1934382,6.29,pIC50
O=C1NC(=S)N/C/1=C/c2cc3cc(ccc3s2)c4ccc5C(=O)OCc5c4,CHEMBL1934380,6.31,pIC50
O=C1NC(=S)N/C/1=C/c2ccc3cc(ccc3n2)c4ccc5C(=O)OCc5c4,CHEMBL1934386,6.33,pIC50
O=C1NC(=O)\C(=C/c2ccc(s2)c3ccc4C(=O)NCc4c3)\N1,CHEMBL3103651,6.4,pIC50
O=C1NC(=S)NC(=O)C1=Cc2ccc(s2)c3ccc4C(=O)OCc4c3,CHEMBL1934397,6.4,pIC50
O=C1NC(=S)N/C/1=C/c2ccc(cn2)c3ccc4C(=O)OCc4c3,CHEMBL1934370,6.43,pIC50
O=C1NC(=S)N/C/1=C/c2cc3ccc(cc3[nH]2)c4ccc5C(=O)OCc5c4,CHEMBL1934383,6.44,pIC50
O=C1NC(=S)N/C/1=C/c2cc3ccc(cc3s2)c4ccc5C(=O)OCc5c4,CHEMBL1934381,6.44,pIC50
O=C1NC(=S)N/C/1=C/c2csc(n2)c3ccc4C(=O)OCc4c3,CHEMBL1934375,6.47,pIC50
NC(=O)c1ccc(cc1)c2ccc(s2)c3ccc4C(=O)OCc4c3,CHEMBL3754633,6.75,pIC50
