SMILES,ChEMBL,target,metric
OC(CN(Cc1occc1)S(=O)(=O)C2CCCCC2)Cn3c4ccccc4c5ccccc35,CHEMBL3754517,6.0,pEC50
CS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)c4ccc(F)cc4,CHEMBL3752453,6.03,pEC50
CS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)Cc4occc4,CHEMBL1498001,6.06,pEC50
CS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)C4CCOCC4,CHEMBL3753763,6.09,pEC50
CS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)Cc4ccccc4,CHEMBL3753460,6.09,pEC50
CN(CC(O)Cn1c2ccccc2c3ccccc13)S(=O)(=O)C,CHEMBL1487843,6.11,pEC50
CN1CCCN(CC(O)Cn2c3ccccc3c4ccccc24)S1(=O)=O,CHEMBL3754467,6.14,pEC50
CS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)C4CCC(F)(F)CC4,CHEMBL3752021,6.16,pEC50
OC(CN(Cc1occc1)S(=O)(=O)C2CC2)Cn3c4ccccc4c5ccccc35,CHEMBL3752613,6.25,pEC50
CS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)C4CCCCC4,CHEMBL3752740,6.27,pEC50
CC(C)N(CC(O)Cn1c2ccccc2c3ccccc13)S(=O)(=O)C,CHEMBL3753078,6.29,pEC50
CCCS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)Cc4occc4,CHEMBL3753702,6.29,pEC50
CCN(CC(O)Cn1c2ccccc2c3ccccc13)S(=O)(=O)C,CHEMBL3754372,6.3,pEC50
CS(=O)(=O)NCC(O)Cn1c2ccccc2c3ccccc13,CHEMBL3752018,6.32,pEC50
CS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)C4CC4,CHEMBL3753693,6.35,pEC50
CC(C)S(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)Cc4occc4,CHEMBL3753497,6.36,pEC50
OC(CN(Cc1occc1)S(=O)(=O)Cc2ccccc2)Cn3c4ccccc4c5ccccc35,CHEMBL3752727,6.38,pEC50
CCCN(CC(O)Cn1c2ccccc2c3ccccc13)S(=O)(=O)C,CHEMBL3752371,6.39,pEC50
CS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)c4cccc(F)c4,CHEMBL3752425,6.4,pEC50
OC(CN1CCCNS1(=O)=O)Cn2c3ccccc3c4ccccc24,CHEMBL3753932,6.42,pEC50
CCCCS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)Cc4occc4,CHEMBL3754783,6.43,pEC50
CC(C)CS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)Cc4occc4,CHEMBL3753223,6.44,pEC50
CS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)C4CCCC4,CHEMBL3754710,6.51,pEC50
COCCS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)Cc4occc4,CHEMBL3753394,6.54,pEC50
CS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)c4ccccc4,CHEMBL1446115,6.57,pEC50
CCS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)Cc4occc4,CHEMBL3754134,6.71,pEC50
OC(CN1CCS1(=O)=O)Cn2c3ccccc3c4ccccc24,CHEMBL3753709,6.72,pEC50
CC(C)CN(CC(O)Cn1c2ccccc2c3ccccc13)S(=O)(=O)C,CHEMBL3752323,6.75,pEC50
OC(CN1CCCCS1(=O)=O)Cn2c3ccccc3c4ccccc24,CHEMBL3752502,6.76,pEC50
OC(CN1CCCS1(=O)=O)Cn2c3ccccc3c4ccccc24,CHEMBL3753839,6.84,pEC50
CN1CCN(CC(O)Cn2c3ccccc3c4ccccc24)S1(=O)=O,CHEMBL3752737,6.88,pEC50
CS(=O)(=O)N(CC(O)Cn1c2ccccc2c3ccccc13)C4CCC4,CHEMBL3752819,6.89,pEC50
OC(CN1CCOCS1(=O)=O)Cn2c3ccccc3c4ccccc24,CHEMBL3754594,7.14,pEC50
OC(CN1CCNS1(=O)=O)Cn2c3ccccc3c4ccccc24,CHEMBL3753487,7.38,pEC50
