SMILES,ChEMBL,target,metric
Cl.Cl.Clc1ccc2CCN(CCCCCCN3CCc4ccc(Cl)c(Cl)c4C3)Cc2c1Cl,CHEMBL535351,6.0,pIC50
FC(F)(F)C1Cc2ccc(Cl)cc2CN1,CHEMBL196970,6.0,pKi
FCC1Cc2ccc(cc2CN1)S(=O)(=O)Nc3ccc(Br)cc3,CHEMBL43183,6.0,pKi
FC(F)(F)C1Cc2ccc(cc2CN1)C(F)(F)F,CHEMBL198896,6.01,pKi
FCC1Cc2ccc(cc2CN1)S(=O)(=O)Nc3ccc(Cl)cc3,CHEMBL290890,6.02,pKi
FC(F)(F)[C@H]1Cc2ccc(I)cc2CN1,CHEMBL370794,6.03,pKi
Oc1cccc2c3CNCCc3ccc12,CHEMBL243176,6.04,pKi
FC(F)C1Cc2ccc(cc2CN1)S(=O)(=O)Nc3ccc(Cl)cc3,CHEMBL207516,6.05,pKi
[O-][N+](=O)c1cccc2c3CNCCc3ccc12,CHEMBL243834,6.05,pKi
CC(N)c1cccc(Cl)c1Cl,CHEMBL39493,6.09,pKi
FCC1Cc2ccccc2CN1,CHEMBL121531,6.09,pKi
CCCNS(=O)(=O)c1ccc2C[C@H](CF)NCc2c1,CHEMBL179298,6.1,pKi
CS(=O)(=O)c1ccc2CCNCc2c1,CHEMBL27664,6.1,pKi
CCNS(=O)(=O)c1ccc2C[C@H](CF)NCc2c1,CHEMBL175094,6.13,pKi
CC1Cc2sc(Br)cc2CN1,CHEMBL253218,6.14,pKi
NS(=O)(=O)c1ccc2CC(NCc2c1)C(F)F,CHEMBL426128,6.17,pKi
FCC1Cc2ccc(I)cc2CN1,CHEMBL275595,6.18,pKi
FC[C@@H]1Cc2ccc(cc2CN1)S(=O)(=O)Nc3ccc(Cl)cc3,CHEMBL135957,6.22,pKi
FC[C@H]1Cc2ccc(cc2CN1)S(=O)(=O)N3CCSCC3,CHEMBL177749,6.22,pKi
NCc1cccc(Cl)c1Cl,CHEMBL13165,6.22,pIC50
NS(=O)(=O)c1ccc2CCNCc2c1,CHEMBL26717,6.24,pKi
CCOCCNS(=O)(=O)c1ccc2CC(CF)NCc2c1,CHEMBL185992,6.25,pKi
OCCC1Cc2ccc(cc2CN1)[N+](=O)[O-],CHEMBL182970,6.29,pKi
FC(F)(F)[C@H]1Cc2ccc(cc2CN1)C(F)(F)F,CHEMBL371898,6.3,pKi
CCC1Cc2ccc(cc2CN1)[N+](=O)[O-],CHEMBL439864,6.31,pKi
CCC1Cc2ccc(Br)cc2CN1,CHEMBL437699,6.32,pKi
C[C@H]1Cc2sc(cc2CN1)[N+](=O)[O-],CHEMBL400515,6.32,pKi
FC(F)(F)[C@H]1Cc2ccc(Cl)cc2CN1,CHEMBL197019,6.34,pKi
OCCC1Cc2ccc(Br)cc2CN1,CHEMBL361749,6.46,pKi
FCC1Cc2ccc(cc2CN1)S(=O)(=O)N3CCSCC3,CHEMBL355581,6.5,pKi
Cl.Cl.Clc1ccc2CCN(CCCN3CCc4ccc(Cl)c(Cl)c4C3)Cc2c1Cl,CHEMBL535579,6.52,pIC50
Clc1cc(Cl)c2CCNCc2c1Cl,CHEMBL149535,6.52,pIC50
Clc1ccc2CCNCc2c1Cl,CHEMBL287837,6.52,pKi
OC[C@H]1Cc2ccc(Br)cc2CN1,CHEMBL337144,6.52,pKi
Clc1ccc2CCCNCc2c1Cl,CHEMBL38681,6.55,pKi
FC(F)C1Cc2ccc(cc2CN1)S(=O)(=O)NCC(F)(F)F,CHEMBL377669,6.6,pKi
OCC1Cc2ccc(cc2CN1)S(=O)(=O)N3CCSCC3,CHEMBL175935,6.64,pKi
Brc1cccc2c3CNCCc3ccc12,CHEMBL243836,6.66,pKi
FCC1Cc2ccc(cc2CN1)S(=O)(=O)NCCC(F)(F)F,CHEMBL177621,6.66,pKi
Clc1ccc(NS(=O)(=O)c2ccc3CCNCc3c2)cc1,CHEMBL286497,6.68,pKi
Clc1c(Cl)c(Cl)c2CNCCc2c1Cl,CHEMBL149816,6.7,pIC50
Clc1ccc2CCNCc2c1,CHEMBL149023,6.7,pIC50
Clc1cccc2CCNCc12,CHEMBL146188,6.7,pIC50
FC(F)C1Cc2ccc(I)cc2CN1,CHEMBL208040,6.7,pKi
CCCNS(=O)(=O)c1ccc2CC(CO)NCc2c1,CHEMBL177062,6.72,pKi
CCNS(=O)(=O)c1ccc2CC(CO)NCc2c1,CHEMBL175527,6.77,pKi
[O-][N+](=O)c1ccc2CC(NCc2c1)C(F)F,CHEMBL182376,6.77,pKi
NS(=O)(=O)c1ccc2CC(CF)NCc2c1,CHEMBL95873,6.82,pKi
FCC1Cc2ccc(cc2CN1)S(=O)(=O)NCC(F)(F)F,CHEMBL178695,6.89,pKi
[O-][N+](=O)c1ccc2CCNCc2c1,CHEMBL281289,6.92,pKi
FC[C@H]1Cc2ccc(cc2CN1)S(=O)(=O)Nc3ccc(Cl)cc3,CHEMBL135959,6.96,pKi
Cl.Cl.Clc1ccc2CCN(CCCCN3CCc4ccc(Cl)c(Cl)c4C3)Cc2c1Cl,CHEMBL556970,7.0,pIC50
Clc1cc2CCNCc2c(Cl)c1Cl,CHEMBL356439,7.0,pIC50
FC[C@H]1Cc2ccc(cc2CN1)S(=O)(=O)NCCC(F)(F)F,CHEMBL177101,7.0,pKi
FC(F)C1Cc2ccc(Br)cc2CN1,CHEMBL381297,7.03,pKi
Ic1ccc2CCNCc2c1,CHEMBL26828,7.03,pKi
Cl.Cl.Clc1ccc2CCN(CCN3CCc4ccc(Cl)c(Cl)c4C3)Cc2c1Cl,CHEMBL536247,7.1,pIC50
CC1Cc2ccc(cc2CN1)[N+](=O)[O-],CHEMBL59719,7.14,pKi
NS(=O)(=O)c1ccc2C[C@H](CF)NCc2c1,CHEMBL361203,7.14,pKi
FC(F)C1Cc2ccc(cc2CN1)C(F)(F)F,CHEMBL206892,7.17,pKi
OCC1Cc2ccc(cc2CN1)S(=O)(=O)Nc3ccc(Cl)cc3,CHEMBL176112,7.2,pKi
FC[C@H]1Cc2ccc(cc2CN1)S(=O)(=O)NCC(F)(F)F,CHEMBL425522,7.22,pKi
Brc1ccc2CCNCc2c1,CHEMBL281864,7.25,pKi
NS(=O)(=O)c1ccc2CC(CO)NCc2c1,CHEMBL41647,7.28,pKi
S=C=Nc1ccc2CCNCc2c1,CHEMBL459366,7.3,pKi
OCC1Cc2ccc(cc2CN1)[N+](=O)[O-],CHEMBL59441,7.33,pKi
OCC1Cc2ccc(cc2CN1)S(=O)(=O)NCCC(F)(F)F,CHEMBL175519,7.55,pIC50
