SMILES,ChEMBL,target,metric
CC[C@H](NC1=NC=NC2=C1NC=N2)C1=NC2=C(C(F)=CC=C2)C(=O)N1C1=CC=CC=C1,idelalisib,8.60206032,pIC50
CC(=O)Nc1nc(C)c(s1)c2ccc(Cl)c(c2)S(=O)(=O)Nc3ccc(F)cc3,CHEMBL3787054,7.54,pIC50
CN(C)C1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5c(C)ncc6ccccc56)CC1,CHEMBL2165670,7.54,pIC50
CN(C)C1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5c(F)ccc6[nH]ccc56)CC1,CHEMBL2165666,7.54,pIC50
CN(C)CCCn1cc(cn1)c2ccc3OCCN(c4nc5CC(C)(C)NC(=O)c5s4)c3c2,CHEMBL498392,7.54,pIC50
COc1ncc(cc1C(F)(F)F)N2CCc3ncnc(O[C@H]4CCN(C4)C(=O)N5CCN(CC5)C(=O)C)c3C2,CHEMBL3643435,7.54,pIC50
COc1ncc(cc1C(F)(F)F)N2CCc3ncnc(O[C@H]4CCN(C4)C(=O)c5cn(C)nc5C)c3C2,CHEMBL3643395,7.54,pIC50
Nc1ncc(cn1)c2nc(N3CCOCC3)c4ncccc4n2,CHEMBL3109134,7.54,pIC50
Oc1cccc(c1)c2cc(Nc3ccc4[nH]ncc4c3)nc(n2)N5CCOCC5,CHEMBL1289975,7.54,pIC50
COc1ncc(cn1)N2CCc3ncnc(O[C@H]4CCN(C4)C(=O)C5CCOCC5)c3C2,CHEMBL3643405,7.55,pIC50
C[C@@H](Nc1cc(F)cc(Cl)c1)c2cc(cc3C(=O)C=C(Oc23)N4CCOCC4)C(=O)N(C)C,CHEMBL3408252,7.55,pIC50
O=C(CC1=NC(=CC(=O)N1)N2CCOCC2)N3CCc4ccccc34,CHEMBL3112690,7.55,pIC50
CC(Nc1ncnc2[nH]cnc12)C3=C(C(=O)N4C(=CC=CC4=N3)C)c5cccc(F)c5,CHEMBL3680908,7.56,pKi
CC(C)n1nc(C)nc1c2cn3CCOc4cc(F)c(cc4c3n2)[C@H](C)N5CCN(CC(C)(C)O)CC5,CHEMBL3704719,7.57,pIC50
CC(C)n1nc(c2ccc(Br)c(O)c2)c3c(N)ncnc13,CHEMBL1241578,7.57,pIC50
CCOC(=O)c1ccc(cc1)c2csc3C(=O)C=C(Oc23)N4CCOCC4,CHEMBL2326952,7.57,pIC50
CN(C)C(=O)c1cc(CN(C)c2cc(F)cc(F)c2)c3OC(=CC(=O)c3c1)N4CCOCC4,CHEMBL3408273,7.57,pIC50
CN(C)C1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc6nccn56)CC1,CHEMBL2165669,7.57,pIC50
COCC(=O)N1CC[C@@H](C1)Oc2ncnc3CCN(Cc23)c4cnc(OC)c(c4)C#N,CHEMBL3643356,7.57,pIC50
COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c4ccc(CN(C)C)cc4)cc(OC)c1,CHEMBL2216880,7.57,pIC50
COc1ccc(Nc2ncc(CN3CCNCC3)cc2c4nc(C)nc(N)n4)cn1,CHEMBL2165013,7.57,pKi
COc1ccc(cc1OC)c2ccc3OCCN(C4=NC(=O)C(C)(C)S4)c3n2,CHEMBL2216856,7.57,pIC50
COc1ncc(cc1C(F)(F)F)N2CCc3ncnc(O[C@H]4CCN(C4)C(=O)C5CCC(=O)N5)c3C2,CHEMBL3643393,7.57,pIC50
OCc1ccc2nc(nc(N3CCOCC3)c2n1)c4c(F)ccc5[nH]ccc45,CHEMBL2152773,7.57,pIC50
CC(=O)NCC(=O)N1CCN(CC1)c2nc(nc(n2)n3c(nc4ccccc34)C(F)F)N5CCOCC5,CHEMBL2322661,7.59,pIC50
CCC(Nc1ncnc2[nH]cnc12)C3=Nc4cccc(C)c4C(=O)N3c5cc(F)cc(F)c5,CHEMBL3642829,7.59,pIC50
CNc1ccc(cc1)c2csc3C(=O)C=C(Oc23)N4CCOCC4,CHEMBL2326954,7.59,pIC50
COc1cc(cnc1OC)N2CCc3ncnc(O[C@H]4CCN(C4)C(=O)c5oc(C)nc5C)c3C2,CHEMBL3639422,7.59,pIC50
Cc1ccc(cn1)c2ccc3OCCN(c3c2)c4nc5CC(C)(C)CC(=O)c5s4,CHEMBL512834,7.59,pIC50
CC(C)(C)NS(=O)(=O)c1cncc(c1)c2ccc3nc(NC(=O)NCCc4ccccc4)nn3c2,CHEMBL2057361,7.6,pIC50
CC(C)(C)NS(=O)(=O)c1cncc(c1)c2ccc3nc(NC(=O)NCCc4cnccn4)nn3c2,CHEMBL2057366,7.6,pIC50
CC1CN(CCO1)C2=CC(=O)N3N=C(C)N(Cc4cccc(Cl)c4Cl)C3=N2,CHEMBL2018217,7.6,pIC50
COc1ncc(cc1C(F)(F)F)N2CCc3ncnc(O[C@H]4CCN(C4)C(=O)c5ccncc5)c3C2,CHEMBL3643394,7.6,pIC50
COc1ncc(cc1[N+]#[C-])N2CCc3ncnc(O[C@H]4CCN(C4)C(=O)c5cnn(C)c5)c3C2,CHEMBL3643383,7.6,pIC50
COc1nn2c(O)cc(nc2c1Cc3cccc(Cl)c3Cl)c4ccncc4,CHEMBL2322344,7.6,pIC50
CSC1=NN2C(=O)C=C(N=C2N1Cc3cccc(c3C)C(F)(F)F)N4CCOC(C)C4,CHEMBL2018360,7.6,pIC50
CSC1=NN2C(=O)C=C(N=C2N1Cc3cccc(c3C)C(F)(F)F)N4CCOCC4,CHEMBL2018220,7.6,pIC50
Cc1nc(N)nc(n1)c2cccnc2Nc3cccc4[nH]ccc34,CHEMBL2165268,7.6,pKi
Cc1nn2c(O)cc(nc2c1Cc3cccc(c3C)C(F)(F)F)N4CCOCC4,CHEMBL2322331,7.6,pIC50
Cc1nn2c(O)cc(nc2c1Cc3cccc4ccccc34)N5CCOCC5,CHEMBL2322332,7.6,pIC50
Nc1ncc(cc1C(F)(F)F)N2CCc3ncnc(O[C@H]4CCN(C4)C(=O)C5CCOCC5)c3C2,CHEMBL3643403,7.6,pIC50
CN(C)c1ccc(cc1S(=O)(=O)N(C)\N=C\c2cnn3ccc(cc23)C#N)[N+](=O)[O-],CHEMBL1928727,7.62,pIC50
CN(\N=C\c1cnn2ccc(cc12)C#N)S(=O)(=O)c3cc(ccc3Cl)[N+](=O)[O-],CHEMBL1928725,7.62,pIC50
COc1ncc(cc1C(F)(F)F)N2CCc3ncnc(O[C@H]4CCN(C4)C(=O)c5cncn5C)c3C2,CHEMBL3643439,7.62,pIC50
Cc1cccc2N(CCc12)C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4,CHEMBL3112851,7.62,pIC50
OCc1cccc(c1)c2nc(N3CCOCC3)c4ncccc4n2,CHEMBL3109126,7.62,pIC50
CCC(=O)N1CC[C@@H](C1)Nc2ncnc3CCN(Cc23)c4cnc(OC)c(c4)C(F)(F)F,CHEMBL3643413,7.64,pIC50
CN(C)C1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)n5cnc6ccccc56)CC1,CHEMBL2165497,7.64,pIC50
COc1ncc(cc1C(F)(F)F)N2CCc3ncnc(O[C@H]4CCN(C4)C(=O)CC(C)(C)C)c3C2,CHEMBL3643408,7.64,pIC50
COc1ncc(cc1C(F)(F)F)N2CCc3ncnc(O[C@H]4CCN(C4)c5ccccn5)c3C2,CHEMBL3643411,7.64,pIC50
COc1ncc(cc1C)N2CCc3ncnc(O[C@H]4CCN(C4)C(=O)c5conc5C)c3C2,CHEMBL3643379,7.64,pIC50
