SMILES,ChEMBL,target,metric
COc1ncc(cc1NS(=O)(=O)C)c2ccc3N=C(N)N(C(=O)c3c2)c4ccccc4,CHEMBL3121316,7.7,pIC50
COc1ncc(cc1NS(=O)(=O)c2ccc(C)cc2)c3ccc4N=C(N)N(C(=O)c4c3)c5ccccc5,CHEMBL3121321,7.8,pIC50
COc1ncc(cc1S(=O)(=O)Nc2ccc(F)cc2F)c3ccc4N=C(N)N(C(=O)c4c3)c5ccccc5C(F)(F)F,CHEMBL3121308,7.8,pIC50
COc1ncc(cc1S(=O)(=O)Nc2ccc(F)cc2F)c3ccc4N=C(N)N(C(=O)c4c3)c5ccccc5C,CHEMBL3121311,8.0,pIC50
COc1ncc(cc1S(=O)(=O)Nc2ccc(F)cc2F)c3ccc4N=C(N)N(C5CCOCC5)C(=O)c4c3,CHEMBL3121326,8.0,pIC50
C[C@@H](Nc1nc2ccc(cc2s1)C3=CC(=O)N(CC4CC4)C=C3)C5CCOCC5,CHEMBL3600782,8.1,pIC50
COc1ncc(cc1S(=O)(=O)Nc2ccc(F)cc2F)c3ccc4N=C(N)N(C(=O)c4c3)c5ccccc5,CHEMBL3121324,8.2,pIC50
Nc1nc2ccc(cc2s1)C3=CC(=O)N(CC4CC4)C=C3,CHEMBL3600779,8.2,pIC50
COc1ncc(cc1NS(=O)(=O)c2ccc(F)cc2F)c3ccc4nc(N)c(nc4c3)c5ccccc5,CHEMBL3121333,8.3,pIC50
O=C1C=C(C=CN1CC2CC2)c3ccc4nc(NCC5CCOCC5)sc4c3,CHEMBL3600781,8.3,pIC50
COc1ncc(cc1NS(=O)(=O)c2cccc(C)c2)c3ccc4N=C(N)N(C(=O)c4c3)c5ccccc5,CHEMBL3121320,8.4,pIC50
COc1ncc(cc1NS(=O)(=O)c2ccccc2)c3ccc4N=C(N)N(C(=O)c4c3)c5ccccc5,CHEMBL3121318,8.6,pIC50
O=C1C=C(C=CN1CC2CC2)c3ccc4nc(NCC5CCS(=O)(=O)CC5)sc4c3,CHEMBL3600784,8.7,pIC50
COc1ncc(cc1NS(=O)(=O)c2ccc(F)cc2F)c3ccc4N=C(N)N(C(=O)c4c3)c5ccccc5,CHEMBL3121334,8.8,pIC50
COc1ncc(cc1NS(=O)(=O)c2ccc(F)cc2F)c3ccc4ncnc(N5CCOCC5)c4c3,CHEMBL3121327,8.8,pIC50
COc1ncc(cc1NS(=O)(=O)c2ccc(cc2)C#N)c3ccc4N=C(N)N(C(=O)c4c3)c5ccccc5,CHEMBL3121322,9.0,pIC50
COc1ncc(cc1NS(=O)(=O)c2ccccc2C)c3ccc4N=C(N)N(C(=O)c4c3)c5ccccc5,CHEMBL3121319,9.0,pIC50
OC(=O)[C@@H]1CC[C@@H](CNc2nc3ccc(cc3s2)C4=CC(=O)N(CC5CC5)C=C4)CC1,CHEMBL3600785,9.0,pIC50
NC1=Nc2ccc(cc2C(=O)N1c3ccccc3)c4cnc(N)c(NS(=O)(=O)c5ccc(F)cc5F)c4,CHEMBL3121314,9.1,pIC50
COc1ncc(cc1NS(=O)(=O)c2cccnc2)c3ccc4N=C(N)N(C(=O)c4c3)c5ccccc5,CHEMBL3121323,9.5,pIC50
