SMILES,ChEMBL,target,metric
CC1=C(CS(=O)C2=NC3=C(N2)C=CC=C3)N=CC=C1OCC(F)(F)F,lansoprazole,6.36000013,pIC50
O=C1N(Sc2ccccc12)c3ccccc3,CHEMBL45152,6.03,pIC50
COC(=O)c1cccc(c1)N2Sc3ccccc3C2=O,CHEMBL1369613,6.08,pIC50
Clc1ccc(cc1)N2Sc3c(ccc4C(=O)c5ccccc5C(=O)c34)C2=O,CHEMBL1704299,6.09,pIC50
OC(=O)c1ccccc1NS(=O)(=O)c2cccc(c2)N3Sc4ccccc4C3=O,CHEMBL1333250,6.09,pIC50
Fc1ccc2C(=O)N(Sc2c1)c3ccccc3,CHEMBL1703200,6.1,pIC50
Fc1ccc2SN(C(=O)c2c1)c3ccccc3,CHEMBL1406130,6.1,pIC50
CCN(CC)CCOC(=O)c1ccc(cc1)N2Sc3ccccc3C2=O,CHEMBL1709105,6.12,pIC50
[O-][N+](=O)c1cc(OCC(F)(F)F)c2C(=O)N(Sc2c1)c3ccc(F)cc3,CHEMBL1712661,6.24,pIC50
CCN(CC)S(=O)(=O)c1cccc(c1)N2Sc3ccccc3C2=O,CHEMBL1713178,6.25,pIC50
Fc1ccc2C(=O)N(Sc2c1)c3cc(Cl)c(Cl)cc3Cl,CHEMBL1722737,6.25,pIC50
Cc1c(Cl)cccc1N2Sc3cc(cc(OCC(F)(F)F)c3C2=O)[N+](=O)[O-],CHEMBL1726776,6.26,pIC50
O=C1N(Sc2ccccc12)c3ccc(cc3)S(=O)(=O)N4CCOCC4,CHEMBL1728593,6.26,pIC50
Fc1ccc2C(=O)N(Sc2c1)c3ccc(Cl)cc3Cl,CHEMBL1734915,6.27,pIC50
CN(C)S(=O)(=O)c1cccc(c1)N2Sc3ccccc3C2=O,CHEMBL1339149,6.3,pIC50
[O-][N+](=O)c1cc2SN(C(=O)c2c(c1)N=[N+]=[N-])c3ccccc3,CHEMBL1731467,6.3,pIC50
O=C1N(Sc2ccccc12)c3ccc(cc3)S(=O)(=O)N4CCCC4,CHEMBL1392315,6.31,pIC50
Fc1ccc2C(=O)N(Sc2c1)c3cc(Cl)ccc3Cl,CHEMBL1733472,6.42,pIC50
Fc1ccc2C(=O)N(Sc2c1)c3cccc(Cl)c3Cl,CHEMBL1705022,6.45,pIC50
[O-][N+](=O)c1ccc2C(=O)N(Sc2c1)c3cc(ccc3Cl)C(F)(F)F,CHEMBL1727796,6.6,pIC50
[O-][N+](=O)c1cc2SN(C(=O)c2c(c1)[N+](=O)[O-])c3ccc(OC(F)(F)Cl)cc3,CHEMBL1717022,6.63,pIC50
[O-][N+](=O)c1cc2SN(C(=O)c2c(c1)[N+](=O)[O-])c3ccc(F)c(Cl)c3,CHEMBL1725457,6.72,pIC50
CN(C)C(=O)c1cccc(c1)N2Sc3ccccc3C2=O,CHEMBL1570441,6.85,pIC50
O=C1N([Se]c2ccccc12)c3ccccc3,CHEMBL51085,6.96,pIC50
[O-][N+](=O)c1cc2SN(C(=O)c2c(c1)[N+](=O)[O-])c3ccc(F)cc3,CHEMBL1714665,7.0,pIC50
[O-][N+](=O)c1cc2SN(C(=O)c2c(c1)[N+](=O)[O-])c3ccc(Br)cc3,CHEMBL1606007,7.14,pIC50
[O-][N+](=O)c1cc2SN(C(=O)c2c(c1)[N+](=O)[O-])c3cccc(F)c3,CHEMBL1724427,7.46,pIC50
[O-][N+](=O)c1cc2SN(C(=O)c2c(c1)[N+](=O)[O-])c3ccccc3F,CHEMBL1732623,7.63,pIC50
