SMILES,ChEMBL,target,metric
CCCCCCCCCCCC(=O)c1c(O)c(C2CC(Oc3cc(O)ccc23)c4ccc(O)cc4)c(O)c(C(=O)CCCCCCCCCCC)c1O,CHEMBL444450,6.0,pIC50
CCCCCCCCCCCCCCOC(COCCCCCCCCCC)COc1ccc(cc1)C2=NOC(=O)N2,CHEMBL220842,6.0,pIC50
CCc1c(C(=O)C(=O)N)c2c(NCC(=O)O)cccc2n1Cc3ccccc3,CHEMBL445135,6.0,pIC50
COc1ccc2c(c1)c(CC(=O)N)c(C)n2Cc3ccccc3,CHEMBL346855,6.0,pIC50
CCCCCCCCCCCCCCCCCCN1CCN(Cc2ccc(cc2)C3=NOC(=O)N3)C(=O)C1,CHEMBL1094897,6.01,pIC50
CC(=CCC\C(=C\CC\C(=C\CC1=CCC(OC1O)C2=CC(=O)OC2O)\C)\C)C,CHEMBL109073,6.05,pIC50
CCCCCCCCCCCCCCOC(COc1ccc(cc1)C2=NOC(=O)N2)COC(c3ccccc3)(c4ccccc4)c5ccccc5,CHEMBL373999,6.05,pIC50
COC(=O)COc1cc2CCCc2c3c1c(C(=O)C(=O)N)c(C)n3Cc4ccc(F)cc4,CHEMBL178140,6.09,pIC50
CCCCCCCCCCCCCCCCCCN1CCN(CC1)C(=O)c2ccc(CC3=NOC(=O)N3)cc2,CHEMBL270350,6.1,pIC50
CCCCCCCCCCCC(=O)c1c(O)c(C)c(O)c(C(=O)CCCCCCCCCCC)c1O,CHEMBL485601,6.16,pIC50
CCCCCCCCCCn1c(C)c(CC(=O)N)c2cc(OCCCC(=O)O)ccc12,CHEMBL346679,6.17,pIC50
Cc1c(CC(=O)N)c2cc(OCCCC(=O)O)ccc2n1CC3CCCCC3,CHEMBL146055,6.18,pIC50
CCc1c(CC(=O)N)c2c(NC(=O)O)cccc2n1Cc3ccccc3,CHEMBL414625,6.21,pIC50
[Na+].[Na+].CCc1c(CC(=O)N)c2c(CC=C)c(OCCCP(=O)([O-])[O-])ccc2n1Cc3ccccc3,CHEMBL149330,6.21,pIC50
Cc1c(CC(=O)N)c2c(OCCCC(=O)O)cccc2n1Cc3ccccc3,CHEMBL146572,6.22,pIC50
CCCCCCCCCCCCCCCCCCN1CCN(C(C)C1)C(=O)c2ccc(CC3=NOC(=O)N3)cc2,CHEMBL1094827,6.24,pIC50
CCc1c(CC(=O)N)c2cc(OCc3ccccc3C(=O)O)ccc2n1Cc4ccccc4,CHEMBL342549,6.26,pIC50
COc1cccc2c1c(C(=O)C(=O)N)c(C)n2Cc3ccccc3,CHEMBL359308,6.26,pIC50
Cc1c(CC(=O)N)c2cc(OCCC(=O)O)ccc2n1Cc3ccccc3,CHEMBL359388,6.28,pIC50
CCc1c(CC(=O)N)c2cc(OCCCP(=O)(O)O)ccc2n1Cc3ccccc3,CHEMBL146186,6.33,pIC50
[Na+].[Na+].Cc1c(CC(=O)NN)c2cc(OCCCP(=O)([O-])[O-])ccc2n1Cc3ccccc3,CHEMBL146739,6.34,pIC50
CCOC(=O)CCCOc1ccc2c(CC(=O)N)c(C)n(Cc3ccccc3)c2c1,CHEMBL148887,6.35,pIC50
Cc1c(CC(=O)N)c2c(OCC(=O)NN)cccc2n1Cc3ccccc3,CHEMBL356729,6.38,pIC50
CSc1c(CC(=O)N)c2cc(O)ccc2n1Cc3ccccc3,CHEMBL147247,6.42,pIC50
Cc1c(CC(=O)N)c2c(OCC(=O)N)cccc2n1Cc3ccccc3,CHEMBL148741,6.44,pIC50
CCc1c(CC(=O)N)c2cc(O)ccc2n1Cc3ccccc3,CHEMBL148784,6.47,pIC50
CCCCCCCCCCCCCCCCCCNC(=O)N1CCN(CC1)C(=O)c2ccc(CC3=NOC(=O)N3)cc2,CHEMBL1099009,6.48,pIC50
CCCCCCCCCCCCCCO[C@@H](COc1ccc(cc1)C2=NOC(=O)N2)COC(c3ccccc3)(c4ccccc4)c5ccccc5,CHEMBL220573,6.48,pIC50
NC(=O)Cc1cn(Cc2ccccc2)c3cccc(OCC(=O)O)c13,CHEMBL359294,6.49,pIC50
CCOC(=O)CCCCOc1ccc2c(CC(=O)N)c(C)n(Cc3ccccc3)c2c1,CHEMBL262428,6.51,pIC50
CCCCCCCCCCCCCCC(=O)C(=O)N[C@@H](CC(C)C)C(=O)O,CHEMBL1644549,6.52,pIC50
Cc1cc(OCC(=O)O)c2c(C(=O)C(=O)N)c(C)n(Cc3ccccc3)c2c1,CHEMBL208429,6.52,pIC50
CCCCCCCCCCCCCCCCCCNC(=O)N1CCN(CC1)C(=O)Nc2ccc(CC3=NOC(=O)N3)cc2,CHEMBL1094359,6.54,pIC50
CCCCCCCCCCCCCCOC(COCCCCc1ccccc1)COc2ccc(cc2)C3=NOC(=O)N3,CHEMBL353623,6.54,pIC50
CCCCCCCCCCCCCCOC(COC(c1ccccc1)c2ccccc2)COc3ccc(cc3)C4=NOC(=O)N4,CHEMBL220633,6.55,pIC50
Cc1c(C(=O)C(=O)N)c2c(OCC(=O)O)cccc2n1Cc3ccccc3,CHEMBL346196,6.56,pIC50
CCc1c(CC(=O)N)c2cc(OCCCP(=O)(OC)OC)ccc2n1Cc3ccccc3,CHEMBL356887,6.58,pIC50
CCc1c(C(=O)C(=O)N)c2c(OCC(=O)NS(=O)(=O)c3ccccc3)cccc2n1Cc4ccccc4,CHEMBL514692,6.6,pIC50
Cc1c(C(=O)C(=O)N)c2c(OCCCC(=O)O)cccc2n1Cc3ccccc3c4ccccc4,CHEMBL359148,6.61,pIC50
CCCCCCCCCCCCCCCCCCN1CC(C)N(CC1C)C(=O)c2ccc(CC3=NOC(=O)N3)cc2,CHEMBL1097810,6.64,pIC50
CCCCCCCCCCCCCCOc1ccc(cc1)N2CCN(CC2)C(=O)c3ccc(CC4=NOC(=O)N4)cc3,CHEMBL1099342,6.66,pIC50
CCc1c(C(=O)C(=O)N)c2c(SCC(=O)O)cccc2n1Cc3ccccc3,CHEMBL149206,6.68,pIC50
CCc1c(C(=O)C(=O)N)c2cc(OCCCC(=O)O)ccc2n1Cc3ccccc3,CHEMBL148807,6.68,pIC50
NC(=O)Cc1cn(Cc2ccccc2)c3ccc(OCCCP(=O)(O)O)cc13,CHEMBL148924,6.69,pIC50
COC1=CC(=O)C(=C(C[C@@]2(C)CC[C@@]3(C)[C@@H](CCC=C3C)[C@H]2C)C1=O)O,CHEMBL477692,6.7,pIC50
Cc1c(CC(=O)N)c2cc(OCCCS(=O)(=O)O)ccc2n1Cc3ccccc3,CHEMBL146568,6.71,pIC50
CCc1c(CC(=O)N)c2cc(OCCCC(=O)O)ccc2n1Cc3ccccc3,CHEMBL146571,6.72,pIC50
C[C@H](Oc1cccc2c1c(C(=O)C(=O)N)c(C)n2Cc3ccccc3)C(=O)O,CHEMBL345275,6.73,pIC50
Cc1c(C(=O)C(=O)N)c2c(OCC(=O)O)cccc2n1Cc3ccccc3c4ccccc4,CHEMBL357979,6.75,pIC50
NC(=O)Cc1cn(Cc2ccccc2)c3ccc(OCCCC(=O)O)cc13,CHEMBL148813,6.75,pIC50
CCc1c(C(=O)C(=O)N)c2c(OC(C)C(=O)O)cccc2n1Cc3ccccc3,CHEMBL148649,6.77,pIC50
[Na+].[Na+].NC(=O)Cc1c(Br)n(Cc2ccccc2)c3ccc(OCCCP(=O)([O-])[O-])cc13,CHEMBL358567,6.78,pIC50
CSc1c(CC(=O)N)c2cc(OCCCC(=O)O)ccc2n1Cc3ccccc3,CHEMBL357620,6.79,pIC50
CCc1c(CC(=O)N)c2c(OCC(=O)N)cccc2n1Cc3ccccc3,CHEMBL423947,6.81,pIC50
Cc1c(CC(=O)N)c2cc(CCCC(=O)O)ccc2n1Cc3ccccc3,CHEMBL149880,6.81,pIC50
CCCCCCCCCCCCCCCCCCOC(=O)N1CCN(CC1)C(=O)c2ccc(CC3=NOC(=O)N3)cc2,CHEMBL1099008,6.82,pIC50
CCCCCCCCCCCCCCCCCCOC(COCc1ccc(cc1)C#N)COc2ccc(CC3=NOC(=O)N3)cc2,CHEMBL223880,6.82,pIC50
Cc1c(C(=O)C(=O)N)c2c(OCC(=O)O)cccc2n1Cc3ccc(cc3)c4ccccc4,CHEMBL148861,6.82,pIC50
Cc1c(CC(=O)N)c2c(OCC(=O)O)cccc2n1Cc3ccccc3,CHEMBL424500,6.82,pIC50
Cc1c(CC(=O)N)c2cc(OCCCC(=O)O)ccc2n1Cc3ccccc3,CHEMBL356752,6.82,pIC50
COC(=O)COc1cc2ccccc2c3c1c(C(=O)C(=O)N)c(C)n3CC4CCCCC4,CHEMBL178260,6.83,pIC50
Cc1c(CC(=O)N)c2cc(OCc3ccccc3C(=O)O)ccc2n1Cc4ccccc4,CHEMBL440174,6.83,pIC50
Cc1c(C(=O)C(=O)N)c2c(CCC(=O)O)cccc2n1Cc3ccccc3,CHEMBL149779,6.84,pIC50
CCCCCCCCCCCCCCC(=O)C(=O)N[C@@H](C(C)C)C(=O)O,CHEMBL3769794,6.85,pIC50
CCc1c(C(=O)C(=O)N)c2c(O[C@@H](C)C(=O)O)cccc2n1Cc3ccccc3,CHEMBL345987,6.85,pIC50
CCc1c(CC(=O)N)c2c(CC=C)c(O)ccc2n1Cc3ccccc3,CHEMBL356607,6.85,pIC50
