SMILES,ChEMBL,target,metric
O=C1N\C(=C/c2ccc(OCCCc3cccnc3)cc2)\C(=O)N/C/1=C\c4ccccc4,CHEMBL76604,6.0,pIC50
OC(=O)C1CCN(CC1)c2cccc(F)c2CNc3ccc(N4CCN(CC4)c5cccc(c5)C(F)(F)F)c(c3)C(F)(F)F,CHEMBL165559,6.0,pIC50
OC(=O)c1ccccc1Oc2ccc(cc2CNc3ccc(N4CCN(CC4)c5cccc(c5)C(F)(F)F)c(c3)C(F)(F)F)[N+](=O)[O-],CHEMBL164678,6.0,pIC50
Oc1nc(C(=O)Nc2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)c(O)c4ccccc14,CHEMBL73874,6.0,pIC50
Oc1nc2ccc(cc2c(O)c1C(=O)Nc3ccc(OCCCCCCCn4cnnn4)cc3)c5cc6ccccc6s5,CHEMBL10004,6.0,pIC50
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCC(=O)Nc2cc(ccc2[N+](=O)[O-])N3CCC(CC3)C(=O)O,CHEMBL112242,6.03,pIC50
COc1ccccc1C2=C(C(=O)N/C/2=C\c3oc(C)cc3)c4ccccc4,CHEMBL595977,6.03,pIC50
OC(=O)CCCCCCCOc1ccc(NC(=O)c2c(O)nc3ccc(cc3c2O)c4csc5ccccc45)cc1,CHEMBL10240,6.03,pIC50
OC(=O)C1CCN(CC1)c2cc(N3CCN(CC3)c4cccc(c4)C(F)(F)F)c(cc2C(F)(F)F)[N+](=O)[O-],CHEMBL352133,6.04,pIC50
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCC(=O)Nc2cc(N[C@@H]3CC[C@@H](CC3)C(=O)O)ccc2[N+](=O)[O-],CHEMBL321224,6.05,pIC50
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCC(=O)Nc2cc(ccc2[N+](=O)[O-])N3CCCC(C3)C(=O)O,CHEMBL324919,6.05,pIC50
COc1cccc(CNc2ccc(N3CCN(CC3)c4cccc(c4)C(F)(F)F)c(c2)C(F)(F)F)c1Oc5c(cc(Cl)cc5[N+](=O)[O-])C(=O)O,CHEMBL349207,6.05,pIC50
COc1cccc(CNc2ccc(N3CCN(CC3)c4cccc(c4)C(F)(F)F)c(c2)C(F)(F)F)c1Oc5ccc(cn5)C(=O)O,CHEMBL349156,6.05,pIC50
Cc1ccc(cc1)N2CC(=C(C(=O)Nc3ccc(OCCCCCCCn4cnnn4)cc3)C2=O)O,CHEMBL10135,6.05,pIC50
OC(=O)CCCCCCCOc1ccc(NC(=O)c2c(O)nc3cc(ccc3c2O)C#N)cc1,CHEMBL10230,6.05,pIC50
OC(=O)CCNc1cc(N2CCN(CC2)c3cccc(c3)C(F)(F)F)c(cc1C(F)(F)F)[N+](=O)[O-],CHEMBL165205,6.05,pIC50
OC(=O)C1CCN(CC1)c2cc(N3CCN(CC3)c4cccc(c4)C(F)(F)F)c(cc2[N+](=O)[O-])C(F)(F)F,CHEMBL445317,6.06,pIC50
OC(=O)c1cc(Br)ccc1Oc2cccc(F)c2CNc3ccc(N4CCN(CC4)c5cccc(c5)C(F)(F)F)c(c3)C(F)(F)F,CHEMBL351225,6.1,pIC50
OC(=O)\C(=C\c1sc2cc(OCc3ccc(cc3)S(=O)(=O)c4ccccc4)c(OCc5ccc(cc5)S(=O)(=O)c6ccccc6)cc2c1Oc7ccc(Cl)cc7)\c8ccncc8,CHEMBL288977,6.11,pIC50
