SMILES,ChEMBL,target,metric
Clc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3)c2,CHEMBL3182809,5.15,pIC50
Cc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3)c2,CHEMBL3186207,5.19,pIC50
O=C(Nc1cccc(NC(=O)c2ccccc2)c1)c3occc3,CHEMBL1716797,5.23,pIC50
O=C(Nc1cccc(NC(=O)c2ccsc2)c1)c3ccccc3,CHEMBL3183945,5.25,pIC50
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccc(c3)C(F)(F)F)c2,CHEMBL3183773,5.26,pIC50
O=C(Nc1cccc(NC(=O)c2ccccc2)c1)C3CCCCC3,CHEMBL3184095,5.26,pIC50
COc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2,CHEMBL3183938,5.37,pIC50
CC(C)(C)c1ccc(cc1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2,CHEMBL3317850,5.5,pIC50
CC(C)Oc1ccccc1C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2,CHEMBL3317852,5.57,pIC50
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3occc3)c2,CHEMBL3182773,5.57,pIC50
FC(F)(F)c1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3)c2,CHEMBL3186206,5.6,pIC50
O=C(Nc1cccc(NC(=O)c2ccccn2)c1)c3ccccc3,CHEMBL3182370,5.6,pIC50
COc1cc(ccn1)C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2,CHEMBL3317854,5.61,pIC50
Clc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2,CHEMBL3184966,5.62,pIC50
COc1ccc(OC)c(c1)C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2,CHEMBL3317851,5.64,pIC50
COc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2,CHEMBL3187806,5.66,pIC50
COc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3C)c2,CHEMBL1480257,5.66,pIC50
COc1ccc(cc1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2,CHEMBL3186030,5.68,pIC50
COc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3OC)c2,CHEMBL3182359,5.73,pIC50
CC(C)c1ccccc1C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2,CHEMBL3184438,5.77,pIC50
COc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3)c2,CHEMBL3188343,5.82,pIC50
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3C(F)(F)F)c2,CHEMBL3188857,5.85,pIC50
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3Cl)c2,CHEMBL3186695,5.87,pIC50
COc1ccccc1C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2,CHEMBL1081188,6.0,pIC50
COc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3C(C)C)c2,CHEMBL3187764,6.0,pIC50
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3OC(F)(F)F)c2,CHEMBL3182725,6.0,pIC50
O=C(Nc1cccc(NC(=O)c2cccs2)c1)c3ccccc3,CHEMBL3182777,6.01,pIC50
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3C)c2,CHEMBL3181939,6.02,pIC50
CC(C)c1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3OC(F)(F)F)c2,CHEMBL3186000,6.14,pIC50
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2,CHEMBL1310568,6.16,pIC50
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccc(F)c3)c2,CHEMBL3182551,6.22,pIC50
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccc(Cl)c3)c2,CHEMBL1086899,6.32,pIC50
CCOc1ccccc1C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2,CHEMBL3187482,6.39,pIC50
COc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3OC(F)(F)F)c2,CHEMBL3188749,6.39,pIC50
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccs3)c2,CHEMBL3182091,6.48,pIC50
CCOc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3C(F)(F)F)c2,CHEMBL3182449,6.52,pIC50
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2,CHEMBL3185736,6.82,pIC50
CC(C)Oc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3OC(F)(F)F)c2,CHEMBL3182699,6.96,pIC50
CCOc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3OC)c2,CHEMBL3183497,7.18,pIC50
CCCC(=O)C1CCN(CC1)c2ncnc3CCN(Cc23)C(=O)c4ccc(cc4)c5ccccc5,CHEMBL2324344,7.46,pIC50
