SMILES,ChEMBL,target,metric
CC(C)(CNC(=O)c1cccnc1O)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4,CHEMBL1289418,5.0,pIC50
CC(C)NC(=O)c1cc(\C=C\c2ccc(OCc3ccccc3)cc2)ccc1c4ccc(Cl)cc4,CHEMBL110004,5.0,pIC50
CC(C)NC(=O)c1cc(\C=C\c2cccc(Cl)c2)ccc1c3ccc(Cl)cc3,CHEMBL112852,5.0,pIC50
COc1c(OCc2ccccc2)c(C(=O)C)c(OC)c3ccoc13,CHEMBL77572,5.0,pKd
CCCNC(=O)c1cc(\C=C\c2ccc(F)cc2)ccc1c3ccc(Cl)cc3,CHEMBL421891,5.01,pIC50
COc1ccc(cc1)N(CCCNC(=O)c2ccc(F)cc2)C3=NS(=O)(=O)c4ccccc34,CHEMBL1290616,5.01,pIC50
CCCCNC(=O)c1cc(\C=C\c2ccccc2F)ccc1c3ccc(Cl)cc3,CHEMBL111539,5.1,pIC50
COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,verapamil,5.1,pIC50
CCN(CC)CC\N=C\1/C=CN(Cc2ccccc2Cl)c3cc(Cl)ccc13,CHEMBL53790,5.12,pIC50
CC(C)C(=O)C1N(C(=O)c2occc2)c3ccccc3c4ccccc14,CHEMBL497085,5.13,pIC50
CC(C)N(CCCNC(=O)c1ccc(F)cc1)C2=NS(=O)(=O)c3ccccc23,CHEMBL1289296,5.14,pIC50
COc1c(Oc2ccc(Oc3c(OC)c4occc4c(OC)c3C(=O)C)c(C)c2C)c(C(=O)C)c(OC)c5ccoc15,CHEMBL306038,5.15,pKd
O=C1c2ccccc2C(=O)c3c(OCCCCOc4ccccc4)cccc13,CHEMBL549316,5.16,pIC50
Fc1ccc(cc1)C(=O)NCCCN(C2=NS(=O)(=O)c3ccccc23)c4cccc(c4)C(F)(F)F,CHEMBL1290506,5.17,pIC50
CC1=CC(=O)c2c(O1)cc3OC(=O)C=Cc3c2OCCCCOc4ccccc4,CHEMBL559268,5.22,pIC50
CCCCNC(=O)c1cc(\C=C\Cc2ccccc2)ccc1c3ccc(Cl)cc3,CHEMBL109643,5.22,pIC50
Clc1ccc(cc1)S(=O)(=O)N2CC(=O)c3ccccc3c4ccccc24,CHEMBL522750,5.22,pIC50
Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,CHEMBL104,5.22,pIC50
CC(C)(CNC(=O)C1CCCCN1)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4,CHEMBL1290171,5.23,pIC50
CC1CCN(CCC(C#N)(c2ccccc2)c3ccccc3)CC1,CHEMBL2205334,5.24,pIC50
CCCNC(=O)c1cc(\C=C\Cc2ccccc2)ccc1c3ccc(Cl)cc3,CHEMBL325794,5.24,pIC50
Cc1ccc(cc1)S(=O)(=O)N2CC(=O)c3ccccc3c4ccccc24,CHEMBL498086,5.24,pIC50
CC(C)NC(=O)c1cc(\C=C\Cc2ccccc2)ccc1c3ccc(Cl)cc3,CHEMBL109698,5.25,pIC50
Fc1ccc(cc1)C(=O)NCCCN(C2CCCC2)C3=NS(=O)(=O)c4ccccc34,CHEMBL1289185,5.29,pIC50
CC(=O)N1C(c2ccccc2c3ccccc13)c4c[nH]c5ccccc45,CHEMBL497084,5.3,pIC50
CC1=CC(=O)c2c(O1)cc3OCOc3c2OCCCCOc4ccccc4,CHEMBL559267,5.3,pIC50
CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1,diphenoxylate,5.3,pIC50
COc1c(OCc2ccc(COc3c(OC)c4occc4c(OC)c3C(=O)C)c(c2)C(=O)O)c(C(=O)C)c(OC)c5ccoc15,CHEMBL77493,5.3,pKd
Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4cccn4,CHEMBL498270,5.3,pIC50
OCCCN(C1=NS(=O)(=O)c2ccccc12)c3ccccc3,CHEMBL1289414,5.3,pIC50
O=S1(=O)N=C(N(CCCC#N)c2ccccc2)c3ccccc13,CHEMBL1290733,5.32,pIC50
Fc1ccc(cc1)N(CCCNC(=O)c2ccc(F)cc2)C3=NS(=O)(=O)c4ccccc34,CHEMBL1290394,5.33,pIC50
N#CC(CCN1CCC(=CC1)c2ccccc2)(c3ccccc3)c4ccccc4,CHEMBL2205328,5.38,pIC50
O=C(C1CCC1)C2N(C(=O)c3occc3)c4ccccc4c5ccccc25,CHEMBL502831,5.38,pIC50
CCCNC(=O)c1cc(\C=C\CCc2ccccc2)ccc1c3ccc(Cl)cc3,CHEMBL111753,5.4,pIC50
COc1c(OCCOCCOc2c(OC)c3occc3c(OC)c2C(=O)C)c(C(=O)C)c(OC)c4ccoc14,CHEMBL74306,5.4,pKd
Cc1ccc(cc1)C(=O)N2CC(=O)c3ccccc3c4ccccc24,CHEMBL522408,5.4,pIC50
NC(=N)NNC(=O)c1cc(\C=C\c2ccc(F)cc2)ccc1c3ccc(Cl)cc3,CHEMBL109739,5.41,pIC50
CC(C)NC(=O)c1cc(\C=C\c2ccc(Cl)c(F)c2)ccc1c3ccc(Cl)cc3,CHEMBL109336,5.43,pIC50
COC1=C(C[C@@H]2C(=C)CC[C@H]3[C@@]4(C)CC=CO[C@@H]4CC[C@]23C)C(=O)C(=C(C)O1)C,CHEMBL515037,5.43,pIC50
Clc1cccc(c1)S(=O)(=O)N2CC(=O)c3ccccc3c4ccccc24,CHEMBL496892,5.44,pIC50
O=S1(=O)N=C(N(CCCc2ccccc2)c3ccccc3)c4ccccc14,CHEMBL1289528,5.45,pIC50
COc1c(OCCCCOc2c(OC)c3occc3c(OC)c2C(=O)C)c(C(=O)C)c(OC)c4ccoc14,CHEMBL78267,5.46,pKd
O=C(NCCCN(C1=NS(=O)(=O)c2ccccc12)c3ccccc3)C4=CCOC=C4,CHEMBL1289965,5.46,pIC50
CN1CCCCC1C(=O)NCC(C)(C)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4,CHEMBL1290172,5.47,pIC50
Clc1cccc(c1)C(=O)N2CC(=O)c3ccccc3c4ccccc24,CHEMBL497250,5.47,pIC50
CCNC(=O)c1cc(\C=C\CCc2ccccc2)ccc1c3ccc(Cl)cc3,CHEMBL418444,5.5,pIC50
CNC(=O)NCC(C)(C)CN(C1=NS(=O)(=O)c2cc(F)ccc12)c3ccccc3,CHEMBL1290738,5.51,pIC50
COc1c(OCc2ccc(COc3c(OC)c4occc4c(OC)c3C(=O)C)cc2)c(C(=O)C)c(OC)c5ccoc15,CHEMBL75159,5.51,pKd
