SMILES,ChEMBL,target,metric
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3C(=O)c4ccccc4)n2,CHEMBL2070982,5.09,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4nccc5ccccc45)n2,CHEMBL2070977,5.1,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3C(=O)c4cccc(F)c4)n2,CHEMBL2070981,5.21,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccccc4C(F)(F)F)n2,CHEMBL2070957,5.32,pEC50
COc1ccc(cc1)c2csc(NC(=O)C3COCCN3S(=O)(=O)c4ccc(C)cc4)n2,CHEMBL2070987,5.36,pEC50
COc1ccc(cc1)c2csc(NC(=O)C3CCCN3S(=O)(=O)c4ccc(C)cc4)n2,CHEMBL2070985,5.54,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc(cc4)C(C)C)n2,CHEMBL2070955,5.59,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccccc4OC)n2,CHEMBL2070960,5.75,pEC50
COc1ccc(cc1)c2csc(NC(=O)C3CCCCN3S(=O)(=O)c4ccccc4)n2,CHEMBL1352968,5.77,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc(cc4)C(F)(F)F)n2,CHEMBL2070959,5.77,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc(cc4)C#N)n2,CHEMBL2070965,5.79,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccccc4)n2,CHEMBL2070830,5.83,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4cccc(Cl)c4)n2,CHEMBL2070969,5.85,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccccc4C)n2,CHEMBL2070832,5.86,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4cccnc4)n2,CHEMBL2070978,5.87,pEC50
Cc1ccc(cc1)S(=O)(=O)N2CCCC[C@@H]2C(=O)Nc3nc(cs3)c4ccc5occc5c4,CHEMBL2071004,5.88,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4cccc(F)c4)n2,CHEMBL2070966,5.94,pEC50
COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,CHEMBL74355,5.98,pKi
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc(F)cc4)n2,CHEMBL2070967,5.99,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4cccc(c4)C(F)(F)F)n2,CHEMBL2070958,6.0,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4cccc(C)c4)n2,CHEMBL2070952,6.05,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4cccc(c4)C#N)n2,CHEMBL2070964,6.06,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4cccc(OC)c4)n2,CHEMBL2070961,6.09,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc5OCOc5c4)n2,CHEMBL2070962,6.11,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccccc4Cl)n2,CHEMBL2070968,6.14,pEC50
CCCc1ccc(cc1)S(=O)(=O)N2CCCC[C@@H]2C(=O)Nc3nc(cs3)c4ccc(OC)cc4,CHEMBL2070954,6.16,pEC50
COc1ccc(cc1)c2csc(NC(=O)C3CSCCN3S(=O)(=O)c4ccc(C)cc4)n2,CHEMBL2070988,6.22,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc(Cl)cc4)n2,CHEMBL2070970,6.38,pEC50
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc(C)cc4)n2,CHEMBL2070953,6.59,pEC50
