SMILES,ChEMBL,target,metric
CCCCc1c(cnn1c2ncc(C)c(n2)c3cccs3)C(=O)NC4CCCc5ncn(C)c45,CHEMBL2409013,7.0,pEC50
CCOC(=O)CN[C@@H](Cc1ccccc1)C(=O)Nc2cc(nn2C)c3ccncc3,CHEMBL2430984,7.02,pEC50
CCOCc1c(cnn1c2ncc(C)c(OCC)n2)C(=O)NCc3cncn3C,CHEMBL2409020,7.02,pEC50
O=C(Nc1cc(n[nH]1)c2ccncc2)[C@H](Cc3ccccc3)NCc4cncs4,CHEMBL2430985,7.02,pEC50
CCCCc1c(cnn1c2ncc(C)c(n2)c3cccs3)C(=O)NCc4ccnn4C,CHEMBL2409015,7.05,pEC50
O=C(NC1=CC(=CNC1=O)c2ccncc2)[C@H](Cc3ccccc3)NCc4cncs4,CHEMBL2431066,7.05,pEC50
O=C(Nc1cnc(s1)c2ccncc2)[C@H](Cc3ccccc3)NCc4cncs4,CHEMBL2430988,7.05,pEC50
CNc1cc(ccn1)c2cc(NC(=O)[C@H](Cc3ccc(F)cc3)NCC(=O)N)n(C)n2,CHEMBL2430982,7.11,pEC50
CNc1cc(ccn1)c2cc(NC(=O)[C@H](Cc3ccc(F)cc3)NCc4nn[nH]n4)n(C)n2,CHEMBL2430980,7.15,pEC50
Cn1nc(cc1NC(=O)[C@H](Cc2ccccc2)NCC(=O)O)c3ccncc3,CHEMBL2430983,7.28,pEC50
CNc1cc(ccn1)c2cc(NC(=O)[C@H](Cc3ccc(F)cc3)NCc4cncs4)n(C)n2,CHEMBL2430978,7.31,pEC50
CNc1cc(ccn1)c2cc(NC(=O)[C@H](Cc3ccc(F)cc3)NCC(=O)O)n(C)n2,CHEMBL2430981,7.38,pEC50
CNc1cc(ccn1)c2cc(NC(=O)[C@H](Cc3ccccc3)NCc4cncs4)n(C)n2,CHEMBL2430977,7.43,pEC50
Cn1nc(cc1NC(=O)[C@H](Cc2ccccc2)NCc3cncs3)c4ccncc4,CHEMBL2431062,7.43,pEC50
CCCCc1c(cnn1c2ncc(C)c(n2)c3cccs3)C(=O)NCc4cnc(C)n4C,CHEMBL2409012,7.52,pEC50
CCOCc1c(cnn1c2ncc(C)c(n2)c3cccs3)C(=O)NCc4ccncc4,CHEMBL2409030,7.52,pEC50
CCOCc1c(cnn1c2ncc(C)c(n2)N3CCC3)C(=O)NCc4cncn4C,CHEMBL2409022,7.55,pEC50
CNc1cc(ccn1)c2cc(NC(=O)[C@H](Cc3ccc(F)cc3)NCc4c[nH]nn4)n(C)n2,CHEMBL2430979,7.59,pEC50
CCOCc1c(cnn1c2ncc(C)c(NC3CCC3)n2)C(=O)NCc4cncn4C,CHEMBL2409021,7.6,pEC50
CCOCc1c(cnn1c2ncc(C)c(n2)N3CCCCC3)C(=O)NCc4cncn4C,CHEMBL2409007,7.66,pEC50
CCOCc1c(cnn1c2ncc(C)c(n2)N3CCCC3)C(=O)NCc4cncn4C,CHEMBL2409023,7.85,pEC50
CCCCc1c(cnn1c2ncc(C)c(n2)c3cccs3)C(=O)NCc4ccncc4,CHEMBL2409027,8.16,pEC50
CCCc1c(cnn1c2ncc(C)c(n2)c3cccs3)C(=O)NC(C)(C)c4ccncc4,CHEMBL2409031,8.3,pEC50
CCOCc1c(cnn1c2ncc(C)c(n2)c3cccs3)C(=O)NCc4cncn4C,CHEMBL2409019,8.89,pEC50
CCCCc1c(cnn1c2ncc(C)c(n2)c3cccs3)C(=O)NCc4c(C)ncn4C,CHEMBL2409011,9.0,pEC50
CCCCc1c(cnn1c2ncc(C)c(n2)c3cccs3)C(=O)NCc4cncn4C,CHEMBL2409009,9.0,pEC50
CCCCc1c(cnn1c2ncc(C)c(n2)c3cccs3)C(=O)NCc4cncn4CC(=O)O,CHEMBL2409014,9.7,pEC50
