SMILES,ChEMBL,target,metric
[H][C@@]12CC[C@](OC(=O)CCCCC)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,hydroxyprogesterone caproate,7.66354036,pIC50
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,progesterone,7.77,pIC50
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],norethisterone,8.5,pIC50
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,mifepristone,8.74,pKi
C[C@H]1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(OC(=O)C)C(=O)C)[C@@]4(C)CCC(=O)C=C14,medroxyprogesterone,9.59,pEC50
[H][C@@]12[C@@H]3C[C@@H]3[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H]2C[C@H]2C2=CC(=O)CC[C@]12C,drospirenone,10.5,pEC50
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C,dydrogesterone,6.9000001,pKi
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H],ulipristal,9.69999981,pIC50
CC1(C)OC(=Nc2ccc(cc12)c3cc(Br)cc(OC(F)(F)F)c3)S,CHEMBL26763,7.0,pIC50
CC1(C)OC(=Nc2ccc(cc12)c3cc(Br)cc(c3)C#N)S,CHEMBL24583,7.0,pIC50
CC1(C)OC(=Nc2ccc(cc12)c3cc(OC(F)(F)F)cc(c3)C#N)S,CHEMBL24689,7.0,pIC50
CC1(C)OCC(=O)Nc2ccc(cc12)c3ccc(F)cc3,CHEMBL486910,7.0,pIC50
CC1=CC(C)(C)Nc2cc3C(O)c4cc(F)ccc4c3cc12,CHEMBL93451,7.0,pKi
CC1=CC(C)(C)Nc2ccc3c(COc4ccc(C)cc34)c12,CHEMBL294116,7.0,pIC50
CCC1(OCC(=O)Nc2ccc(cc12)c3cc(F)cc(c3)C#N)c4cccs4,CHEMBL519394,7.0,pIC50
CCN1C(=S)OC(C)(C)c2cc(ccc12)c3cc(F)cc(c3)C#N,CHEMBL417110,7.0,pIC50
CN(C)c1ccc(cc1)[C@@H]2CN(N=C2c3ccc(Cl)c(Cl)c3)S(=O)(=O)c4ccc(Cl)cc4,CHEMBL190264,7.0,pKi
CN1C(=S)OC(C)(C)c2cc(ccc12)c3cc(F)cc(Br)c3,CHEMBL28164,7.0,pIC50
COc1c(CO)ccc2OC(CC=C)c3c(ccc4NC(C)(C)C=C(C)c34)c12,CHEMBL8637,7.0,pKi
COc1cc(cc(c1)c2ccc3N=C(S)OC(C)(C)c3c2)C#N,CHEMBL25292,7.0,pIC50
CS(=O)(=O)N1CC[C@@H](C1)N(Cc2cccc(c2)C(F)(F)F)c3ccc(C#N)c(Cl)c3,CHEMBL589854,7.0,pIC50
CS(=O)(=O)N1CC[C@@H](C1)N(Cc2ccccc2C#N)c3ccc(C#N)c(Cl)c3,CHEMBL590835,7.0,pIC50
CS(=O)(=O)Nc1cccc(C=C2c3ccccc3CCc4ccccc24)c1,CHEMBL3120320,7.0,pKi
Cc1cc(Br)cc(c1)c2ccc3N=C(S)OC(C)(C)c3c2,CHEMBL26764,7.0,pIC50
Cc1ccc(cc1)C(=O)CC(Nc2cccc(c2)[N+](=O)[O-])c3cccc(F)c3,CHEMBL1164339,7.0,pKi
Clc1ccc(cc1)S(=O)(=O)N2CC(C(=N2)c3ccc(Cl)c(Cl)c3)c4ccccc4,CHEMBL364924,7.0,pKi
Clc1ccc(cc1Cl)C(=O)N2CCCC(=N2)c3ccc(Cl)c(Cl)c3,CHEMBL344135,7.0,pIC50
[O-][N+](=O)c1ccc(cc1)C(=O)N2CCCC(=N2)c3ccc(Cl)c(Cl)c3,CHEMBL343410,7.0,pIC50
CC1=CC(C)(C)Nc2ccc3c(Cc4cc(c(F)cc34)[N+](=O)[O-])c12,CHEMBL328804,7.01,pKi
CC1CN(N=C(C1)c2ccccc2)C(=O)c3ccc(Cl)c(Cl)c3,CHEMBL148070,7.01,pIC50
COc1cc(CC2C(C)(C)CC(=CC23CC3)C)c(OC(=O)C)cc1Br,CHEMBL50849,7.01,pKi
[O-][N+](=O)c1cccc(c1)c2ccc3NC(=O)C4(CCCCC4)c3c2,CHEMBL118861,7.02,pIC50
C[C@@H]1[C@@H](OC(=O)NC2CCCCC2)C(C)(C)Nc3cc(F)c(c(F)c13)c4cccc5c(Cl)c[nH]c45,CHEMBL1684344,7.03,pKi
C[C@@H]1CC(C)(C)Nc2ccc3c4ccccc4O[C@@H](c5ccc(Cl)cc5)c3c12,CHEMBL36076,7.04,pKi
COc1ccc(F)cc1C(C)(C)CC(O)(CN2CCC(=O)c3ccccc23)C(F)(F)F,CHEMBL219314,7.05,pIC50
CC1=CC(=C)C(Cc2ccc3nonc3c2)C(C)(C)C1,CHEMBL50786,7.06,pKi
CC1CC(C)(C)Nc2cc3Cc4ccccc4c3cc12,CHEMBL93894,7.06,pKi
Fc1ccc(cc1Cl)c2ccc3NC(=O)COC(c4ccccc4)(c5ccccc5)c3c2,CHEMBL527871,7.06,pIC50
[O-][N+](=O)c1ccc(NC(CC(=O)c2cccc(Cl)c2)c3ccc(cc3)C(F)(F)F)cc1,CHEMBL1163617,7.06,pKi
CC(C)(CC(C)(O)C(=O)Nc1ccc2C(=O)OCc2c1)c3ccccc3,CHEMBL195021,7.07,pIC50
CC1=CC(C)(C)Nc2ccc3c(COc4c(F)cc(F)cc34)c12,CHEMBL418684,7.07,pIC50
CC1=CC(C)(C)Nc2ccc3c(COc4c(F)cc(cc34)C#N)c12,CHEMBL62227,7.07,pEC50
COc1ccc(F)cc1C(C)(C)CC(O)(C(=O)Nc2ccc3C(=O)OCc3c2)C(F)(F)F,CHEMBL194812,7.07,pIC50
COc1ccc2OCc3c(ccc4NC(C)(C)C=C(C)c34)c2c1,CHEMBL65522,7.07,pKi
COc1ccccc1c2c[nH]c3c(NS(=O)(=O)C)cccc23,CHEMBL3605933,7.07,pKi
Cc1cccc(c1)C(=O)CC(Nc2ccc(cc2)[N+](=O)[O-])c3ccc(cc3)C(F)(F)F,CHEMBL1163812,7.07,pKi
CC1=CC(C)(C)Nc2ccc3c(COc4ccccc34)c12,CHEMBL67362,7.08,pKi
COc1cc(C[C@H]2[C@H](C)C[C@@H](C)CC2=C)c(O)cc1Br,CHEMBL50454,7.08,pKi
COc1cc(\C=C\CC2C(=C)C=C(C)CC2(C)C)c(O)cc1Br,CHEMBL49978,7.08,pKi
