SMILES,ChEMBL,target,metric
Cl.CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(Cl)cc3)C1=O)NCc4ccc(Cl)cc4,CHEMBL3728034,7.01,pKi
CON1C(=O)C2=C(CCN(C2)C(=O)c3ccc(cc3F)C#N)N=C1N[C@H](C)C4CCCCC4,CHEMBL3732103,7.22,pKi
CON1C(=O)C2=C(CCN(C2)C(=O)c3ccc(cc3F)C#N)N=C1N[C@@H](C)C4CCCCC4,CHEMBL3732788,7.25,pKi
CON1C(=NC2=C(CN(CC2)C(=O)c3oc(Cl)cc3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F,CHEMBL3732297,7.32,pKi
Cl.CCC(NC1=NC2=C(CN(CC2)C(=O)c3ccc(Cl)cc3)C(=O)N1OC)c4ccc(Cl)cc4,CHEMBL3733220,7.36,pKi
CC#CCN1C(=NC2=C(CN(CC2)C(=O)c3ccc4OCOc4c3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F,CHEMBL3730785,7.38,pKi
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc4OCCOc4c3)C1=O)N[C@@H](C(C)C)c5ccc(Cl)cc5,CHEMBL3730006,7.38,pKi
C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(Cl)cc3)C(=O)N1CC#C)c4ccc(Cl)cc4,CHEMBL3732695,7.38,pKi
CC#CCN1C(=NC2=C(CN(CC2)C(=O)c3ccc(C)c(C)c3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F,CHEMBL3729362,7.39,pKi
C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(C)cc3)C(=O)N1CCC#C)c4ccc(cc4)C(F)(F)F,CHEMBL3732077,7.39,pKi
Cl.CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(Cl)cc3)C1=O)NCc4ccc(cc4)C(F)(F)F,CHEMBL3727878,7.41,pKi
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(Cl)cc3)C1=O)NC(C(C)C)c4ccc(Cl)cc4,CHEMBL3729094,7.43,pKi
Cl.C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(cc3)C#N)C(=O)N1N4CCOCC4)c5ccc(cc5)C(F)(F)F,CHEMBL3732985,7.44,pKi
CON1C(=O)C2=C(CCN(C2)C(=O)c3ccc(Cl)cc3)N=C1N4CCCC4c5ccc(cc5)C(F)(F)F,CHEMBL3732328,7.47,pKi
CC(C)CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(cc3F)C#N)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F,CHEMBL3729390,7.48,pKi
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(cc3)n4ccnc4)C1=O)N[C@@H](C(C)C)c5ccc(Cl)cc5,CHEMBL3730367,7.51,pKi
Cl.C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(Cl)cc3)C(=O)N1CC#C)c4ccc(cc4)C(F)(F)F,CHEMBL3732064,7.54,pKi
CC#CCN1C(=NC2=C(CN(CC2)C(=O)c3cnc4ccccc4c3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F,CHEMBL3731220,7.55,pKi
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(Cl)cc3)C1=O)N[C@@H](C)c4ccc(Cl)cc4,CHEMBL3731864,7.55,pKi
CON1C(=NC2=C(CN(CC2)C(=O)c3cc4ccccc4cn3)C1=O)N[C@@H](C(C)C)c5ccc(Cl)cc5,CHEMBL3731135,7.59,pKi
C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(cc3)c4ocnc4)C(=O)N1CCC#C)c5ccc(cc5)C(F)(F)F,CHEMBL3728107,7.59,pKi
CCON1C(=NC2=C(CN(CC2)C(=O)c3ccc(Cl)cc3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F,CHEMBL3728239,7.6,pKi
Cl.C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(Cl)cc3)C(=O)N1N(C)C)c4ccc(Cl)cc4,CHEMBL3731865,7.6,pKi
CC#CCN1C(=NC2=C(CN(CC2)C(=O)c3ccc4ccccc4n3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F,CHEMBL3728824,7.62,pKi
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc4N(C)C(=O)CCc4c3)C1=O)N[C@@H](C(C)C)c5ccc(Cl)cc5,CHEMBL3729127,7.62,pKi
COc1ccc(cc1)C(=O)N2CCC3=C(C2)C(=O)N(CC#CC)C(=N3)N[C@@H](C)c4ccc(cc4)C(F)(F)F,CHEMBL3732511,7.64,pKi
CCON1C(=NC2=C(CN(CC2)C(=O)c3ccc(cc3)c4ocnc4)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F,CHEMBL3732584,7.7,pKi
CON1C(=NC2=C(CN(CC2)C(=O)c3cc(c4cccs4)n(C)n3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F,CHEMBL3729024,7.7,pKi
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(Cl)c(C)c3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F,CHEMBL3732106,7.7,pKi
Cl.CC#CCN1C(=NC2=C(CN(CC2)C(=O)c3cc4ccccn4n3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F,CHEMBL3730705,7.7,pKi
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(Cl)cc3OC)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F,CHEMBL3728601,7.75,pKi
CCON1C(=NC2=C(CN(CC2)C(=O)c3cc4cccnc4s3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F,CHEMBL3727905,7.77,pKi
Cl.CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(Cl)cc3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F,CHEMBL3727401,7.77,pKi
Cl.C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(Cl)cc3)C(=O)N1N(C)C)c4ccc(cc4)C(F)(F)F,CHEMBL3728270,7.77,pKi
Cl.Cl.CC#CCN1C(=NC2=C(CN(CC2)C(=O)c3ccc4cccnc4c3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F,CHEMBL3729534,7.77,pKi
