SMILES,ChEMBL,target,metric
CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=CC=CC=C3C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1,linagliptin,7.05,pIC50
CN1C(=O)N(Cc2nc(C)c3ccccc3n2)C(=O)c4c1c(C#N)c(N5CCC[C@H](N)C5)n4CC=C(C)C,CHEMBL1951600,6.0,pIC50
CC(C)c1cc(ccc1OC[C@H]2CC[C@H](N2)C(=O)N3CCC[C@H]3C#N)C(=O)O,CHEMBL436744,6.05,pKi
N[C@@H](Cc1cc(F)cc(F)c1F)C(=O)N2C[C@@H](F)C[C@H]2C#N,CHEMBL3093915,6.05,pIC50
N[C@@H](Cc1ccc(cc1)C#N)C(=O)N2CCC[C@H]2C#N,CHEMBL3093923,6.1,pIC50
CC12CC3(C)CC(C)(C1)CC(C3)(C2)NCC(=O)N4CCC[C@@H]4B(O)O,CHEMBL381444,6.11,pIC50
CC(C)(C)C(=O)NCC(=O)N1CCC[C@H]1B(O)O,CHEMBL216411,6.12,pKi
CC#CCn1c(nc2N(C)C(=O)N(Cc3nc(C)c4ccccc4n3)C(=O)c12)N5CCNCC5,CHEMBL3616890,6.13,pIC50
O=C(C[C@@H]1C[C@H](NC1=O)C(=O)N2CCC[C@H]2C#N)N3CCCCC3,CHEMBL1243092,6.14,pIC50
FC(F)(F)c1cn2CCN(Cc2n1)C(=O)C[C@@H]3C[C@H](NC3=O)C(=O)N4CCC[C@H]4C#N,CHEMBL1242994,6.19,pIC50
OB(O)[C@@H]1CCCN1C(=O)CNC2CCCCC2,CHEMBL371130,6.19,pIC50
N[C@@H](Cc1ccc(cc1)C(F)(F)F)C(=O)N2C[C@@H](F)C[C@H]2C#N,CHEMBL3093908,6.22,pIC50
O=C(CNC(=O)c1cccc2ccccc12)N3CCC[C@H]3C#N,CHEMBL1243374,6.22,pIC50
CC(C)(CC(=O)N[C@H]1C[C@@H]1c2cccc(Cl)c2)NCC(=O)N3CC(F)(F)C[C@H]3C#N,CHEMBL463231,6.23,pIC50
N[C@H]1C[C@H](CC[C@@H]1c2cc(F)c(F)cc2F)N3Cc4cnc5nc(nn5c4C3)C6CC6,CHEMBL3805346,6.24,pIC50
OC(=O)c1ccc(OC[C@H]2CC[C@H](N2)C(=O)N3CCC[C@H]3C#N)c(Cl)c1,CHEMBL379999,6.27,pKi
OB(O)[C@@H]1CCCN1C(=O)CNC2CCCCCCCCC2,CHEMBL196267,6.28,pIC50
Fc1ccc(cc1)N2CCN(CC2)C(=O)C[C@@H]3C[C@H](NC3=O)C(=O)N4CCC[C@H]4C#N,CHEMBL1243028,6.29,pIC50
C[C@@H](NC(=O)c1cccnc1)C(=O)N2CCC[C@H]2B(O)O,CHEMBL2333028,6.3,pIC50
Clc1cc(ccc1OC[C@H]2CC[C@H](N2)C(=O)N3CCC[C@H]3C#N)C#N,CHEMBL209940,6.3,pKi
Clc1ccccc1OC[C@H]2CC[C@H](N2)C(=O)N3CCC[C@H]3C#N,CHEMBL377390,6.32,pKi
Cc1ccc(C[C@H](N)C(=O)N2C[C@@H](F)C[C@H]2C#N)cc1,CHEMBL3093904,6.33,pIC50
N[C@@H](Cc1ccc(cc1)C#N)C(=O)N2C[C@@H](F)C[C@H]2C#N,CHEMBL3093907,6.33,pIC50
Cc1nc2ncc3CN(Cc3n2n1)[C@H]4CC[C@@H]([C@@H](N)C4)c5cc(F)c(F)cc5F,CHEMBL3805629,6.35,pIC50
CS(=O)(=O)c1ccc(OC[C@H]2CC[C@H](N2)C(=O)N3CCC[C@H]3C#N)c(Cl)c1,CHEMBL210805,6.41,pKi
CSCC[C@@H](NC(=O)c1ccnc2ccccc12)C(=O)N3CCC[C@H]3B(O)O,CHEMBL2332621,6.46,pIC50
C[C@@H](NC(=O)C)C(=O)N1CCC[C@H]1B(O)O,CHEMBL387462,6.46,pKi
N[C@@H](Cc1cc(F)c(F)cc1F)C(=O)N2C[C@@H](F)C[C@H]2C#N,CHEMBL3093914,6.46,pIC50
OB(O)[C@@H]1CCCN1C(=O)CNC2CCCCCCC2,CHEMBL382974,6.54,pIC50
Cc1nnc2ncc3CN(Cc3n12)[C@H]4CC[C@@H]([C@@H](N)C4)c5cc(F)c(F)cc5F,CHEMBL3806023,6.55,pIC50
N[C@H]1C[C@H](CC[C@@H]1c2cc(F)c(F)cc2F)N3Cc4cnc5nnc(C6CC6)n5c4C3,CHEMBL3806041,6.55,pIC50
CCCCCC12CCC(CC1)(CC2)NCC(=O)N3CCC[C@H]3B(O)O,CHEMBL372180,6.57,pIC50
