SMILES,ChEMBL,target,metric
OC(=O)CCN1C2=C(C[C@@H](CC2)NS(=O)(=O)C2=CC=C(F)C=C2)C2=CC=CC=C12,ramatroban,8.37,pKi
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c3ccc(Cl)cc3)c1,CHEMBL1933766,7.0,pIC50
CN(C(=O)\C(=C\c1cn(CC(=O)O)c2c(F)cccc12)\C#N)c3ccccc3,CHEMBL2391523,7.0,pIC50
Cc1c(Cc2ccc3ccccc3n2)c4cc(F)ccc4n1CC(=O)O,CHEMBL560993,7.0,pIC50
Nc1ccc(cn1)c2nc(sc2CC(=O)O)C(c3ccc(F)cc3)c4ccc(F)cc4,CHEMBL592780,7.0,pIC50
OC(=O)COc1ccc(Cl)cc1C#Cc2ccc(F)cc2F,CHEMBL1917395,7.0,pKi
OC(=O)COc1ccc(Cl)cc1CN2CCN(CC2)C(=O)Cc3ccccc3,CHEMBL1689113,7.0,pIC50
OC(=O)COc1ccc(cc1C2CCCCC2)c3ccc(F)cc3,CHEMBL429470,7.0,pKi
OC(=O)COc1cccc(OCCN2C=C(C=CC2=O)C(c3ccccc3)c4ccccc4)c1,CHEMBL1941122,7.0,pIC50
OC(=O)COc1cnc(C(=O)c2ccc(cc2)C(=O)NCCc3ccc(Cl)cc3)c4ccccc14,CHEMBL2023659,7.0,pIC50
OC(=O)Cc1sc(Nc2ccccc2)nc1c3ccc(Cl)cc3,CHEMBL591519,7.0,pIC50
OC(=O)Cn1c2CCN(Cc2c3cc(Cl)ccc13)C(=O)c4cccc5ccccc45,CHEMBL2386080,7.0,pIC50
OC(=O)Cc1cnc(C(=O)c2ccc(NC(=O)CC34CC5CC(CC(C5)C3)C4)cc2)c6ccccc16,CHEMBL3093604,7.01,pIC50
CN([C@@H]1CCc2c(C1)c3nccnc3n2CC(=O)O)S(=O)(=O)c4ccc(F)cc4,CHEMBL556849,7.02,pIC50
CN1C(=O)N(Cc2cn(nc2c3ccccc3)c4ccccc4)C(=O)C15C(=O)N(CC(=O)O)c6ccc(Cl)cc56,CHEMBL2042243,7.02,pKi
OC(=O)CN1C(=O)C2(CC(=O)N(Cc3ccc(F)cc3)C2=O)c4cc(Cl)ccc14,CHEMBL258856,7.02,pKi
OC(=O)Cc1cc(C2CCN(CC2)S(=O)(=O)c3cccc(Cl)c3)c4cc(F)ccc4c1,CHEMBL3675667,7.02,pIC50
CC1CC(N(C(=O)C)c2ccccc2)c3ccccc3N1C(=O)c4ccc(Cl)cc4,CHEMBL1080341,7.03,pIC50
CCN(Cc1cc(ccc1c2nc(CC(=O)O)c3ccccn23)C(F)(F)F)C(=O)C4CC4,CHEMBL3338152,7.03,pIC50
