SMILES,ChEMBL,target,metric
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,dinoprostone,9.77,pKi
COc1ccc(cc1)c2ccc(OCc3cc(oc3C)C(=O)NS(=O)(=O)c4ccc(CN)cc4)cc2,CHEMBL3260761,7.0,pKi
COC1CCN(CC1)c2ccc(C)c(n2)C(=O)Nc3c(C)cc(cc3C)C(=O)O,CHEMBL3793912,7.02,pIC50
COc1ccc(cc1)c2ccc(OCc3cc(oc3C)C(=O)O)cc2,CHEMBL3260437,7.05,pKi
Cc1ccc(C(=O)O)c(C)c1NC(=O)c2nc(ccc2C)N3CCC(C)(O)CC3,CHEMBL3792999,7.06,pIC50
COc1ccccc1c2ccc(OCc3cc(oc3C)C(=O)NS(=O)(=O)c4ccccc4)cc2,CHEMBL3260760,7.07,pKi
Cc1ccc(nc1C(=O)Nc2c(C)cc(cc2C)C(=O)O)N3CCC(CO)C3,CHEMBL3793994,7.08,pIC50
CCOc1c2CN(C(=O)c2c(OCC)c3ccccc13)c4ccc(CC5(CC5)NC(=O)NS(=O)(=O)c6ccc(F)cc6)cc4C,CHEMBL1669024,7.1,pIC50
CN(Cc1ccccc1)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=O)OCc3ccccc3)NC(=O)c4cc5ccccc5[nH]4,CHEMBL192303,7.1,pKi
Cc1oc(CC(=O)O)cc1COc2ccc(cc2)c3ccccc3,CHEMBL3260430,7.1,pKi
Cc1oc(CCC(=O)O)cc1COc2ccc(cc2)c3ccccc3,CHEMBL3260431,7.1,pKi
CCOc1c2CN(C(=O)c2c(OCC)c3ccccc13)c4ccc(CC5(CC5)NC(=O)NS(=O)(=O)c6c(Cl)cccc6Cl)cc4C,CHEMBL1669008,7.11,pIC50
Cl.OC(=O)c1ccc(cc1)C2(CC2)NC(=O)[C@H]3CCCCN3CCOc4ccccc4,CHEMBL3600788,7.11,pIC50
C[C@H](NC(=O)c1cccc2CCN(Cc3cccnc3)c12)c4ccc(cc4)C(=O)O,CHEMBL1645146,7.12,pKi
Cc1ccc(nc1C(=O)Nc2c(C)cc(cc2C)C(=O)O)N3CCC(O)CC3,CHEMBL3686863,7.12,pKi
CN(C)C(=O)c1sc2c(F)cc(F)cc2c1c3ccc(CCNC(=O)NS(=O)(=O)c4ccc(C)cc4)cc3,CHEMBL1644012,7.13,pKi
CCCCC1(CCC1)[C@H](O)\C=C\[C@H]2COC(=O)N2CCSc3nc(cs3)C(=O)O,CHEMBL3753221,7.14,pEC50
Cc1ccc(C(=O)O)c(C)c1NC(=O)c2cc(ccc2F)c3cccc(CO)c3,CHEMBL3753133,7.14,pIC50
Cl.C[C@H](NC(=O)[C@H]1CCCCN1CCOc2ccc(F)cc2)c3ccc(cc3)C(=O)O,CHEMBL3600884,7.14,pIC50
Cl.C[C@H](NC(=O)[C@H]1CCCCN1CCOc2ccccc2)c3ccc(cc3)C(=O)O,CHEMBL3115074,7.16,pIC50
