SMILES,ChEMBL,target,metric
CC(C)c1ccc2c(c1)c(C(=O)c3ccccc3C)c(CC(C)(C)C(=O)O)n2Cc4ccc(Cl)cc4,CHEMBL360114,6.05,pIC50
CC(C)c1ccc2c(c1)c(Oc3ccccc3)c(CC(C)(C)C(=O)O)n2Cc4ccc(Cl)cc4,CHEMBL182153,6.19,pIC50
Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c3ccc(cc13)c4ccccc4,CHEMBL181836,6.22,pIC50
Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c3ccc(cc13)C(C)(C)C,CHEMBL182092,6.48,pIC50
CC(C)c1ccc2c(c1)c(Cc3ccc(cc3)C(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc4ccc(Cl)cc4,CHEMBL360742,6.54,pIC50
CC(C)c1ccc2c(c1)c(C(=O)CSC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc3ccc(Cl)cc3,CHEMBL426054,6.59,pIC50
CC(C)c1ccc2c(c1)c(C(=O)CC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc3ccc(Cl)cc3,CHEMBL181236,6.6,pIC50
Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c3ccc(cc13)c4cccc(c4)c5ccccc5,CHEMBL180846,6.8,pIC50
Cc1cccc(c1)c2ccc(cc2F)c3ccc4c(c3)c(C)c(CC(C)(C)C(=O)O)n4Cc5ccc(Cl)cc5,CHEMBL183878,7.48,pIC50
Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c3ccc(cc13)c4ccc(c(F)c4)c5cnccn5,CHEMBL181792,7.5,pIC50
Cc1ccc(cc1)c2ccc(cc2F)c3ccc4c(c3)c(C)c(CC(C)(C)C(=O)O)n4Cc5ccc(Cl)cc5,CHEMBL183596,7.51,pIC50
Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c3ccc(cc13)c4ccc(c(Cl)c4)c5ccccc5,CHEMBL362675,7.66,pIC50
Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c3ccc(cc13)c4ccc(cc4)c5ccccc5,CHEMBL362242,7.8,pIC50
Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c3ccc(cc13)c4ccc(c(F)c4)c5cccnc5,CHEMBL181728,7.92,pIC50
Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c3ccc(cc13)c4ccc(c(F)c4)c5ccccc5F,CHEMBL362836,8.1,pIC50
Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c3ccc(cc13)c4ccc(c(F)c4)c5ccccc5,CHEMBL182032,8.16,pIC50
CC(=O)c1ccccc1c2ccc(cc2F)c3ccc4c(c3)c(C)c(CC(C)(C)C(=O)O)n4Cc5ccc(Cl)cc5,CHEMBL368241,8.22,pIC50
COc1ccccc1c2ccc(cc2F)c3ccc4c(c3)c(C)c(CC(C)(C)C(=O)O)n4Cc5ccc(Cl)cc5,CHEMBL369525,8.3,pIC50
Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c3ccc(cc13)c4ccc(c(F)c4)c5ccccc5Cl,CHEMBL180617,8.4,pIC50
Cc1ccccc1c2ccc(cc2F)c3ccc4c(c3)c(C)c(CC(C)(C)C(=O)O)n4Cc5ccc(Cl)cc5,CHEMBL180650,8.52,pIC50
