SMILES,ChEMBL,target,metric
CC(C)(C)C(=O)OCC1(CO)C\C(=C/CCCCCCCCCCCCCCC(=O)O)\C(=O)O1,CHEMBL597286,7.53,pKi
CC(C)C(CC(=O)OCC1(CO)CC(=C(C)C)C(=O)O1)C(C)C,CHEMBL295426,7.53,pKi
CCCC(CCC)C(=O)OCC1(CO)C\C(=C/c2cn(C)c3ccccc23)\C(=O)O1,CHEMBL519741,7.53,pKi
CCCCCCOC(=O)\C=C\[C@]1(CO)C\C(=C/CC(C(C)C)C(C)C)\C(=O)O1,CHEMBL368472,7.53,pKi
CC(C)C(CC(=O)OC[C@H](CO)OC(=O)CC(C(C)C)C(C)C)C(C)C,CHEMBL289230,7.54,pKi
CC(C)C(C\C=C\1/CC(CO)(COC(=O)c2ccccc2)OC1=O)C(C)C,CHEMBL210725,7.55,pKi
CC(C)CC(C\C=C/1\CCC(CO)(COC(=O)C(C)(C)C)OC1=O)CC(C)C,CHEMBL206605,7.55,pKi
CCCCCCCC\C=C/1\CC(CO)(COC(=O)c2ccc(cc2)c3ccccc3)OC1=O,CHEMBL112401,7.55,pKi
CCCCCCCC\C=C/CCCCCCC\C=C\1/CC(CO)(COC(=O)C)OC1=O,CHEMBL94718,7.55,pKi
CCCC\C=C/CCCCCCC\C=C\1/CC(CO)(COC(=O)C)OC1=O,CHEMBL97661,7.55,pKi
CCC\C=C\1/CC(CO)(COC(=O)CC(C(C)C)C(C)C)OC1=O,CHEMBL440555,7.55,pKi
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,7.55,pIC50
Br.NC(=N)SCCCn1cc(C2=C(Nc3ccccc3)C(=O)NC2=O)c4ccccc14,CHEMBL540357,7.57,pIC50
CCCCCC1CC1CC2CC2CCCCCCC\C=C\3/CC(CO)(COC(=O)C(C)(C)C)OC3=O,CHEMBL3393756,7.57,pKi
CCCCCC\C=C\1/CC(CO)(COC(=O)CCCc2ccccc2)OC1=O,CHEMBL210432,7.57,pKi
CCCCC\C=C\C\C=C\CCCCCCCC(=O)OCC1(CO)C\C(=C\CC(C)C)\C(=O)O1,CHEMBL3393654,7.58,pKi
