SMILES,ChEMBL,target,metric
CC(C)[C@@H]1N(C)c2ccc3c(nn4C=C(C[C@@H](CO)NC1=O)c2c34)C(F)(F)F,CHEMBL261387,7.53,pKi
NCCNc1nc(nc2cnccc12)c3ccncc3,CHEMBL2147535,7.57,pIC50
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OC3C4CCN(CC4)CC3NC(=O)c5ccc(O)cc5,CHEMBL306884,7.59,pIC50
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3C4CCN(CC4)C[C@H]3NC(=O)c5ccc(O)cc5,CHEMBL78129,7.59,pIC50
CCCCCCn1cc2CC[C@@H](CO)NC(=O)[C@H](C(C)C)N(C)c3cccc1c23,CHEMBL401369,7.6,pKi
CN1CCN(CC1)c2cc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6ccccc6c2,CHEMBL568580,7.6,pIC50
CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6cc(C)ccc6n2,CHEMBL2153752,7.6,pIC50
CCCCCCCC(=O)O[C@H]1\C(=C\C(=O)OC)\CC2C[C@@H](OC(=O)C[C@H](O)C[C@@H]3CCC[C@H](C[C@@H]4CCO[C@@H](O4)\C=C\C(C)(C)[C@]1(O)O2)O3)[C@@H](C)O,CHEMBL46252,7.63,pKi
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OC3CCCNC[C@H]3NC(=O)c4ccc(O)cc4,CHEMBL311399,7.66,pIC50
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CCCNC[C@@H]3NC(=O)c4ccc(O)cc4,CHEMBL307747,7.66,pIC50
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CCCNC[C@H]3NC(=O)c4ccc(O)cc4,CHEMBL60254,7.66,pIC50
CC(C)[C@@H]1N(C)c2cccc3[nH]cc(C[C@@H](CO)\N=C\1/S)c23,CHEMBL63262,7.69,pKi
