SMILES,ChEMBL,target,metric
CN=[S+](C)([O-])c1ccc(Nc2ncc(c(N[C@@H]3CCC[C@H]3N(C)C)n2)C(F)(F)F)cc1,CHEMBL2029180,7.54,pIC50
COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC,CHEMBL475251,7.54,pKd
CN(C)[C@@H]1CCC[C@H]1Nc2nc(Nc3ccc4c(CN(C)S4(=O)=O)c3)ncc2C(F)(F)F,CHEMBL487057,7.6,pIC50
Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3cc([nH]n3)c4ccc5nccn5c4)C(C)(C)C,CHEMBL2207439,7.6,pIC50
CC[S+](=NC)([O-])c1ccc(Nc2ncc(c(N[C@@H]3CCC[C@H]3N(C)C)n2)C(F)(F)F)cc1,CHEMBL2448536,7.62,pIC50
CC(C)N=[S+](C)([O-])c1ccc(Nc2ncc(c(N[C@@H]3CCC[C@H]3N(C)C)n2)C(F)(F)F)cc1,CHEMBL2029182,7.66,pIC50
CCN=[S+](C)([O-])c1ccc(Nc2ncc(c(N[C@@H]3CCC[C@H]3N(C)C)n2)C(F)(F)F)cc1,CHEMBL2029181,7.66,pIC50
FC(F)(F)c1cnc(Nc2ccc3NC(=O)Cc3c2)nc1NCc4ccccc4S(=O)(=O)N5CCCC5,CHEMBL529889,7.77,pIC50
CS(=O)(=O)c1ccccc1CNc2nc(Nc3ccc4NC(=O)Cc4c3)ncc2C(F)(F)F,CHEMBL488089,7.82,pIC50
CN(c1ncccc1CNc2nc(Nc3ccc4NC(=O)Cc4c3)ncc2C(F)(F)F)S(=O)(=O)C,CHEMBL1084546,7.85,pIC50
CN(c1ncccc1CNc2nc(Nc3ccc4NC(=O)Cc4c3)ncc2C(F)(F)F)S(=O)(=O)C.OS(=O)(=O)c5ccccc5,CHEMBL2430359,7.85,pIC50
COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3F)ccnc2cc1OCCCN6CCOCC6,CHEMBL1230609,7.85,pKd
C[C@H]1Oc2cc(cnc2N)c3c(CN(C)C(=O)c4ccc(F)cc14)nn(C)c3C#N,CHEMBL3286830,7.85,pIC50
Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3cc([nH]n3)c4ccc5nccnc5c4)C(C)(C)C,CHEMBL2207441,7.9,pIC50
C[C@@H](Oc1cc(cnc1N)c2sc(nc2C)[C@](C)(O)CO)c3cc(F)ccc3n4nccn4,CHEMBL3128069,7.92,pIC50
CN(c1ccccc1CNc2nc(Nc3ccc4NC(=O)Cc4c3)ncc2C(F)(F)F)S(=O)(=O)C,CHEMBL472212,7.96,pIC50
CN(c1cccc(Cl)c1)S(=O)(=O)c2ccc3NC(=O)\C(=C/c4[nH]c(C)c(C(=O)N5CCN(C)CC5)c4C)\c3c2,CHEMBL261641,7.98,pKi
CCS(=O)(=O)Nc1ccc2NC(=O)\C(=C(/Nc3ccc(CN4CCCCC4)cc3)\c5ccccc5)\c2c1,CHEMBL514409,8.0,pKd
Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3cc([nH]n3)c4ccc5ncccc5c4)C(C)(C)C,CHEMBL2207440,8.19,pIC50
CN(C)[C@@H]1CCC[C@H]1Nc2nc(Nc3ccc4C5CCC(N5C(=O)C)c4c3)ncc2C(F)(F)F,CHEMBL455680,8.22,pIC50
CN(c1ccccc1CNc2nc(Nc3ccc4C(=O)NCc4c3)ncc2C(F)(F)F)S(=O)(=O)C,CHEMBL487229,8.3,pIC50
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,8.46,pKd
CN(c1ccccc1CNc2nc(Nc3ccc4NS(=O)(=O)Cc4c3)ncc2C(F)(F)F)S(=O)(=O)C,CHEMBL452341,8.7,pIC50
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,CHEMBL509032,8.96,pKd
