SMILES,ChEMBL,target,metric
[H][C@@]12C[C@]3([H])C[C@@H](CC[C@@]3([H])[C@H](\C=C\C3=CC=C(C=N3)C3=CC(F)=CC=C3)[C@]1([H])[C@@H](C)OC2=O)NC(=O)OCC,vorapaxar,8.09151459,pKi
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(NC(=N)N)cc1)NC(=O)[C@H](Cc2ccc(F)cc2)N(C(=O)C)C(=O)\C=C\c3ccc(Cl)cc3)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N,CHEMBL3143267,7.0,pIC50
CC(C)c1ccc(Cn2ccc3c2ccc4nc(nc(N)c34)N(C)C)cc1,CHEMBL416862,7.0,pIC50
CC(C)c1ccc(Cn2ccc3c2ccc4nc(nc(N)c34)N5CCCCC5)cc1,CHEMBL291807,7.0,pIC50
CC1(C[C@@H]2CCCC[C@@H]2[C@H]1\C=C\c3ccc(cn3)c4cccc(F)c4)OC(=O)N,CHEMBL3091993,7.0,pIC50
CCCS(=O)(=O)N1CC[C@@H]2[C@H](C[C@@H]3[C@@H]([C@@H](C)OC3=O)[C@H]2\C=C\c4ccc(cn4)c5cccc(F)c5)C1,CHEMBL244503,7.0,pIC50
C[C@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@H]3[C@H](\C=C\c4ccc(cn4)c5cccc(c5)S(=O)(=O)N)[C@H]12,CHEMBL197523,7.0,pIC50
C[C@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@H]3[C@H](\C=C\c4ccc5cc(NC(=O)C)ccc5n4)[C@H]12,CHEMBL205683,7.0,pIC50
C[C@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@H]3[C@H](\C=C\c4ccc5ccccc5n4)[C@H]12,CHEMBL204009,7.0,pIC50
FC(F)Oc1cccc(N\C(=N\C#N)\N2CC(N3CNCC3=O)C(=N2)c4ccc(Cl)cc4)c1,CHEMBL3819515,7.0,pIC50
CC(C)(C)c1cc(cc(c1O)C(C)(C)C)C(=O)CN2C(=N)N(CCN3CCOCC3)c4ccccc24,CHEMBL95632,7.01,pIC50
CCC(CC)OC1=NN2C(=N)N(CC(=O)c3cc(OCCO)c(OC)c(c3)C(C)(C)C)N=C2C(=C1)C,CHEMBL3704463,7.01,pIC50
CCc1ccc(cc1)C2CC(CN(C2)C(=O)c3scnc3C)C(=O)Nc4ccccc4,CHEMBL3658404,7.01,pIC50
CN(C1C[C@@H]2CCCC[C@@H]2[C@H]1\C=C\c3ccc(cn3)c4cccc(F)c4)S(=O)(=O)C,CHEMBL3091980,7.01,pIC50
C[C@H]1OC(=O)[C@@H]2C[C@@H]3C[C@@H](CC[C@H]3[C@H](\C=C\c4ccc(cn4)c5cccc(c5)C(F)(F)F)[C@H]12)C(=O)NCCO,CHEMBL3109573,7.01,pKi
