SMILES,ChEMBL,target,metric
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCC(CC5)N6CCOCC6,alectinib,8.31875896,pIC50
COC1=CC2=C(C=C1C(N)=O)C(OC1=CC=C(NC(=O)NC3CC3)C(Cl)=C1)=CC=N2,lenvatinib,8.82,pKi
COC1=CC2=NC=CC(OC3=CC=C(NC(=O)C4(CC4)C(=O)NC4=CC=C(F)C=C4)C=C3)=C2C=C1OC,cabozantinib,8.28399658,pIC50
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C,sunitinib,8.80000019,pIC50
CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1,sorafenib,8.13,pKd
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC4CCN(C)CC4,vandetanib,7.85,pKd
COc1cc2c(Nc3c(C)c(O)ccc3F)ncnc2cc1OCCCN4CCN(C)CC4,CHEMBL3800348,7.54,pIC50
COc1cc2ncnc(Nc3cc(C)cc(O)c3)c2cc1OC,CHEMBL3775086,7.54,pIC50
CN1CCN(CC1)c2cc(Nc3cc(C)[nH]n3)nc(Sc4ccc(NC(=O)C5CC5)cc4)n2,CHEMBL572878,7.55,pKd
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,7.55,pKd
CN1CCN(CC1)c2ccc3nc([nH]c3c2)C4=C(N)c5c(F)cccc5NC4=O,CHEMBL522892,7.57,pKd
CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)c9ccccc9,CHEMBL608533,7.57,pKd
Cn1nc(c2cc(on2)C3CC3)c4c(N)ncnc14,CHEMBL3752118,7.57,pIC50
CN1CCN(CC2=CC=C(NC(=O)C3=CC=C(C)C(=C3)C#CC3=CN=C4C=CC=NN34)C=C2C(F)(F)F)CC1,ponatinib,7.59,pIC50
C[C@@H](Cc1c(F)c(F)cc(F)c1F)NC2=C(C(=O)NC=C2)c3nc4cc5C(=O)N(CCN(C)C)C(=O)c5cc4[nH]3,CHEMBL3671310,7.59,pIC50
CC(=O)Nc1ccc2NC(=O)\C(=C/c3cc4CN(CCc4[nH]3)C(=O)N5CCOCC5)\c2c1,CHEMBL2403374,7.6,pIC50
COc1ccc2NC(=O)\C(=C/c3cc4CN(CCc4[nH]3)C(=O)N5CCOCC5)\c2c1,CHEMBL2403370,7.6,pIC50
Cc1ccc(O)cc1Nc2ccnc3cc(ccc23)c4csc(C=O)n4,CHEMBL237127,7.6,pIC50
