SMILES,ChEMBL,target,metric
NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1,pemetrexed,7.03,pKi
CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,methotrexate,6.92000008,pIC50
CN(CC1=CC2=C(C=C1)N=C(C)NC2=O)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,raltitrexed,7.0,pIC50
NC1=Nc2[nH]c(CCCCc3cc(cs3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL2158682,6.38,pKi
NC1=Nc2[nH]c(CCCCc3csc(c3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL2158681,6.41,pKi
NC1=Nc2[nH]c(CCCc3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL1834488,6.48,pKi
NC1=Nc2[nH]cc(CCCc3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c2C(=O)N1,CHEMBL3409334,6.51,pIC50
NC1=Nc2[nH]c(CCCCc3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL590740,6.64,pKi
NC1=Nc2[nH]cc(CCCCc3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c2C(=O)N1,CHEMBL3409335,6.85,pIC50
CN(Cc1ccc2NC(=NC(=O)c2c1)C)c3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL225071,7.0,pIC50
NC1=Nc2[nH]c(CCCCCc3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL605580,7.0,pKi
NC1=Nc2[nH]cc(CCc3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c2C(=O)N1,CHEMBL3407519,7.1,pIC50
NC1=Nc2[nH]cc(CCCCCc3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c2C(=O)N1,CHEMBL3409336,7.24,pIC50
NC1=Nc2[nH]c(CCCc3cc(cs3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL3628346,8.19,pIC50
NC1=Nc2[nH]c(CCCc3csc(c3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1,CHEMBL3628344,8.27,pIC50
