SMILES,ChEMBL,target,metric
COc1ccc(cc1)C(=O)OCC2(CO)C\C(=C\c3cnc4ccccc4c3)\C(=O)O2,CHEMBL528323,6.04,pKi
CCCC(CCC)C(=O)OCC1(CO)C\C(=C\c2cccnc2)\C(=O)O1,CHEMBL511847,6.17,pKi
CN(C)c1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3cnc4ccccc4c3)\C(=O)O2,CHEMBL472183,6.86,pKi
CCCC(CCC)C(=O)OCC1(CO)C\C(=C\c2ccccn2)\C(=O)O1,CHEMBL512538,7.08,pKi
COc1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3cccnc3)\C(=O)O2,CHEMBL471316,7.09,pKi
CN(C)c1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3cccnc3)\C(=O)O2,CHEMBL487484,7.23,pKi
CN(C)c1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3ccncc3)\C(=O)O2,CHEMBL488670,7.27,pKi
COc1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3ccncc3)\C(=O)O2,CHEMBL487822,7.27,pKi
CCCC(CCC)C(=O)OCC1(CO)C\C(=C\c2ccncc2)\C(=O)O1,CHEMBL443643,7.36,pKi
CC(=CCC\C(=C\C=C\C(=C)[C@@H]1CC[C@@]2([C@@H]1O)[C@H](CCCO)\C(=C(\C)/C=O)\CC[C@]2(C)O)\COC(=O)C)C,CHEMBL123519,7.38,pKi
COc1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3ccccn3)\C(=O)O2,CHEMBL470094,7.45,pKi
CCCC(CCC)C(=O)OCC1(CO)C\C(=C\c2cnc3ccccc3c2)\C(=O)O1,CHEMBL488707,7.49,pKi
CN(C)c1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3ccccn3)\C(=O)O2,CHEMBL487483,7.62,pKi
COc1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3cnc4ccccc4c3)\C(=O)O2,CHEMBL488509,7.76,pKi
CN(C)c1cccc(c1)C(=O)OCC2(CO)C\C(=C/c3ccccc3[N+](=O)[O-])\C(=O)O2,CHEMBL513069,7.79,pKi
C[C@H]1CC=C(C)[C@@H](\C=C\C(=C/CC[C@@]2(CO)[C@H](CCCO)\C(=C(\C)/C=O)\CC[C@]2(C)O)\C)C1(C)C,CHEMBL339911,7.81,pKi
CN(C)c1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3ccccc3[N+](=O)[O-])\C(=O)O2,CHEMBL472174,7.84,pKi
CCCC(CCC)C(=O)OCC1(CO)C\C(=C/c2ccncc2)\C(=O)O1,CHEMBL472523,7.86,pKi
CN(C)c1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3ccc4ccccc4n3)\C(=O)O2,CHEMBL511472,7.96,pKi
CN(C)c1ccccc1C(=O)OCC2(CO)C\C(=C/c3ccccc3[N+](=O)[O-])\C(=O)O2,CHEMBL471317,8.03,pKi
COc1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3ccc4ccccc4n3)\C(=O)O2,CHEMBL487473,8.09,pKi
CN(C)c1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3cccc(c3)[N+](=O)[O-])\C(=O)O2,CHEMBL472171,8.1,pKi
COc1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3ccc(cc3)[N+](=O)[O-])\C(=O)O2,CHEMBL488668,8.17,pKi
CN(C)c1cccc(c1)C(=O)OCC2(CO)C\C(=C/c3cccc(c3)[N+](=O)[O-])\C(=O)O2,CHEMBL472001,8.28,pKi
CN(C)c1ccc(\C=C\2/CC(CO)(COC(=O)c3ccc(cc3)N(C)C)OC2=O)cc1,CHEMBL452307,8.33,pKi
CCCC(CCC)C(=O)OCC1(CO)C\C(=C\c2ccc3ccccc3n2)\C(=O)O1,CHEMBL488871,8.34,pKi
CN(C)c1ccccc1C(=O)OCC2(CO)C\C(=C/c3cccc(c3)[N+](=O)[O-])\C(=O)O2,CHEMBL472002,8.41,pKi
CN(C)c1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3ccc(cc3)[N+](=O)[O-])\C(=O)O2,CHEMBL488675,8.42,pKi
CN(C)c1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3cn(C)c4ccccc34)\C(=O)O2,CHEMBL472521,8.43,pKi
COc1ccc(cc1)C(=O)OCC2(CO)C\C(=C/c3cn(C)c4ccccc34)\C(=O)O2,CHEMBL488674,8.48,pKi
CN(C)c1cccc(c1)C(=O)OCC2(CO)C\C(=C/c3ccc(cc3)[N+](=O)[O-])\C(=O)O2,CHEMBL471153,8.64,pKi
OCC1(COC(=O)c2ccc(cc2)[N+](=O)[O-])C\C(=C/c3ccc(cc3)[N+](=O)[O-])\C(=O)O1,CHEMBL519398,8.65,pKi
CN(C)c1ccccc1C(=O)OCC2(CO)C\C(=C/c3ccc(cc3)[N+](=O)[O-])\C(=O)O2,CHEMBL511820,8.75,pKi
CCCC(CCC)C(=O)OCC1(CO)C\C(=C/c2ccc3ccccc3n2)\C(=O)O1,CHEMBL529000,8.77,pKi
