SMILES,ChEMBL,target,metric
COc1ccccc1c2ccc3c(c2)C(=O)C(=O)c4ccccc34,CHEMBL51039,6.0,pIC50
Cc1ccc(cc1)S(=O)(=O)Nc2ccc3c4ccccc4C(=O)C(=O)c3c2,CHEMBL54154,6.0,pIC50
NC(=N)NCCC[C@H](NC(=O)CNC(=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)O,CHEMBL2372875,6.0,pIC50
NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)c2ccc3c(c2)C(=O)C(=O)c4ccccc34)C(=O)NCC(=O)O,CHEMBL2372870,6.0,pIC50
NC(=O)CC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)N)NC(=O)CNC(=O)c2ccc3c(c2)C(=O)C(=O)c4ccccc34)C(=O)NCC(=O)O,CHEMBL2372880,6.0,pIC50
O=C1C(=O)c2cc(ccc2c3ccccc13)c4ccc5OCOc5c4,CHEMBL51948,6.0,pIC50
O=C1C(=O)c2cccnc2c3ccccc13,CHEMBL50627,6.0,pIC50
OC(=O)c1ccc2C(=O)C(=O)c3ccccc3c2c1,CHEMBL417021,6.0,pIC50
OC(=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23,CHEMBL301179,6.0,pIC50
NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)CNC(=O)c2ccc3c(c2)C(=O)C(=O)c4ccccc34)C(=O)NCC(=O)O,CHEMBL2372848,6.05,pIC50
NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c2ccc3c(c2)C(=O)C(=O)c4ccccc34)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL3144419,6.05,pIC50
NC(=N)NCCC[C@H](NC(=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23)C(=O)NCC(=O)N4CCC[C@H]4C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)O,CHEMBL2372893,6.05,pIC50
NC(=O)CC[C@H](NC(=O)CNC(=O)c1ccc2C(=O)C(=O)c3ccccc3c2c1)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N4CCC[C@H]4C(=O)O,CHEMBL2372883,6.05,pIC50
NC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)N)NC(=O)c1ccc2C(=O)C(=O)c3ccccc3c2c1)C(=O)NCC(=O)N[C@@H](CCC(=O)N)C(=O)N4CCC[C@H]4C(=O)O,CHEMBL2372866,6.05,pIC50
NC(=O)CC[C@H](NC(=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23)C(=O)N[C@@H](CCC(=O)N)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)O,CHEMBL2372881,6.05,pIC50
OC(=O)c1cc2c(C#Cc3ccc(Oc4ccccc4)cc3)c(oc2cc1O)c5ccccc5,CHEMBL2316908,6.05,pIC50
COc1ccc2nc(NC(=O)CCCn3cc(nn3)c4c(oc5cc(O)c(cc45)C(=O)O)c6cccc(C)c6)sc2c1,CHEMBL1650893,6.06,pIC50
O=C1C=C(c2ccccc2)c3ccccc3C1=O,CHEMBL51447,6.08,pIC50
CCCC(=O)Nc1ccc2C(=O)C(=O)c3ccccc3c2c1,CHEMBL50846,6.1,pIC50
COC(=O)CCCC(=O)Nc1ccc2C(=O)C(=O)c3ccccc3c2c1,CHEMBL50161,6.1,pIC50
Fc1ccccc1c2ccc3c(c2)C(=O)C(=O)c4ccccc34,CHEMBL300664,6.1,pIC50
NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)c2ccc3c(c2)C(=O)C(=O)c4ccccc34)C(=O)NCC(=O)O,CHEMBL2372872,6.1,pIC50
NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)c2ccc3c(c2)C(=O)C(=O)c4ccccc34)C(=O)NCC(=O)O,CHEMBL2372868,6.1,pIC50
Nc1cccc2C(=O)C(=O)c3ccccc3c12,CHEMBL49236,6.1,pIC50
O=C1C(=O)c2cc(ccc2c3ccccc13)c4ccsc4,CHEMBL51583,6.1,pIC50
OC(=O)CNC(=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23,CHEMBL300241,6.1,pIC50
CCCC(=O)Nc1ccc2c3ccccc3C(=O)C(=O)c2c1,CHEMBL51257,6.16,pIC50
COC(=O)CCCCCCC(=O)Nc1ccc2C(=O)C(=O)c3ccccc3c2c1,CHEMBL298384,6.16,pIC50
NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)c2ccc3c(c2)C(=O)C(=O)c4ccccc34)C(=O)NCC(=O)O,CHEMBL2372874,6.16,pIC50
NC(=N)NCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)O,CHEMBL2372854,6.16,pIC50
NC(=O)CC[C@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)c1ccc2C(=O)C(=O)c3ccccc3c2c1)C(=O)N4CCC[C@H]4C(=O)O,CHEMBL2372864,6.16,pIC50
NC(=O)CC[C@H](NC(=O)CNC(=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)O,CHEMBL2372858,6.16,pIC50
NC(=O)CC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)c2ccc3C(=O)C(=O)c4ccccc4c3c2)C(=O)N5CCC[C@H]5C(=O)O,CHEMBL2372889,6.16,pIC50
