SMILES,ChEMBL,target,metric
CCCCCNC(=O)C(Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c(CC)c1)NC(=O)C,CHEMBL55799,6.05,pKi
COC(=O)C(Cc1ccccc1)(Cc2ccc(NS(=O)(=O)O)cc2)C(=O)OC,CHEMBL379000,6.05,pIC50
CCc1cc(CC(NC(=O)C)C(=O)NCCCCOc2ccccc2C(=O)OC)ccc1N(C(=O)C(=O)O)c3ccccc3C(=O)O,CHEMBL116744,6.07,pKi
CCc1cc(CC(NC(=O)C)C(=O)NCCCCOc2ccc(c(O)c2C(=O)OC)c3ccccc3)ccc1N(C(=O)C(=O)O)c4ccccc4C(=O)O,CHEMBL326829,6.08,pKi
CCc1cc(CC(NC(=O)C)C(=O)NCCCCOc2cccc(O)c2C(=O)NC)ccc1N(C(=O)C(=O)O)c3ccccc3C(=O)O,CHEMBL116901,6.08,pKi
COC(=O)c1c(O)cccc1OCCCCNC(=O)[C@H](Cc2ccc(cc2)N(C(=O)C(=O)O)c3ccccc3C(=O)O)NC(=O)OCC=C,CHEMBL325029,6.33,pKi
CCc1cc(CC(NC(=O)C)C(=O)NCCCCC(=O)N[C@@H](CCSC)C(=O)O)ccc1N(C(=O)C(=O)O)c2ccccc2C(=O)O,CHEMBL55243,6.42,pKi
CCc1cc(CC(NC(=O)C)C(=O)NCCCCOc2cc(Cl)cc(O)c2C(=O)OC)ccc1N(C(=O)C(=O)O)c3ccccc3C(=O)O,CHEMBL117496,6.64,pKi
CCCCCNC(=O)C(Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c(\C=C\C(=O)N)c1)NS(=O)(=O)C,CHEMBL68125,6.8,pKi
CCc1cc(CC(NC(=O)C)C(=O)NCCCCOc2cccc(O)c2[N+](=O)[O-])ccc1N(C(=O)C(=O)O)c3ccccc3C(=O)O,CHEMBL116692,6.92,pKi
CCc1cc(CC(NC(=O)C)C(=O)NCCCCOc2cccc(O)c2C(=O)O)ccc1N(C(=O)C(=O)O)c3ccccc3C(=O)O,CHEMBL117699,7.14,pKi
CCc1cc(CC(NC(=O)C)C(=O)NCCCCOc2cccc(O)c2C(=O)OC)ccc1N(C(=O)C(=O)O)c3ccccc3C(=O)O,CHEMBL116605,7.19,pKi
NC(=O)[C@H](Cc1ccc(cc1)C(F)(F)P(=O)(O)O)NC(=O)[C@H](CC(=O)O)NC(=O)Cc2ccc(cc2)C(F)(F)P(=O)(O)O,CHEMBL326115,7.62,pKi
