SMILES,ChEMBL,target,metric
N.COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,CHEMBL209492,6.0,pIC50
OC(=O)COc1c(Br)cc(cc1Br)c2c3ccccc3c(Br)c4sc5ccccc5c24,CHEMBL108721,6.22,pIC50
N.COC(=O)C(Cc1ccncc1)(Cc2ccc(NS(=O)(=O)O)cc2)C(=O)OC,CHEMBL213594,6.24,pIC50
OC(=O)[C@@H](Cc1ccccc1)Oc2c(Br)cc(cc2Br)c3c4ccccc4c(Br)c5oc6ccccc6c35,CHEMBL324232,6.3,pIC50
CCCNC(=O)COc1ccc(cc1)c2oc3cc(O)c(cc3c2C#Cc4cccc(Cl)c4)C(=O)O,CHEMBL2396718,6.33,pIC50
N.CCOC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(NC(=O)OC(C)(C)C)C(=O)OC,CHEMBL210180,6.35,pIC50
N.COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc2ccc(cc2)S(=O)(=O)N)C(=O)OC,CHEMBL378337,6.37,pIC50
N.COC(=O)C(CCCS(=O)(=O)C)(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,CHEMBL214241,6.38,pIC50
N.COC(=O)c1ccc(CC(Cc2ccc(NS(=O)(=O)O)cc2)(C(=O)OC)C(=O)OC)cc1,CHEMBL386657,6.39,pIC50
N.CCOC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(NC(=O)OCc2ccccc2)C(=O)OC,CHEMBL213452,6.4,pIC50
OC(=O)c1ccc(CN2C(=O)S\C(=C/c3ccc(OCc4ccccc4)cc3)\C2=O)cc1,CHEMBL235595,6.4,pIC50
N.COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc2ccc(OC)cc2)C(=O)OC,CHEMBL213727,6.41,pIC50
N.COC(=O)CCCC(Cc1ccc(NS(=O)(=O)O)cc1)(C(=O)OC)C(=O)OC,CHEMBL213826,6.42,pIC50
N.COc1ccc(CC(Cc2ccc(NS(=O)(=O)O)cc2)(c3onc(C)n3)c4onc(C)n4)cc1,CHEMBL209955,6.47,pIC50
N.COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc2cccc(OC)c2)C(=O)OC,CHEMBL213728,6.48,pIC50
COC(=O)C(Cc1ccccc1)(Cc2ccc(NS(=O)(=O)O)cc2)C(=O)OC,CHEMBL379000,6.5,pIC50
N.COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc2cccc(c2)S(=O)(=O)N)C(=O)OC,CHEMBL209957,6.52,pIC50
N.COC(=O)c1cccc(CC(Cc2ccc(NS(=O)(=O)O)cc2)(C(=O)OC)C(=O)OC)c1,CHEMBL380374,6.54,pIC50
N.COC(=O)C(COCc1ccccc1)(Cc2ccc(NS(=O)(=O)O)cc2)C(=O)OC,CHEMBL385818,6.57,pIC50
N.CCOC(=O)CC(Cc1ccc(NS(=O)(=O)O)cc1)(C(=O)OC)C(=O)OC,CHEMBL378423,6.64,pIC50
N.COc1cccc(CC(Cc2ccc(NS(=O)(=O)O)cc2)(c3onc(C)n3)c4onc(C)n4)c1,CHEMBL213226,6.64,pIC50
OC(=O)c1cc(on1)c2ccc(cc2C3CCCCC3)c4ccc(F)cc4C(F)(F)F,CHEMBL519637,6.66,pKi
N.Cc1noc(n1)C(Cc2ccc(NS(=O)(=O)O)cc2)(Cc3cccc(c3)C#N)c4onc(C)n4,CHEMBL384201,6.68,pIC50
N.COC(=O)C(CCCSc1nnnn1c2ccccc2)(Cc3ccc(NS(=O)(=O)O)cc3)C(=O)OC,CHEMBL213626,6.7,pIC50
N.COC(=O)C(CCCS(=O)(=O)c1ccccc1)(Cc2ccc(NS(=O)(=O)O)cc2)C(=O)OC,CHEMBL211786,6.82,pIC50
N.COC(=O)C(CCCc1ccccc1)(Cc2ccc(NS(=O)(=O)O)cc2)C(=O)OC,CHEMBL385251,6.82,pIC50
N.COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc2ccc(cc2)C(=O)O)C(=O)OC,CHEMBL209527,6.85,pIC50
Oc1c2Sc3cc(CP(=O)(O)O)cc(Sc4cc(CP(=O)(O)O)cc(Sc5cc(CP(=O)(O)O)cc(Sc1cc(CP(=O)(O)O)c2)c5O)c4O)c3O,CHEMBL611318,6.89,pIC50
N.COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc2cccc(NS(=O)(=O)O)c2)C(=O)OC,CHEMBL213802,7.0,pIC50
N.CCOC(=O)C(CCNC(=O)OC(C)(C)C)(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,CHEMBL213620,7.05,pIC50
N.COC(=O)C(CCCS(=O)(=O)c1nnnn1c2ccccc2)(Cc3ccc(NS(=O)(=O)O)cc3)C(=O)OC,CHEMBL214192,7.1,pIC50
N.Cc1noc(n1)C(Cc2ccc(NS(=O)(=O)O)cc2)(Cc3ccc(NS(=O)(=O)O)cc3)c4onc(C)n4,CHEMBL213732,7.1,pIC50
N.Cc1noc(n1)C(CCCc2ccccc2)(Cc3ccc(NS(=O)(=O)O)cc3)c4onc(C)n4,CHEMBL386550,7.16,pIC50
N.COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc2ccc(NS(=O)(=O)O)cc2)C(=O)OC,CHEMBL213750,7.22,pIC50
CCc1csc(n1)[C@H](Cc2ccc(NS(=O)(=O)O)cc2)NC(=O)[C@H](CC(C)C)C(=O)OC,CHEMBL590155,9.52,pIC50
