SMILES,ChEMBL,target,metric
COc1ccc(cc1OC)C(=O)CSC#N,CHEMBL1527610,6.0,pIC50
CC(C)CCn1c(CN2CCC(C)CC2)nc3N(C)C(=O)N(C)C(=O)c13,CHEMBL3416555,6.04,pIC50
Cc1cc(Br)c2NC(=O)C(=O)c2c1,CHEMBL3128208,6.05,pKi
CC(C)CCn1c(CN2CCN(CC2)C(=O)c3occc3)nc4N(C)C(=O)N(C)C(=O)c14,CHEMBL1469703,6.1,pKi
Cc1cc(c(C)n1c2ccc(Cl)c(Cl)c2)c3nnc4CCCCCn34,CHEMBL3102994,6.22,pIC50
Brc1ccc2N(Cc3ccccc3)C(=O)C(=O)c2c1,CHEMBL3128210,6.24,pIC50
Clc1ccc2N(C\C=C\c3ccccc3)C(=O)C(=O)c2c1,CHEMBL3128203,6.24,pIC50
CCN(CC)c1ccc(C=O)cc1,CHEMBL3416563,6.28,pIC50
CN1C(=O)N(C)c2nc(CN3CCC(CC3)C(=O)N)n(CCCc4ccccc4)c2C1=O,CHEMBL1382328,6.62,pKi
CN1C(=O)N(C)c2nc(CN3CCN(CC3)C(=O)c4occc4)n(Cc5cccc(C)c5)c2C1=O,CHEMBL3416557,6.62,pIC50
CCOC(=O)CSC1=Nc2c(sc3ccccc23)C(=O)N1CCCN4CCCC4,CHEMBL3416562,6.64,pKi
CC(C)CCn1c(CN2CCC(CC2)C(=O)N)nc3N(C)C(=O)N(C)C(=O)c13,CHEMBL3416554,6.68,pIC50
Clc1ccc2N(CCc3ccccc3)C(=O)C(=O)c2c1,CHEMBL3128206,7.05,pIC50
O=C1N(CCc2ccccc2)c3ccccc3C1=O,CHEMBL3128205,7.16,pIC50
O=C1N(C\C=C\c2ccccc2)c3ccccc3C1=O,CHEMBL1453099,7.16,pIC50
Clc1ccc2N(Cc3ccccc3)C(=O)C(=O)c2c1,CHEMBL336693,7.22,pIC50
O=C1N(CCCc2ccccc2)c3ccccc3C1=O,CHEMBL1328547,7.3,pIC50
CCCCCN1C(=O)C(=O)c2ccccc12,CHEMBL3128209,7.4,pIC50
O=C1N(Cc2ccccc2)c3ccccc3C1=O,CHEMBL115581,7.7,pIC50
