SMILES,ChEMBL,target,metric
OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO,dipyridamole,6.9,pKi
OC(=O)CC(COc1ccc(cc1)c2nc3ccccc3n2Cc4ccccc4)n5c(nc6ccccc56)c7ccccc7,CHEMBL3286887,6.06,pKd
O=C(NCC(C1CCNCC1)n2c(nc3ccccc23)c4ccccc4)C5CCN(CC5)c6nc7ccccc7n6Cc8ccsc8,CHEMBL3286907,6.14,pKd
CC(C)c1c(cc(c2ccccc2)n1CCCn3ccnc3C)c4nc5ccccc5n4Cc6ccccc6,CHEMBL3286928,6.16,pKd
Cc1ccccc1Cn2c(nc3ccccc23)c4ccc(OCC(C5CCNCC5)n6c(nc7ccccc67)c8ccccc8)cc4,CHEMBL3286896,6.32,pKd
CC(C)c1c(cc(c2ccccc2)n1CCCn3ccnc3C)c4nc5ccccc5n4CC6CCCC6,CHEMBL3286927,6.46,pKd
O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12)NCCCOCCOCCOCCCNC(=O)CC(COc3ccc(cc3)c4nc5ccccc5n4Cc6ccccc6)n7c(nc8ccccc78)c9ccccc9,CHEMBL3286888,6.48,pKd
CC(C)c1c(cc(c2ccccc2)n1CCCn3ccnc3C)c4nc5ccccc5n4CC6CC6,CHEMBL3286926,6.6,pKd
Fc1ccc(Cn2c(nc3ccccc23)c4ccc(OCC(C5CCNCC5)n6c(nc7ccccc67)c8ccccc8)cc4)cc1,CHEMBL3286894,6.6,pKd
C(Oc1ccc(cc1)c2nc3ccccc3n2Cc4cccnc4)C(C5CCNCC5)n6c(nc7ccccc67)c8ccccc8,CHEMBL3286893,6.64,pKd
C(Oc1ccc(cc1)c2nc3ccccc3n2Cc4ccccc4)C(C5CCCNC5)n6c(nc7ccccc67)c8ccccc8,CHEMBL3286890,6.68,pKd
Cc1cccc(Cn2c(nc3ccccc23)c4ccc(OCC(C5CCNCC5)n6c(nc7ccccc67)c8ccccc8)cc4)c1,CHEMBL3286895,6.72,pKd
C(Oc1ccc(cc1)c2nc3ccccc3n2Cc4ccccc4)C(CC5CCNCC5)n6c(nc7ccccc67)c8ccccc8,CHEMBL3286891,6.79,pKd
Fc1cccc(Cl)c1Cn2c(nc3ccccc23)N4CCC(CC4)C(=O)OCC(C5CCCCC5)n6c(nc7ccccc67)c8ccccc8,CHEMBL3286901,6.94,pKd
C=CC(=O)N1CCC(CC1)[C@@H](COc2ccc(cc2)c3nc4ccccc4n3Cc5ccccc5)n6c(nc7ccccc67)c8ccccc8,CHEMBL3286921,6.97,pKd
C(Oc1ccc(cc1)c2nc3ccccc3n2Cc4ccccc4)C(C5CCNCC5)n6c(nc7ccccc67)c8ccccc8,CHEMBL3286892,7.06,pKd
C=CC(=O)Oc1ccc(cc1)c2nc3ccccc3n2Cc4ccccc4,CHEMBL3286919,7.09,pKd
Fc1cccc(Cl)c1Cn2c(nc3ccccc23)N4CCC(CC4)C(=O)OCC(C5CCNCC5)n6c(nc7ccccc67)c8ccccc8,CHEMBL3286900,7.11,pKd
C=CCC(COc1ccc(cc1)c2nc3ccccc3n2Cc4ccccc4)n5c(nc6ccccc56)c7ccccc7,CHEMBL3286884,7.41,pKd
