SMILES,ChEMBL,target,metric
C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O,alitretinoin,6.5,pEC50
CC1=C(C=C2C(=C1)C(C)(C)CCC2(C)C)C(=C)C1=CC=C(C=C1)C(O)=O,bexarotene,7.85,pKd
CC(C)c1cc(C(C)C)c(OCC(F)F)c(c1)c2cccc3cc(oc23)\C(=C(/F)\C(=O)O)\C,CHEMBL41422,7.0,pKi
CCCOc1cc2c(cc1C3CCCc4oc(\C=C\C(=O)O)cc34)C(C)(C)CCC2(C)C,CHEMBL64771,7.0,pKi
C\C(=C\C=C\C(=C\C(=O)O)\C)\C=C\1/CCCc2cc(C)ccc12,CHEMBL3289658,7.0,pEC50
Cc1cc2c(cc1C3=NOC(C3)c4ccc(cc4)C(=O)O)C(C)(C)CCC2(C)C,CHEMBL25337,7.0,pAC50
CCN1C(=O)C2=C(CCC2)c3cc(ccc13)c4cc(\C=C\C(=O)O)ccc4OC(F)(F)F,CHEMBL247012,7.02,pEC50
COc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)O)C(C)(C)CCC2(C)C,CHEMBL101212,7.02,pKd
C\C(=C/C(=O)O)\C=C\C1(CCCC1)c2ccc3c(c2)C(C)(C)CCC3(C)C,CHEMBL93848,7.04,pKi
CC1(C)CCC(C)(C)c2cc(ccc12)C3CCCc4oc(\C=C\C(=O)O)cc34,CHEMBL62880,7.05,pKi
CC(=C(c1ccc(cc1)C(=O)O)c2ccc3c(c2)C(C)(C)CCC3(C)C)C,CHEMBL24966,7.07,pEC50
CCCOc1c(cc(cc1C(F)(F)C(F)(F)F)C(C)C)\C(=C/C=C/C(=C/C(=O)O)/C)\C,CHEMBL131122,7.07,pKi
Cc1cc2c(cc1n3ccc4cc(ccc34)C(=O)O)C(C)(C)CCC2(C)C,CHEMBL2332890,7.08,pEC50
Cc1cc2c(cc1Cc3ccc(C(=O)O)c(c3)[N+](=O)[O-])C(C)(C)CCC2(C)C,CHEMBL583410,7.09,pKi
CC(C)CCC1=C(CCC/C/1=C\C(=C/C=C/C(=C/C(=O)O)/C)\C)c2ccccc2,CHEMBL3622725,7.1,pEC50
CN1CC(c2ccc3c(c2)C(C)(C)CCC3(C)C)c4cc(oc4C1)\C=C\C(=O)O,CHEMBL2113736,7.1,pKi
