SMILES,ChEMBL,target,metric
C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,retinol,6.74,pKd
CC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,retinol acetate,6.73999977,pKd
CCCCCCCCCCCCCCCC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,vitamin A palmitate,6.74,pKd
FC(F)(F)c1cccc(c1)C(=O)N2CCC(CC2)c3ccccc3C(F)(F)F,CHEMBL3288333,6.04,pIC50
COc1ccc(Cl)cc1NC(=O)N2CCN(CC2)c3ccccc3Cl,CHEMBL3288141,6.05,pIC50
COC(=O)c1cccc(c1)C(=O)N2CCC(CC2)c3ccccc3C(F)(F)F,CHEMBL3288334,6.08,pIC50
COc1ccc(Cl)cc1C(=O)N2CCN(C(C)C2)c3ncnc4sc5CCCc5c34,CHEMBL3288150,6.08,pIC50
Cn1cncc1C(=O)N2CCC(CC2)c3ccccc3C(F)(F)F,CHEMBL3288338,6.08,pIC50
Cc1cc(nc(n1)N2C[C@H]3C[C@H](C[C@H]3C2)c4cnccc4C(F)(F)F)C(=O)O,CHEMBL3593540,6.09,pIC50
CCCCCS(=O)(=O)NC(=O)C(=O)N1CCC(COc2ccccc2C(C)(C)C)CC1,CHEMBL3642673,6.1,pIC50
Cc1cc(nc(n1)N2C[C@H]3C[C@H](C[C@H]3C2)c4cccnc4C(F)(F)F)C(=O)O,CHEMBL3593693,6.14,pIC50
COc1ccc(Cl)cc1NC(=O)N2CCCN(CC2)c3ncccc3C(F)(F)F,CHEMBL3288330,6.17,pIC50
COc1ccc(Cl)cc1NC(=O)N2CCN(CC2)c3ncnc4sc5CCCc5c34,CHEMBL3288143,6.22,pIC50
FC(F)(F)c1cccc(CN2CCN(CC2)c3ncnc4sc5CCCc5c34)c1,CHEMBL3288146,6.22,pIC50
Cc1ccc(nc1C(=O)O)N2C[C@H]3C[C@H](C[C@H]3C2)c4ccccc4C(F)(F)F,CHEMBL3593528,6.23,pIC50
Cc1cnc(nc1C(=O)O)N2C[C@H]3C[C@H](C[C@H]3C2)c4ccccc4C(F)(F)F,CHEMBL3594238,6.23,pIC50
CC(C)(C)c1ccccc1N2CCN(CC2)C(=O)NCC(=O)O,CHEMBL3644467,6.27,pIC50
Cc1cc(nc(n1)N2C[C@H]3C[C@H](C[C@H]3C2)c4cc(F)ccc4Cl)C(=O)O,CHEMBL3593538,6.27,pIC50
Cc1nc(ncc1C(=O)O)N2C[C@H]3C[C@H](C[C@H]3C2)c4ccccc4C(F)(F)F,CHEMBL3594239,6.28,pIC50
Cc1cc(nc(n1)N2CCN(CC2)c3ccccc3C(F)(F)F)C(=O)O,CHEMBL3594228,6.29,pIC50
Cc1cc(nc(n1)N2C[C@H]3C[C@H](C[C@H]3C2)c4cccc(F)c4Cl)C(=O)O,CHEMBL3593539,6.3,pIC50
Cc1sc(nc1C(=O)O)N2C[C@H]3C[C@H](C[C@H]3C2)c4ccccc4C(F)(F)F,CHEMBL3593535,6.31,pIC50
CC(C)(C)c1ccccc1N2CCN(CC2)C(=O)c3ccc(cc3)C(=O)O,CHEMBL3644470,6.32,pIC50
COc1ccc(Cl)cc1NC(=O)N2CCN(CC2C)c3ncccc3C(F)(F)F,CHEMBL3288149,6.35,pIC50
Clc1ccccc1N2CCN(CC2)C(=O)c3cn(Cc4ccccc4)cn3,CHEMBL3288135,6.36,pIC50
OC(=O)c1cnnc(c1)N2C[C@H]3C[C@H](C[C@H]3C2)c4ccccc4C(F)(F)F,CHEMBL3593534,6.36,pIC50
CC(C)(C)c1ccccc1N2CCN(CC2)C(=O)C(=O)NS(=O)(=O)NCC3CC3,CHEMBL3644471,6.37,pIC50
OC(=O)c1cccnc1N2C[C@H]3C[C@H](C[C@H]3C2)c4ccccc4C(F)(F)F,CHEMBL3593532,6.42,pIC50
CC(C)(C)c1ccccc1N2CCN(CC2)C(=O)C(O)CO,CHEMBL3644481,6.48,pIC50
C\C(=C\C(=O)Nc1ccc(O)cc1)\C=C\C=C(/C)\C=C\C2=C(C)CCCC2(C)C,CHEMBL58106,6.48,pKd
OC(=O)c1cc(Cl)ccc1NC(=O)N2C[C@H]3C[C@H](C[C@H]3C2)c4ccccc4C(F)(F)F,CHEMBL3359019,6.48,pIC50
CC(C)(C)c1ccccc1N2CCN(CC2)C(=O)Cc3nnn[nH]3,CHEMBL3644476,6.52,pIC50
CS(=O)(=O)NC(=O)c1ccccc1NC(=O)N2CCC(CC2)c3ccccc3C(F)(F)F,CHEMBL3358463,6.53,pIC50
