SMILES,ChEMBL,target,metric
C[C@@H](Nc1ncnc2c(cccc12)C(=O)N)c3cccc(NC(=O)c4cc(ccc4Cl)C(F)(F)F)c3,CHEMBL3680427,7.54,pIC50
Cc1cc(C)cc(CNc2ncnc3c(cccc23)C(=O)N)c1,CHEMBL3680426,7.54,pIC50
NC(=O)c1cccc2c(NC(CCN3CCCCC3)c4cccc(NC(=O)c5ccc(F)cc5F)c4)ncnc12,CHEMBL3680425,7.54,pIC50
NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cccc(OCCO)c4)c3)ncnc12,CHEMBL3680424,7.54,pIC50
NC(=O)c1cccc2c(N[C@H](Cn3ccnn3)c4ccccc4)ncnc12,CHEMBL3670481,7.54,pIC50
NC(CNc1ncnc2c(cccc12)C(=O)N)c3ccc(Cl)c(c3)C(F)(F)F,CHEMBL3670500,7.54,pIC50
CC(C)c1cc([nH]n1)C(=O)Nc2cccc(c2)C(C)Nc3ncnc4c(cccc34)C(=O)N,CHEMBL3680420,7.55,pIC50
CCn1nc(cc1C(=O)Nc2cccc(c2)C(C)Nc3ncnc4c(cccc34)C(=O)N)C(F)(F)F,CHEMBL3680421,7.55,pIC50
CNCC(Nc1ncnc2c(cc(OCc3ccccc3)cc12)C(=O)N)c4ccccc4,CHEMBL3680422,7.55,pIC50
NC(=O)c1cccc2c(N[C@H](CNC3CC3)c4ccccc4)ncnc12,CHEMBL3680423,7.55,pIC50
CN(C)CCC(Nc1ncnc2c(cccc12)C(=O)N)C3=CCCC(=C3)NC(=O)c4c(F)cccc4F,CHEMBL3680418,7.57,pIC50
NC(=O)c1cccc2c(NC(CCN3CCCCC3)c4cccc(NC(=O)c5c(F)cccc5F)c4)ncnc12,CHEMBL3680419,7.57,pIC50
NC(=O)c1cccc2c(NCc3ccc4OCOc4c3)ncnc12,CHEMBL3675353,7.57,pIC50
NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc5OCCc5c4)c3)ncnc12,CHEMBL3680417,7.57,pIC50
CC(C)NC[C@@H](Nc1ncnc2c(cccc12)C(=O)N)c3ccccc3,CHEMBL3680414,7.59,pIC50
CN(C)CCOc1cccc(c1)C(=O)Nc2cccc(CNc3ncnc4c(cccc34)C(=O)N)c2,CHEMBL3680413,7.59,pIC50
CN(C)Cc1cccc(c1)C(=O)Nc2cccc(CNc3ncnc4c(cccc34)C(=O)N)c2,CHEMBL3680412,7.59,pIC50
COCCN(C)c1cc(ccn1)C(=O)Nc2cccc(CNc3ncnc4c(cccc34)C(=O)N)c2,CHEMBL3680411,7.59,pIC50
COc1ncc(cn1)C(=O)Nc2cccc(c2)[C@@H](C)Nc3ncnc4c(cccc34)C(=O)N,CHEMBL3680416,7.59,pIC50
Cc1cc(F)cc(CNc2ncnc3c(cccc23)C(=O)N)c1,CHEMBL3680415,7.59,pIC50
NC(=O)c1cccc2c(NC3CNCC(C3)c4ccccc4)ncnc12,CHEMBL3680409,7.59,pIC50
NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cccc(OCCCO)c4)c3)ncnc12,CHEMBL3680410,7.59,pIC50
Nc1nonc1c2nc3ccccc3n2c4ccccc4C#N,CHEMBL1078427,7.59,pKi
CCC(=O)c1cc(NCCN2CCCC2)c(C)c(c1)N3CCN(CC3)c4ncnc5[nH]nc(Br)c45,CHEMBL2016892,7.6,pIC50
