SMILES,ChEMBL,target,metric
COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,melatonin,7.56,pKi
CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1,imatinib,6.4,pIC50
COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4occc4,prazosin,8.11,pIC50
CCN(CC)CCNc1ccc2ncn3c4ccc(OC)cc4C(=O)c1c23,CHEMBL124629,6.0,pIC50
COc1cc(c2[nH]cc(CCNC(=O)C)c2c1)[N+](=O)[O-],CHEMBL300729,6.0,pKi
COc1cc2c(CCNC(=O)C)c[nH]c2cc1[N+](=O)[O-],CHEMBL298335,6.0,pKi
OCCCNc1ccc2nnn3c4ccc(Br)cc4C(=O)c1c23,CHEMBL599687,6.01,pIC50
CCCC(=O)NCCC1CCc2ccc(OC)cc12,CHEMBL335437,6.02,pKi
CCN(CC)CCNc1ccc2ncn3c4cc(O)ccc4C(=O)c1c23,CHEMBL7802,6.02,pIC50
Oc1ccc(\C=C\c2cc(O)cc(O)c2)cc1,CHEMBL165,6.02,pIC50
CC(=O)O.Cn1c(ccc1c2ccc(cc2)C(=N)N)c3ccccc3,CHEMBL3769865,6.03,pIC50
CCOC(=O)CCN(C(=O)c1ccc2c(c1)nc(CNc3ccc(cc3)C(=N)N)n2C)c4ccccn4,CHEMBL1231568,6.05,pKi
CC(=O)O.NC(=N)c1ccc(cc1)c2ccc([nH]2)c3ccccc3,CHEMBL3770627,6.08,pIC50
CC(=O)O.NC(=N)c1ccc(cc1)c2oc(cc2)c3ccc(F)cc3,CHEMBL3771022,6.08,pIC50
CCCCC(=O)NCCC1CCc2ccc(OC)cc12,CHEMBL135366,6.08,pKi
CN(C)CCNc1ccc2ncn3c4ccccc4C(=O)c1c23,CHEMBL151840,6.08,pIC50
CCCOc1ccc2CCC(CCNC(=O)CC)c2c1,CHEMBL134933,6.09,pKi
CCCC(=O)NCC[C@H]1CCc2ccc(OC)cc12,CHEMBL335041,6.11,pKi
CN(C)CCNc1ccc2nnn3c4ccc(F)cc4C(=O)c1c23,CHEMBL611067,6.11,pIC50
COc1cc2CCC(CCNC(=O)C)c2cc1OC,CHEMBL339840,6.11,pKi
CC(C)CCNc1ccc2nnn3c4ccc(Br)cc4C(=O)c1c23,CHEMBL598874,6.12,pIC50
CCOc1ccc2CCC(CCNC(=O)CC)c2c1,CHEMBL134878,6.12,pKi
COc1cc(OC)cc(\C=C\c2ccc3ccccc3c2)c1,CHEMBL473724,6.14,pIC50
